파일명,의안번호,제안이유,주요내용,오류
0175CFDD-0A99-48DD-209F-42AFD2B069E0.pdf,22357,"1. ㈜한국수력원자력의월성1호기조기폐쇄결정의타당성및㈜한 국수력원자력이사회이사들의배임행위에대한감사 월성1호기는1983년상업운전을개시하여2012년11월설계수명이 만료될예정이었으나5,925억원을투입하여설비보강을통해수명을 연장하였고, 이에따라2022년에설계수명이만료될예정이었음. ㈜한국수력원자력은2018년6월15일이사회를개최하여월성1호 의안 번호 22357 제안연월일: 2019. 9. . 제 안 자: 산업통상자원중소벤처기업위원장 - 2 - 기조기폐쇄를의결하였음. 월성1호기조기폐쇄경제성평가에서전기판매단가를과도하게 낮추는등자료를조작하여월성1호기의경제성을과소평가하고, 이 용률이54.4%를초과할경우월성1호기를계속가동하는것이유리 함에도불구하고의도적으로낮은이용률을전망하였다는의혹이있 음. 또한, 수명연장을위해설비투자를진행하여가동이가능함에도불 구하고월성1호기조기폐쇄를의결한것은㈜한국수력원자력이사 들의임무에위배한행위로써회사에손해를가한배임행위라는지적 이제기된바있음. 이에㈜한국수력원자력의월성1호기조기폐쇄결정의타당성과 이사회이사들의배임행위에대해감사원감사를요구함.",,
01B826ED-C41E-E402-3314-60D8BFD31DDF.pdf,5864,"1. 동양물산기업이국제종합기계를인수하는과정에서산업은행이자금 지원등특혜를제공했다는의혹에대한감사 2016년9월동양물산은유암코-키스톤사모투자펀드(PEF)와공동으로 설립한특수목적회사(SPC)를통해경쟁업체이자산업은행이지분을가지고 - 2 - 있는동국제강의자회사인국제종합기계를590억원에인수했으며, 이과정 에서산업은행으로부터160억원의사업재편자금대출을받았음. 이는2016 년8월시행된기업활력제고를위한특별법(일명“원샷법”) 적용의첫사례 로발표되었음. 그런데이과정에서산업은행은동양물산에자금지원을한것 이부당한특혜제공이었다는의혹이다음과같이제기되고있음. 첫째, 산업은행은2016년9월당시동양물산에대해150억원의채권을 가지고있었는데이를상환받는동시에160억원의자금을대출하였는바, 이처럼잔존채무가있는기업에대해추가로여신을제공한것이적절한 지에대해의혹이있음. 산업은행의자금지원으로동양물산기업은자기자본 투입없이인수대금을조성할수있었음. 둘째, 동양물산기업이산업통상자원부에제출한사업재편계획서에금융 지원에대한요청이없었음에도산업은행이원샷법적용기업을위해조성 한사업재편지원자금을통해지원이이루어졌음. 이에대해산업통상자원부 는동자금이정책자금이아니므로문제가없다는입장이나, 산업은행의국회 보고자료에는해당자금이사업재편기업에대한지원자금으로적시되었고, 자금의성격상국책금융기관이금리혜택을부여하며지원한자금을정책자금 이아니라고볼수는없음. 셋째, 피인수기업인국제종합기계의인수가격은2013년에최초로동회사의 매각이거론되던당시시장에서예상한1,000억원대에비해매우낮은바, 이는산업은행이비금융자회사매각에대한금융당국등의요구에맞추기 위해매각가액산정시특혜를제공한것이라는의혹도제기되고있음. - 3 - 이러한 일련의 특혜제공 의혹의 배경에는 인수기업인 동양물산의 대표이사가친인척관계를이용하였을가능성마저제기되고있음을감안할 때, 산업은행의동양물산기업에대한국제종합기계인수자금지원전반에 관해감사원감사가필요함. 2. 골프존(주)에대한공정거래위원회의부적정한행정지도·감독및부실 조사의혹에대한감사 골프존(주)은 골프 시뮬레이터(Golf Simulator) 기계를 스크린골프장 운영사업자(이하“점주”라함)에게판매하는사업을하는회사로, 시장상황 및점주들의이해관계를고려하지아니하고무분별한기계판매등사업 확장에만치중하여스크린골프시장을과포화상태로만들었으며, 이로인해 점주들의피해가확대되고있는실정임. 그런데이과정에서다음과같이골프존(주)에대한공정거래위원회의 부적정한행정지도·감독및부실조사의혹이제기되고있으므로그진위를 규명하고문제점을파악하기위하여감사원의감사를요구함. 첫째, 골프존(주)의영업방식이｢가맹사업거래의공정화에관한법률｣의 적용을받지않는다는점을이용하여영업권보장및거리제한등의규제를 회피하고무분별하게제품을판매하여시장을과포화상태로만들었으며, 이로 인하여 점주들의 피해가 확대되고 있는 실정에 이르렀으나, 공정거래위원회는그동안시장과밀화해소와점주피해방지를위해 - 4 - 골프존(주)에대하여적정한행정지도및관리·감독을실시하지아니한 것으로보임. 둘째, 한때스크린골프시장의80% 이상을점유하였고, 현재도70% 가량의점유율을가진골프존(주)은2016년3월향후개별점포에대한 영업권보장및거리제한이가능한가맹사업으로영업방식을전환하겠다는 방침을발표하였음. 이러한골프존(주)의영업방식전환발표는과포화된 시장상황을고려하면점주들로하여금사실상가맹사업전환을강제하고 추가적인비용부담을요구하는것으로해석될수있는바, 이는｢독점규제및 공정거래에관한법률｣에서금지하고있는거래상지위남용행위중불이익 제공행위에해당할수있음. 그러나공정거래위원회는이러한골프존(주)의 영업방침전환발표에대해적정한행정지도및관리·감독을수행하지 아니하였고, 점주들의신고에따른조사또한신속하게이루어지지아니하고 있는상황으로보임. 이러한일련의공정거래위원회의부적정한행정지도·감독및부실조사 의혹배경에는공정거래위원회전서울사무소장이골프존(주)의사외이사로 영입되어부당한영향력을행사하고있다는의혹마저제기되고있음을 감안하면, 골프존(주)에대한공정거래위원회의행정지도·감독및조사과정 전반에대한감사원감사가필요함.",,
02EB029D-B632-7311-AB14-B62F39FC0825.pdf,14437,"국회는1991년부터의원의자격심사·징계에관한사항을심사하기위 의안 번호 14437 제안연월일: 2018. 7. 제 안 자: 국회운영위원장 - 2 - 하여윤리특별위원회를구성·운영하여왔음. 그러나최근윤리특별위원 회가상설로구성되어있음에도, 제대로활동하지않아인력·예산등불 필요한낭비가발생한다는비판이제기되고있음. 이에윤리특별위원회를비상설특별위원회로새로이구성하여기존 윤리특별위원회가담당하던의원의자격심사·징계등을담당하도록함 으로써운영의현실성과효율성을제고하려고함. 또한윤리심사의활성화및심사의전문성과공정성제고등을위 한제도적인개선방안을함께논의함으로써, 향후윤리특별위원회가 내실있게운영될수있는토대를마련하는것이필요함. 이에「국회법」제44조및제46조에따라「윤리특별위원회」를구성 하려는것임. 다만, 국회법이개정되기전윤리특별위원회가구성될경우기존윤 리특별위원회와중복될우려가있으므로, 윤리특별위원회의활동시작 시기를제362회국회(임시회) 제2차본회의에서의결된국회법일부개 정법률의시행일로명시함.",,
0383982C-61CF-BE46-AC25-BB734D35CD27.pdf,,,"(1) 자금조달 및 운용규모 (단위 : 백만원) 자 금 조 달 자 금 운 용 구분 '18 '19 증감 구분 '18 '19 증감 계획 당초(A) 현계획(B) 수정(C) (C-B) 계획 당초(A) 현계획(B) 수정(C) (C-B) 합 계 3,780,996 3,816,807 3,816,807 3,816,807 - 합 계 3,780,996 3,816,807 3,816,807 3,816,807 - ㅇ자체수입 2,313,101 2,436,115 2,436,115 2,436,115 - ㅇ사업비 1,835,432 1,917,063 1,917,063 1,998,628 81,565 ㅇ정부내부수입 682,057 897,904 897,904 897,904 - ㅇ기금운영비 7,918 7,990 7,990 7,990 - ㅇ차입금 - - - - - ㅇ정부내부지출 1,500,000 700,000 700,000 700,000 - ㅇ여유자금회수 785,838 482,788 482,788 482,788 - ㅇ차입금원리금상환 - - - - - ㅇ여유자금운용 437,646 1,191,754 1,191,754 1,110,189 △81,565 (2) 일시차입금 및 차입금 한도 : 해당사항 없음 (3) 주식 및 부동산 취득한도 : 해당사항 없음 (4) 기타 자금조달 및 운용에 관한 주요사항 : 해당사항 없음 다. 자산에 관한 주요사항 (1) 보유자산 규모의 변동 (단위 : 백만원) 구 분 '18 '19 증감 계획 당초(A) 현계획(B) 수정(C) (C-B) 계 5,198,690 6,023,767 6,023,767 5,942,202 △81,565 ㅇ유동자산 1,136,070 2,857,697 2,857,697 2,776,132 △81,565 ㅇ고정자산 4,062,620 3,166,070 3,166,070 3,166,070 - (2) 고정자산 및 투자자산의 주요 변동내용 : 해당사항 없음 - 3 - - 3 - 2. 수입⋅지출계획 총괄표 가. 수입계획 (단위 : 백만원) 나. 지출계획 (단위 : 백만원) 관 항 2018년 2019년 증 감 (C-B) 장(분야)․ 관(부문) 항(프로그램) 2018년 2019년 증 감 (C-B) 당초(A) 현계획(B) 수정(C) 당초(A) 현계획(B) 수정(C) 11 110 재산수입 19,114 19,465 19,465 19,465 - 산업·중소기업 및에너지 3,780,996 3,816,807 3,816,807 3,816,807 - 54 115 기타이자수입 및 재산수입 19,114 19,465 19,465 19,465 - 에너지 및 자원개발 3,780,996 3,816,807 3,816,807 3,816,807 - 5100 12 에너지자원정책 144,884 149,777 149,777 184,342 34,565 경상이전수입 2,211,627 2,324,332 2,324,332 2,324,332 - 5200 58 재생에너지 및 에너지신사업활성화 802,850 920,864 920,864 967,864 47,000 가산금 2,065 2,214 2,214 2,214 - 5400 59 에너지공급 체계구축 353,392 306,594 306,594 306,594 - 기타경상이전수입2,209,562 2,322,118 2,322,118 2,322,118 - 5700 에너지기술개발 391,087 416,653 416,653 416,653 - 13 5800 재화 및 용역 판매수입 36,790 51,399 51,399 51,399 - 에너지기술 기반확충 122,731 107,957 107,957 107,957 - 69 7200 잡수입 36,790 51,399 51,399 51,399 - 전력경쟁력강화 ·수급안정(운영) 7,918 7,990 7,990 7,990 - 7400 - 4 - - 4 - 가. 수입계획 (단위 : 백만원) 나. 지출계획 (단위 : 백만원) 관 항 2018년 2019년 증 감 (C-B) 장(분야)․ 관(부문) 항(프로그램) 2018년 2019년 증 감 (C-B) 당초(A) 현계획(B) 수정(C) 당초(A) 현계획(B) 수정(C) 20 전력산업경쟁력강화 20,488 15,218 15,218 15,218 - 융자 및 전대 차관원금회수 45,570 40,919 40,919 40,919 - 9000 75 기금간거래(예탁금) 1,500,000 700,000 700,000 700,000 - 융자원금회수 45,570 40,919 40,919 40,919 - 9700 여유자금운용 437,647 1,191,754 1,191,754 1,110,189 △81,565 31 차입금 및 여유 자금회수 785,838 482,788 482,788 482,788 - 85 정부예금회수 785,838 482,788 482,788 482,788 - 40 정부내부수입 및 기타 682,057 897,904 897,904 897,904 - 92 예탁원금회수 600,000 800,000 800,000 800,000 - 95 예탁이자수입 82,057 97,904 97,904 97,904 - 수입합계 3,780,996 3,816,807 3,816,807 3,816,807 - 지출합계 3,780,996 3,816,807 3,816,807 3,816,807 - - 5 - - 5 - 3. 수입계획 주요항목별 내역 (단위 : 백만원) 관 항 2018년 2019년 증감 (C-B) 수 입 개 요 및 내 역 당초(A) 현계획(B) 수정(C) 11 재산수입 19,114 19,465 19,465 19,465 - 54 기타이자수입 및 재산수입 19,114 19,465 19,465 19,465 - 12 경상이전수입 2,211,627 2,324,332 2,324,332 2,324,332 - 58 가산금 2,065 2,214 2,214 2,214 - 59 기타경상이전수입 2,209,562 2,322,118 2,322,118 2,322,118 - 13 재화 및 용역 판매수입 36,790 51,399 51,399 51,399 - 69 잡수입 36,790 51,399 51,399 51,399 - 20 융자 및 전대 차관원금회수 45,570 40,919 40,919 40,919 - - 6 - - 6 - (단위 : 백만원) 관 항 2018년 2019년 증감 (C-B) 수 입 개 요 및 내 역 당초(A) 현계획(B) 수정(C) 75 융자원금회수 45,570 40,919 40,919 40,919 - 31 차입금 및 여유 자금회수 785,838 482,788 482,788 482,788 - 85 정부예금회수 785,838 482,788 482,788 482,788 - 40 정부내부수입 및 기타 682,057 897,904 897,904 897,904 - 92 예탁원금회수 600,000 800,000 800,000 800,000 - 95 예탁이자수입 82,057 97,904 97,904 97,904 - 수입합계 3,780,996 3,816,807 3,816,807 3,816,807 - - 7 - 4. 지출계획 주요항목별 내역 (단위 : 백만원) 장(분야)/관(부문) 2018년 2019년 증감 (C-B) 지 출 개 요 및 내 역 항(프로그램) 사업(단위사업) 당초(A) 현계획(B) 수정(C) 장(분야) 110 산업․중소기업및에너지 3,780,996 3,816,807 3,816,807 3,816,807 - 관(부문) 115 에너지및자원개발 3,780,996 3,816,807 3,816,807 3,816,807 - 5100 에너지자원정책 144,884 149,777 149,777 184,342 34,565 1. 전기안전관리(기금) 98,849 99,654 99,654 130,414 30,760 <지출개요> 1. 전기설비 안전점검 및 기반구축 등 전기분야 제반 안전관리활동 <지출내역> 1. 전기시설안전관리 1,128 2. 일반용전기설비안전점검 98,326 3. 전기설비안전기반구축 200 4. 발전소 환경설비 투자 지원 29,760 5. 지열발전 안전관리체계 구축 1,000 - 8 - - 8 - (단위 : 백만원) 장(분야)/관(부문) 2018년 2019년 증감 (C-B) 지 출 개 요 및 내 역 항(프로그램) 사업(단위사업) 당초(A) 현계획(B) 수정(C) 2. 전력수요관리(기금) 46,035 50,123 50,123 53,928 3,805 <지출개요> 1. 전력효율향상 지원 및 노후 변압기 교체지원 <지출내역> 1. 전력효율향상 48,328 2. 노후변압기교체지원 5,600 5200 재생에너지및에너 지신산업활성화 802,850 920,864 920,864 967,864 47,000 1. 재생에너지지원 785,105 907,255 907,255 950,255 43,000 <지출개요> 1. 신재생에너지 분야 보조금 및 융자, 인프라사업 등에 지원 <지출내역> 1. 신재생에너지발전차액지원 373,530 - 9 - - 9 - (단위 : 백만원) 장(분야)/관(부문) 2018년 2019년 증감 (C-B) 지 출 개 요 및 내 역 항(프로그램) 사업(단위사업) 당초(A) 현계획(B) 수정(C) 2. 신재생에너지보급지원 277,000 3. 신재생에너금융지원(융자) 290,000 4. 태양광재활용센터 구축 기반조성 3,225 5. 고분자연료전지신뢰성평가센터건립 2,000 6. 태양광아이디어시제품 사업화지원센터 구축 4,500 2. 에너지신산업 17,745 13,609 13,609 17,609 4,000 <지출개요> 1. 전기차, 베터리리사이클링 등 에너지 신산업 분야 지원 <지출내역> 1. 에너지신산업기반구축 5,715 2. 전기차충전서비스산업육성 9,000 3. 전기차산업기반구축 294 4. EV/ESS사용후베터리리사이클링 산업화구축 2,000 5. 에너지산업 융복합단지 기반구축 600 - 10 - - 10 - (단위 : 백만원) 장(분야)/관(부문) 2018년 2019년 증감 (C-B) 지 출 개 요 및 내 역 항(프로그램) 사업(단위사업) 당초(A) 현계획(B) 수정(C) 5400 에너지공급체계구축 353,392 306,594 306,594 306,594 - 1. 석탄수급안정 및 지역지원 800 9,470 9,470 9,470 - 2. 발전소주변지역지원(기금) 212,845 183,325 183,325 183,325 - 3. 농어촌전기공급지원(기금) 128,250 113,799 113,799 113,799 - 4. 스마트그리드보급지원 11,497 - - - - 5700 에너지기술개발 391,087 416,653 416,653 416,653 - 1. 전력공급기술 293,935 326,333 326,333 326,333 - 2. 전력수요기술 97,152 90,320 90,320 90,320 - 5800 에너지기술기반확충 122,731 107,957 107,957 107,957 - 1. 기술정책(기금) 3,261 3,200 3,200 3,200 - - 11 - - 11 - (단위 : 백만원) 장(분야)/관(부문) 2018년 2019년 증감 (C-B) 지 출 개 요 및 내 역 항(프로그램) 사업(단위사업) 당초(A) 현계획(B) 수정(C) 2. 기반구축(기금) 75,066 57,671 57,671 57,671 - 3. 국제협력 23,583 25,688 25,688 25,688 - 4. 인력양성 20,821 21,398 21,398 21,398 - 7200 전력경쟁력강화· 수급안정(운영) 7,918 7,990 7,990 7,990 - 1. 전력산업기반조성 사업인건비 4,257 4,334 4,334 4,334 - 2. 전력산업기반조성 사업기금관리비 2,110 2,000 2,000 2,000 - 3. 전력산업기반조성 사업운영 1,551 1,656 1,656 1,656 - 7400 전력산업경쟁력강화 20,488 15,218 15,218 15,218 - 1. 전력산업정책개발및홍보 9,297 7,369 7,369 7,369 - 2. 전력해외진출지원 8,175 7,849 7,849 7,849 - - 12 - - 12 - (단위 : 백만원) 장(분야)/관(부문) 2018년 2019년 증감 (C-B) 지 출 개 요 및 내 역 항(프로그램) 사업(단위사업) 당초(A) 현계획(B) 수정(C) 3. 인력양성 3,016 - - - 9000 기금간거래(예탁금) 1,500,000 700,000 700,000 700,000 - 1. 공공자금관리기금 예탁(전력기금) 1,500,000 700,000 700,000 700,000 - 9700 여유자금운용 437,647 1,191,754 1,191,754 1,110,189 △81,565 1. 통화금융기관예치금 (전력기금) 365,919 151,739 151,739 151,739 - 2. 비통화금융기관예치금 (전력기금) 71,728 1,040,015 1,040,015 958,450 △81,565 <지출개요> 1. 여유자금운용 <지출내역> 1. 비통화금융기관예치금 958,450 지출합계 3,780,996 3,816,807 3,816,807 3,816,807 - - 13 - - 13 - 5. 기금조성계획 (단위 : 백만원) 구 분 '18년말 누계 '19 계획 증 감 (C-B) 당초(A) 현계획(B) 수정(C) 누 계 총 조 성 (a) ○출연 - - - - - - - 정부출연 - - - - - - - 민간출연 - - - - - - ○부담금 25,578,503 2,185,167 2,185,167 2,185,167 27,763,670 - - 부담금법상부담금 25,578,503 2,185,167 2,185,167 2,185,167 27,763,670 - - 사회보험료 - - - - - - ○차입금 - - - - - - - 특별회계 - - - - - - - 기금 - - - - - - - 기타민간 - - - - - - - 차관 - - - - - - ○운용수입 2,882,235 307,933 307,933 307,933 3,190,168 - - 재화 및 용역 판매수입 386,490 51,399 51,399 51,399 437,889 - - 자산매각수입 - - - - - - - 정부내부이자수입 259,801 97,904 97,904 97,904 357,705 - - 민간이자수입 531,019 19,465 19,465 19,465 550,484 - - 기타 자체수입 1,704,925 139,165 139,165 139,165 1,844,090 - ○평가계정 57,705 - - - 57,705 - 소 계 28,518,443 2,493,100 2,493,100 2,493,100 31,011,543 - 사 용 액 (b) ○경상지출 23,003,927 1,661,719 1,661,719 1,743,284 24,747,211 81,565 ○정부내부상환 - - - - - - ○차입금원금상환 - - - - - - ○기금운영비 219,979 6,304 6,304 6,304 226,283 - ○부동산매입 등 - - - - - - ○평가계정 95,847 - - - 95,847 - 소 계 23,319,753 1,668,023 1,668,023 1,749,588 25,069,341 81,565 순 조 성 (a-b) 5,198,690 825,077 825,077 743,512 5,942,202 △81,565 - 14 - - 14 - 6. 추정재정상태표 (단위 : 백만원) 구 분 '18년 계획 '19 계획 증 감 (C-B) 당초(A) 현계획(B) 수정(C) 자 산 ○유동자산 1,136,070 2,857,697 2,857,697 2,776,132 △81,565 ○비유동자산 4,062,620 3,166,070 3,166,070 3,166,070 - - 투자자산 4,062,143 3,165,563 3,165,563 3,165,563 - - 유형자산 191 221 221 221 - - 기타비유동자산 286 286 286 286 - 자 산 총 계 5,198,690 6,023,767 6,023,767 5,942,202 △81,565 자 본 및 부 채 ○유동부채 - - - - - ○비유동부채 - - - - - 부 채 합 계 - - - - - ○기본순자산 - - - - - ○적립금 및 잉여금 5,198,690 6,023,767 6,023,767 5,942,202 △81,565 ○순자산조정 - - - - - 순 자 산 합 계 5,198,690 6,023,767 6,023,767 5,942,202 △81,565 순자산 및 부채 총계 5,198,690 6,023,767 6,023,767 5,942,202 △81,565 7. 추정재정운영표 (단위 : 백만원) 구 분 '18년 계획 '19계획 증 감 (C-B) 당초(A) 현계획(B) 수정(C) 01. 사업이익 2,061,603 2,238,564 2,238,564 2,238,564 - 02. 사업비용 1,660,982 1,661,719 1,661,719 1,743,284 81,565 03. 사업총이익(1-2) 400,621 576,845 576,845 495,280 △81,565 04. 일반관리비 6,337 6,304 6,304 6,304 - 05. 사업이익(3-4) 394,284 570,541 570,541 488,976 △81,565 06. 사업외수익 287,985 254,536 254,536 254,536 - 07. 사업외비용 - - - - - 08. 경상이익(5+6-7) 682,269 825,077 825,077 743,512 △81,565 09. 특별이익 - - - - - 10. 특별손실 - - - - - 11. 법인세차감전순이익(8+9-10) 682,269 825,077 825,077 743,512 △81,565 12. 법인세비용 - - - - - 총 포 괄 손 익(세후) 682,269 825,077 825,077 743,512 △81,565",
03B4B593-923E-50C4-D9B5-EC6A3C552A10.pdf,,,,code=2: cannot remove file 'temp_ocr.png': Permission denied
03B5FF95-C24A-2896-F30C-248C00AA031B.pdf,,,,code=2: cannot remove file 'temp_ocr.png': Permission denied
066EA98A-AC03-A1FE-1145-9B635E2623D2.pdf,,,,code=2: cannot remove file 'temp_ocr.png': Permission denied
066F5440-A797-E9C8-9337-686180E81A4E.pdf,7794,"북한은지금까지5차례의핵실험, 잠수함발사탄도미사일(SLBM)‧무 수단미사일등각종미사일발사, 무인기정찰등을통해한반도안정 및국제평화를해치는심각한도발을끊임없이자행하여왔음. 대한민국과국제사회는이에대한우려를북한에계속표시하고경 고한바있으나, 북한정권은이에아랑곳하지않고대한민국의현정 권들어서만벌써6번째미사일도발을자행하는등김정은체제유 지를위한광포한몸부림을치고있는실정임. 북한은한․미정상회담이끝난지나흘만인2017년7월4일미사 일을발사하고이에대해대륙간탄도미사일(ICBM) ‘화성-14형’의시 험발사에성공했다고주장하고있으며, 실제로도이는ICBM급수준 으로평가되고있는바, 북한의한반도및세계평화에대한위협수 준은한층더가중되고있고국제사회의우려또한더욱커지고있음. 이에대한민국국회는우리정부와국제사회의거듭된경고와일련 의UN 안전보장이사회결의를지속적으로무시하면서감행하고있는 북한김정은정권의도발행태를규탄하고, 대한민국정부가북한의 핵‧미사일등의대량살상무기위협을억제하고효과적으로대응할수 있는대비태세를조속히완비할것을촉구하며, 대한민국정부가북한 의계속되는군사적도발행위를억제할수있는실효적이고강력한 추가적인제재방안을마련하여시행할것을주문하려는것임.",,
07CD3CC3-5BEF-FCD1-5562-76FFA8729ADA.pdf,,,,code=2: cannot remove file 'temp_ocr.png': Permission denied
0A342183-129D-3A61-C6C3-567BD598E2A4.pdf,,,,code=2: cannot remove file 'temp_ocr.png': Permission denied
