age,title,bill_id,bill_number,content
20,동북아시아 역내 안정 위협 행위 중단 촉구 결의안,PRC_W1E9D0Z7J3G1A1D7U2R5S0K4Z4X5O6,2021817,
20,대한민국 정부와 카메룬공화국 정부 간의 투자 증진 및 보호에 관한 협정 비준동의안,PRC_R1L6C0H6L1R4U1F8X0B1T2A0E4Q5M2,2000248,
20,대한민국과 이란이슬람공화국 간의 범죄인 인도 조약 비준동의안,PRC_T1K6Q0X7L1U4P1L6Q3F6U2L0M3I8R9,2000883,
20,정치개혁 특별위원회 구성결의안,PRC_N1W7K0T6P2X7D0S7O3V4E2V0W6B3G6,2007602,
20,에너지 특별위원회 활동기간 연장의 건,PRC_N1B8S1S2E2W7V1L7D2M2C4J0F6N8O3,2017817,
20,대한민국 정부와 브루나이다루살람 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협정 비준동의안,PRC_V1Z6G0T6K1Y4U1A7E5A0R0G6G0R9D1,2000239,
20,대한민국과 이란이슬람공화국 간의 형사 공조 조약 비준동의안,PRC_D1E6X0Q7Q1T4O1M6J3A5D1E8O6J4Q7,2000881,
20,대한민국 정부와 코스타리카공화국 정부 간의 조세정보 교환을 위한 협정 비준동의안,PRC_P1O6P1I1R1S7R1L5I5Q6Z5K5Y9W3R0,2003678,
20,정치개혁 특별위원회 활동기간 연장의 건,PRC_H1D8B1B2C2J7J1A7O2Q2I0J3M8D7P0,2017815,
20,도로교통법 일부개정법률안(대안),PRC_J2H0O0L5E1Y4P1G5J5V8P4Z4N5E9L3,2024982,
20,미세먼지 저감 및 관리에 관한 특별법 일부개정법률안(대안),PRC_A1C9O1E2T1G2H1S8C3X7L4Q1N8I8D6,2024729,
20,인터넷전문은행 설립 및 운영에 관한 특례법 일부개정법률안,PRC_S2S0I0Q4V2L8J0V9C0T5E5F1J7Z1Q1,2024892,
20,네덜란드산 쇠고기 수입위생조건안 심의결과보고서 채택의 건,PRC_G1Z9V0B3S2X5L1E5Y5B0Z1W0F6R2D1,2019382,
20,민생경제 특별위원회 구성결의안,PRC_G1R6Q0Q7Z0J5Z1I7C2M3X3V7S1G6D6,2000690,
20,디지털성범죄물 근절 및 범죄자 처벌을 위한 다변화된 국제공조 구축 촉구 결의안,PRC_F2S0D0J4B2L7W1Q1N3P9T4Y5L9L3S8,2024869,
20,2019년도에 발행하는 한국장학재단채권에 대한 국가보증동의안,PRC_X1L8M0L9M0I3D1Z0X3C7K2K3B5Y5G8,2015253,
20,사법개혁 특별위원회 구성결의안,PRC_J1F7S1S2O2D9Q1R2R4L3Z3D8L0H2R6,2011153,
20,2016년도 산업통상자원위원회 국정감사 결과에 따른 감사원에 대한 감사요구안,PRC_U1Z7E0W1Z1I1G1E1Y2B2L0P5S3B5P1,2005085,
20,국군부대의 아랍에미리트(UAE)군 교육훈련 지원 등에 관한 파견연장 동의안,PRC_T1M7J0B9P0U5L1D6G5Y8H5P5A9D2T3,2009099,
20,관세청 면세점 사업자 선정 관련 감사원에 대한 감사요구안,PRC_T1I6A1M2N1V5K1Q5V4V6B4F2B4I3W5,2004439,
20,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국군대의 지위에 관한 협정 제5조에 대한 특별조치에 관한 대한민국과 미합중국 간의 협정 비준동의안,PRC_A1G9Y0F3F1F2F1D0H3D7B2B5K1E8K1,2019128,
20,2018년도에 발행하는 예금보험기금채권상환기금채권에 대한 국가보증동의안,PRC_W1F7U0Z9C0B1M1U1P3X3H0I3M4V2N1,2008933,
20,8·15 남북 이산가족 상봉 촉구 결의안 채택의 건,PRC_K1D7Y0M6I2S2W1L1M0M2H3Z4S2W2E8,2007508,
20,국군부대의 소말리아 아덴만 해역 파견연장 동의안,PRC_W1M8L0Y9S0F4Q1U6K1P9H5M9Y5L0P7,2015312,
20,공익신고자 보호법 일부개정법률안(대안),PRC_X2X0E0G3I0O4G1B3N2V3X5N3P6W3T2,2024884,
20,수상레저안전법 일부개정법률안(대안),PRC_B2O0N0B3U0G3F1N5E5T9Y1J9B7L1A9,2024896,
