age,title,bill_id,bill_number,content
20,2018년도 소상공인시장진흥기금운용계획변경안,PRC_U1E8V0H4S0I6B1R0Q3J6E3J3A9N2X1,2012943,
20,2017년도 고용보험기금운용계획변경안,PRC_Q1V7J0O6P0W7U1Q0X0Q8W0R0T2R4N4,2007226,
20,2019년도 전력산업기반기금운용계획변경안,PRC_W1B9U0F4P2H5P0N9S5Q6O4I0R4K6B4,2020001,
20,2020년도 중소벤처기업창업 및 진흥기금운용계획변경안,PRC_W2G0T0P3N0C5Z0B9Z3U2U1F0N8I4C8,2024742,
20,2019년도 제1회 추가경정예산안,PRC_Y1K9O0T4O2F5C0D9L3Z0T5D0X6B9U7,2019993,
20,2018년도 고용보험기금운용계획변경안,PRC_F1E8N0W4Z0K6I1O0V3Y7K4N2N6Q0B3,2012945,
20,2018년도 중소기업창업 및 진흥기금운용계획변경안,PRC_S1O8R0H4O0S6H1E0B3A7B1O4E9J7D5,2012944,
20,2017년도 기술보증기금운용계획변경안,PRC_G1X7L0J6W0L7N0D9Q5X3M5W2P7D2X4,2007218,
20,2018회계연도 결산,PRC_T1U9Y0V5T3J1P1M1Q1X3G3K5S1M3B7,2020735,
20,2020년도 제2회 추가경정예산안,PRC_T2J0D0N4O1V6W1U4U1W0L5R5E7E9J0,2024841,
20,2016회계연도 예비비지출 승인의 건,PRC_G1F7Z0K5R3X1T1I0C0P2U4Z7W3R5V1,2007102,
20,2017년도 무역보험기금운용계획변경안,PRC_R1V7V0U6G0K7J1A0I0R6F3E7C5B8Q2,2007224,
20,2016회계연도 한국방송공사 결산 승인안,PRC_G1Z7K0N6X3R0O1S3J1X1L3F2O3R1C7,2007708,
20,2020년도 전력산업기반기금운용계획변경안,PRC_K2I0P0F3V0K5Z0E9X3W1U4J2R1D8W3,2024741,
20,2018년도 근로복지진흥기금운용계획변경안,PRC_F1X8K0N4O0R6P1A0O3K8K2U6W4N6C5,2012946,
20,2020년도 공공자금관리기금운용계획변경안,PRC_Q2D0A0J3X0J5N0U9Z3Y0E4T9Y6S3T7,2024739,
20,2018회계연도 결산 관련 감사원에 대한 감사요구안,PRC_C1G9L1M0D2H1V1Z5O2Z2Y5S5D1Z7P2,2023119,
20,2018년도 제1회 추가경정예산안,PRC_N1L8A0I4C0I6W1P0O2N5F3K1X4U8O6,2012934,
20,2019년도 기술보증기금운용계획변경안,PRC_B1P9B0W4I2B5B0F9P5W4G1D5J8X4W5,2019998,
20,2016회계연도 결산,PRC_D1U7V0W5N3X1H0S9U5F5S4R5C2N5H5,2007101,
20,2017년도 소상공인시장진흥기금운용계획변경안,PRC_W1M7S0V6W0O7J1M0P0X6R0U0L5L6D5,2007223,
20,2017년도 주택도시기금운용계획변경안,PRC_Y1N7E0Q6M0L7J1J0J0C8C3N2S8Q4K0,2007227,
20,2019년도 양성평등기금운용계획변경안,PRC_A1B9I0C4O2U5C0O9G5F6V4Z7C2D1E9,2020002,
20,2019년도 공공자금관리기금운용계획변경안,PRC_L1L9A0R4T2P5G0Z9V5D2N3M9T1U2T2,2019996,
20,2017년도 공공자금관리기금운용계획변경안,PRC_Q1Y7R0E6R0E7Y0M9X5E5F2K5K7K9B2,2007220,
20,2016년도 공공자금관리기금운용계획변경안,PRC_E1C6R0S7U2G6C1C1P0N4H2I3U6S7Q4,2001173,
20,2018년도 예산안,PRC_C1I7D0G9M0G1N1V0V2Z0O1G7S6Y6I1,2008921,
20,2020년도 국유재산관리기금운용계획변경안,PRC_B2I0A0I4B1S6T1M4C3Z1I2N1Y3C3K3,2024844,
20,2017회계연도 한국교육방송공사 결산 승인안,PRC_F1P8J0U5G3C1D1J8D2G3J5J3L3B3X0,2013874,
20,2017회계연도 예비비지출 승인의 건,PRC_F1U8P0B6O1L5R1W2B1L9X1O3X8F7P3,2013859,
20,2015회계연도 결산,PRC_W1N6I0Z5R3A1S1D1S0B8C2J3C2R3X7,2000053,
20,2018년도 산업기술진흥및사업화촉진기금운용계획변경안,PRC_W1Q8X0S4K0L6W1K0Y3T5A5A6K1B8T8,2012942,
20,2017년도 신용보증기금운용계획변경안,PRC_Q1H7M0V6P0R7D0Q9V5Y4K4Z7Q2K5D5,2007219,
20,2018년도 정보통신진흥기금운용계획변경안,PRC_B1V8U0M4P0Q6H1I0X2E9C4J8D0E0M5,2012937,
20,2017년도 중소기업창업 및 진흥기금운용계획변경안,PRC_H1Z7U0B6N0M7F1F0A0Z3D2Z3T6A5H3,2007222,
20,2020년도 대외경제협력기금운용계획변경안,PRC_Y2L0G0P4S1A6X1O4Z3P2P2B9E3W3M2,2024845,
20,2020년도 기술보증기금운용계획변경안,PRC_J2Q0S0Y3L0R5H0G9M3S2C3U2V7U2A9,2024743,
20,2017년도 예산안,PRC_F1V6O0L9N0P2M2B0M0W3C0Q6J3W7T2,2002051,
20,2020년도 무역보험기금운용계획변경안,PRC_Q2T0R0Q3L0C5H0K9W3Y1K2V0S5N5H1,2024740,
20,2020년도 응급의료기금운용계획변경안,PRC_N2X0C0K3Z0L5R0S9I3O3A1F3B7R4N3,2024745,
20,2019년도 축산발전기금운용계획변경안,PRC_I1P9I0G4R2Q5C1O0I0O8X1B2F9G4E1,2020012,
20,2019년도 고용보험기금운용계획변경안,PRC_T1Z9D0T4C2B5J0P9J5I7C0A3U3V7Q5,2020003,
20,2019년도 장애인고용촉진 및 직업재활기금운용계획 변경안,PRC_X1T9D0Q4R2V5G0Y9W5T1K2R9W3N2Z8,2019994,
20,2016년도 제1회 추가경정예산안,PRC_P1G6U0O7V2N6L1I1O0V2E1B8K0B9O8,2001170,
20,2018년도 주택도시기금운용계획변경안,PRC_V1X8Y0L4P0M6S1M0Q3Z9G0C3E8A2P0,2012947,
20,2017년도 국민건강증진기금운용계획변경안,PRC_V1F7Z0F6X0V7K1B0D0G7H2D4J1X0I3,2007225,
20,2019년도 국민체육진흥기금운용계획변경안,PRC_D1L9Q0V4F2J5D1B0T0Z6F3A7F5N3O8,2020011,
20,2019년도 소상공인시장진흥기금운용계획변경안,PRC_I1W9B0B4P2Q5C0U9Z5G5P0V3X6I9H3,2019999,
20,2015회계연도 한국방송공사 결산 승인안,PRC_V1C6L0Z6J3F0H1L5H4T2F3M7W3I5W8,2000604,
20,2017회계연도 결산 관련 감사원에 대한 감사요구안,PRC_Q1D8G1F2H0F7Q1E1F0B6L3Y9X3W8Y5,2017308,
20,2020년도 농지관리기금운용계획변경안,PRC_V2Y0H0O4F1G6P1R4J3B3D4I7V2L7G8,2024846,
20,2017회계연도 결산,PRC_O1P8X0J5Z3A1D1H0K1Z4O3T4B3Q6C4,2013858,
20,2019년도 예산안,PRC_D1T8T0H9U0E3A1I0I1N4J0K2O7E0O9,2015245,
20,2016회계연도 한국교육방송공사 결산 승인안,PRC_W1M7C0H6W3P0V1P3P1I2E1T9P3M3K1,2007709,
20,2016년도 관광진흥개발기금운용계획변경안,PRC_R1G6I0Y7A2N6Q1F1W0P5Y1I2W7A0P1,2001175,
20,2019년도 관광진흥개발기금운용계획변경안,PRC_O1O9K0D4P2C5D0B9M5U9R2W9A8A6P4,2020008,
20,2019년도 무역보험기금운용계획변경안,PRC_C1F9H0W4N2K5I0S9S5Q5Y5L1Y7Z1Z7,2020000,
20,2016년도 기술신용보증기금운용계획변경안,PRC_S1A6U0I7H2A6W1Y1Y0F3K3U0Q5M4M0,2001171,
20,2020년도 주택금융신용보증기금운용계획변경안,PRC_H2A0P0J4J1Y6Z1U4S2X7X2F0I5W8H6,2024842,
20,2018년도 순국선열·애국지사사업기금운용계획변경안,PRC_Z1X8U1A1P0W1M1B5N1Z7V0U2B3X2U8,2016255,
20,2018년도 농지관리기금운용계획변경안,PRC_K1Q8I0I4T0U6S1I0W3O4I4O2B8W1U2,2012940,
20,2016년도 무역보험기금운용계획변경안,PRC_H1Y6N0Q7E2Z6G1E1M0H5N5N0X4J3O6,2001176,
20,2019년도 농산물가격안정기금운용계획변경안,PRC_J1T9V0E4A2Z5E1N0G0X9C2I8W0X5A6,2020013,
20,2020년도 고용보험기금운용계획변경안,PRC_V2W0G0U3H0N5E0Z9Y3P3W3Z1F4X5S1,2024746,
