age,title,bill_id,bill_number,content
20,도로교통법 일부개정법률안(대안),PRC_J2H0O0L5E1Y4P1G5J5V8P4Z4N5E9L3,2024982,개인형 이동장치로 전기모터를 기반으로 한 전동킥보드 등의 이용자가 증가하는데 비해 이에 대한 운행 규정이 미비한 상황이므로 이를 보완․개선하여 사회적․기술적 변화를 법률에 반영하고 초과속 운전의 경우 타 운전자에게 위협이 될 뿐만 아니라 사고 발생 시 심각한 인명피해를 야기할 수 있으므로 처벌을 강화하여 도로에서의 안전을 확보하며 긴급자동차․소방차의 경우에도 경찰용 긴급자동차와 마찬가지로 필요한 경우 고속도로등에서 주․정차할 수 있도록 근거를 마련하여 국민의 생명․신체 및 재산을 보호하고자 하는 것임. 가. 원동기장치자전거 중 개인형 이동장치를 새롭게 정의하고 자전거도로를 통행할 수 있도록 하는 등 새로운 교통수단을 현행 교통체계에 적절하게 편입하여 교통안전을 확보하고자 함(안 제2조제8호 및 제9호 등). 나. 제한된 최고속도보다 시속 80킬로미터를 초과한 경우 30만원 이하의 벌금․구류 시속 100킬로미터를 초과한 경우 100만원 이하의 벌금․구류 시속 100킬로미터를 3회 이상 초과한 경우에는 난폭운전과 같이 1년 이하의 징역이나 500만 이하의 벌금에 처하도록 함(안 제93조제1항제5의3 제151조의2제2호 제153조제2항제2호 제154조제9호 제156조제1호) 다. 소방차가 고속도로에서 화재진압 및 인명 구조․구급 등 소방활동 소방지원활동 및 생활안전활동을 수행하기 위하여 경찰용 긴급자동차 및 소방차를 제외한 긴급자동차가 사용 목적을 달성하기 위하여 고속도로등에서 정차 또는 주차시킬 수 있도록 함(안 제64조제6의2호 및 제6의3호).
20,미세먼지 저감 및 관리에 관한 특별법 일부개정법률안(대안),PRC_A1C9O1E2T1G2H1S8C3X7L4Q1N8I8D6,2024729,현행법에는 계절적 비상시적 요인 등으로 미세먼지 등을 배출 및 관리하기 위한 수단으로 환경부장관이 대기오염물질배출시설의 가동률 조정 등을 요청하는 것만을 규정하고 있으나 고농도 미세먼지 발생을 사전 예방하기 위해서는 고농도 미세먼지 발생이 잦은 겨울과 봄에 일정 기간을 정하여 배출 관리를 보다 집중적으로 시행할 필요가 있음. 이에 환경부장관이 초미세먼지 월평균 농도가 특히 심화되는 12월에서 3월까지의 기간에 대기오염물질배출시설의 가동률 조정 외에도 선박에 대한 연료 전환 등 강화된 저감조치를 관계 중앙행정기관의 장 지방자치단체의 장 등에게 요청할 수 있도록 하고 시‧도지사 또한 동일 기간에 기존 제18조제1항에 따른 차량운행제한 등 비상저감조치로 규정한 조치사항 등의 조치를 시행할 수 있도록 하며 이를 위반한 경우에 대한 과태료 규정을 마련하려는 것임(안 제21조 제31조제1항제3호 및 제4호 제31조제2항).
20,인터넷전문은행 설립 및 운영에 관한 특례법 일부개정법률안,PRC_S2S0I0Q4V2L8J0V9C0T5E5F1J7Z1Q1,2024892,현행법은 인터넷전문은행의 대주주 자격을 기존의 금융회사 수준으로 지나치게 엄격하게 규정하고 있어 정보통신기술(ICT) 기업 등 산업자본의 인터넷은행 진출을 열어준다는 법률 취지에 부합하지 않는다는 지적이 있음. 이에 금융회사와 달리 각종 규제 위반의 가능성에 노출된 산업자본의 특수성을 고려 「독점규제 및 공정거래에 관한 법률」 위반과 관련된 요건을 「독점규제 및 공정거래에 관한 법률」상의 불공정거래행위 및 특수관계인에 대한 부당한 이익제공의 금지규정 위반과 관련된 요건으로 대주주에 대한 승인요건을 한정함으로써 혁신적 금융서비스의 발전에 기여하고자 함(안 별표 제1호마목).
20,공익신고자 보호법 일부개정법률안(대안),PRC_X2X0E0G3I0O4G1B3N2V3X5N3P6W3T2,2024884,공익신고의 활성화 및 공익신고자의 두터운 보호를 위하여 공익침해행위 대상 법률을 현재의 284개에서 182개를 새로이 추가하여 별표에 규정하고자 함. 아울러 별표의 개정 이후에 법의 제명 변경 분법 및 삭제를 이유로 수정된 내용을 반영하여 현행화하고자 함(안 별표)
20,수상레저안전법 일부개정법률안(대안),PRC_B2O0N0B3U0G3F1N5E5T9Y1J9B7L1A9,2024896,등록의 대상이 아닌 수상레저기구로 수상레저활동을 하려는 자는 출발항으로부터 10해리 이상 떨어진 곳에서 수상레저활동을 할 수 없도록 하여 해상에서의 안전사고 예방을 도모하고 동법상 임시운항 관련 규정이 없어 동력수상레저기구를 등록 전에 임시로 항해에 사용하려면 「선박안전법」상 임시항행검사를 받아야 하는 불편이 있으므로 임시운항허가 제도를 신설하는 한편 고위험 신종레저기구인 공기주입형 고정식 튜브(블롭점프․워터파크) 등 등록 대상이 아닌 수상레저기구를 운영하는 수상레저사업자의 준수사항에 대한 하위법령의 법적근거와 위반 시 제재규정을 마련하려는 것임. 가. 등록 대상이 아닌 수상레저기구로 출발항으로부터 10해리 이상에서 수상레저활동을 하는 것을 금지하고 이를 위반한 경우 100만원 이하의 과태료를 부과함(안 제19조제2항 및 제59조제1항제4호의2 신설). 나. 신규검사를 받기 전에 국내에서 동력수상레저기구로 시운전을 하고자 하는 경우 임시운항허가 관서로부터 임시운항허가를 받도록 하고 임시운항허가를 받지 않고 동력수상레저기구를 조종한 경우 6개월 이하의 징역 또는 500만원 이하의 벌금에 처함(안 제38조의2 및 제58조제1호의4 신설). 다. 등록대상이 아닌 수상레저기구를 운영하는 수상레저사업자와 종사자의 준수사항에 대한 근거를 마련하고 이를 위반한 경우의 등록취소·영업정지 및 과태료를 규정함(안 제48조의2 및 제59조제1항제12호 신설 안 제51조제6호).
20,전자금융거래법 일부개정법률안(대안),PRC_L2B0M0H3T0F4T1L1T0K4O3U7D5Y2R1,2024887,최근 전기통신금융사기가 크게 증가하여 이로 인한 국민의 피해 규모가 늘어나고 있어 국민의 재산을 보호하기 위한 조치가 시급함. 전기통신금융사기 이른바 보이스피싱 범죄는 전화·인터넷·모바일 등 다양한 전기통신수단을 통해 국민을 기망하여 재산에 손실을 끼치는 중대사기범죄로서 전화통화·문자메시지(SMS)와 같은 종래의 수단 뿐만 아니라 메신저·사회관계망서비스(SNS)·모바일 앱(Application) 등의 새로운 전기통신수단까지 이용하는 등 그 수법이 지능화되고 있음. 이에 보이스피싱 범죄에 대한 대응을 강화하는 차원에서 처벌을 강화함으로써 범죄의 사전예방적 효과를 높이고 범죄자에 대해서는 보다 엄중하게 처벌을 할 필요가 있음. 또한 금융회사의 자동화기기(CD/ATM)를 이용하면서 기기의 장애·고장으로 신용카드가 반환되지 않는 경우 이용자가 자신의 신용카드를 반환받으려면 이를 신고하고 금융회사 또는 전자금융업자에게 이용자 본인임을 확인시키고자 그들의 신분증 제시에 응하게 되는데 신분증 제시를 통한 본인확인조치의 법적 근거는 없음. 이러한 신분증 제시는 이용자가 아닌 사람에게 신용카드와 같은 중요 접근매체가 반환되는 것을 방지하기 위한 절차이나 주민등록번호·주소 등 민감한 개인정보가 포함되어 있는 신분증을 사인(私人)에게 제시하는 것이므로 법적 근거가 마련될 필요가 있음. 이에 현행 전자금융거래법상의 금융회사 또는 전자금융업자가 전자적 장치의 작동오류 등 불가피한 사유로 이용자의 접근매체를 획득한 경우 이를 그 이용자에게 반환할 때에는 신분증 제시 요청 등의 방법으로 본인확인조치를 할 수 있도록 함으로써 법적 근거를 명확히 하고 대포통장의 양수도·대여에 대한 처벌을 강화하고 대포통장의 양수도·대여를 중개하거나 대가를 전제로 권유하는 행위 및 범죄에 이용될 것을 알면서 계좌 정보를 제공받거나 제공하는 행위에 대한 처벌 근거를 명확히 함으로써 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임. 가. 접근매체의 양수도·대여 및 유통을 알선·광고하는 행위 뿐 아니라 중개하거나 대가를 수수(授受)·요구 또는 약속하면서 권유하는 행위에 대해서도 금지함(안 제6조제3항제5호). 나. 금융회사 또는 전자금융업자가 전자적 장치의 작동오류 등 불가피한 사유로 이용자의 접근매체를 획득한 경우 이를 그 이용자에게 반환할 때에는 신분증 제시 요청 등의 방법으로 본인확인조치를 할 수 있도록 함(안 제6조제4항 및 제5항 신설). 다. 범죄에 이용할 목적 또는 범죄에 이용될 것을 알면서 계좌와 관련된 정보를 제공받거나 제공하는 행위 보관·전달·유통하는 행위를 하여서는 아니 됨(안 제6조의3 신설). 라. 접근매체를 양수도·대여하거나 보관·전달·유통하는 행위 및 이를 알선·광고하는 행위에 대해서는 5년 이하의 징역 또는 3천만원 이하의 벌금에 처하며 접근매체의 양수도·대여 및 보관·전달·유통을 중개하거나 대가를 수수(授受)·요구 또는 약속하면서 권유하는 행위에 대해서도 5년 이하의 징역 또는 3천만원 이하의 벌금에 처하도록 하고 범죄에 이용할 목적 또는 범죄에 이용될 것을 알면서 계좌와 관련된 정보를 제공받거나 제공하는 행위 보관·전달·유통하는 행위에 대해서도 5년 이하의 징역 또는 3천만원 이하의 벌금에 처함(안 제49조제4항).
20,법률용어 정비를 위한 기획재정위원회 소관 33개 법률 일부개정을 위한 법률안,PRC_X1P9O1F1D2J8J1V3B0K8X4Z4E4J6D9,2024958,헌법상 기본원리인 법치주의 실현을 위해서는 법률이 알기 쉽고 분명한 용어로 표현되어 있어서 일반 국민이라면 누구나 그 내용을 쉽게 이해하고 법을 잘 지킬 수 있어야 함. 그러나 현행 법률에서는 어려운 한자어나 일본식 표현을 사용하는 경우가 많아 국민의 일상 언어생활과 거리가 있다는 지적을 받고 있음. 입법권에 대한 권한과 책임을 부여받은 국회는 한문이나 한자어가 친근하지 않은 세대가 증가하고 있는 사회 변화에 맞추어 법률용어와 문장을 한글화하고 이해하기 쉽게 표현하도록 노력할 필요가 있음. 이를 위해 어려운 한자어 축약된 한자어 부자연스러운 일본식 용어 등을 한글화하거나 보다 쉬운 표현으로 개정함으로써 법률에 대한 국민의 이해 정도와 접근가능성을 확장시키고 국회에 대한 국민의 신뢰를 높이는 데에 기여하고자 함. 가. 법률용어의 정비는 간단한 의미의 비전문적인 용어를 중심으로 법제적 및 국어학적 측면을 고려하여 개정하는 방식으로 하되 ‘기타 → 그 밖의’ ‘～규정에 의한 → ～에 따른’ 등과 같은 관용적인 순화표현을 함께 개정함. 나. 어려운 한자어는 우리말로 정비하되 적절한 우리말이 없는 경우에는 보다 쉬운 한자어로 개정하고 한문이 익숙하지 않은 세대의 증가를 고려하여 한자를 함께 기재하는 방식은 사용하지 않음. (예) 개장(改裝) → 재포장 다. 부자연스러운 일본식 한자어 또는 일본어 투 표현을 정비함. (예) 요하는 → 필요한 라. 축약되어 그 의미를 알기 어려운 한자어를 쉽게 풀어씀. (예) 개폐(改廢) → 개정·폐지 마. 권위적 용어나 문법에 맞지 않는 불명확한 표현 등을 정비함. (예) 과태료에 처한다 → 과태료를 부과한다 바. 동사를 정비하는 과정에서 그 동사를 명사 또는 명사형으로 전환하여 사용하는 것이 어색한 경우에는 문장의 서술어만을 정비함.
20,산지관리법 일부개정법률안(대안),PRC_Z2A0H0G3L0F3F1M5F5S6J4D6F5I8I8,2024899,현행법은 토석채취사업장의 안전 확보 및 산림피해 방지를 위해 현장관리업무담당자를 지정하고 예외 없이 업무 수행에 필요한 교육을 이수하도록 규정하고 있어 이미 다른 법률에 따라 유사한 안전교육을 이수한 경우 등에도 중복하여 교육을 이수해야 하는 문제점이 있어 이를 해소하고 한국산림토석협회의 사업범위를 법률에 직접 규정하는 등 현행 제도의 운영상 나타난 일부 미비점을 개선·보완하려는 것임. 가. 어려운 한자어 등의 법률용어를 국민이 보다 알기 쉬운 표현으로 정비(안 제3조의2 제11조 제18조 제19조 제19조의2 및 제27조). 나. 한국산림토석협회의 사업범위를 법률에 구체화하고 토석채취·복구 등과 관련된 사업에 대한 위탁 근거를 명확히 함(안 제36조의2제3항). 다.「광업법」에 따른 채굴계획의 인가를 받은 자가 토석채취허가 등을 받은 경우로서 「광산안전법」에 따라 안전교육을 이수한 경우 등에는 현장관리업무담당자 교육의 전부 또는 일부를 면제할 수 있도록 함(안 제46조의3제3항).
20,지역사랑상품권 이용 활성화에 관한 법률안(대안),PRC_Z2L0T0H4A2R8O1G6W4M9Y4B9U2T4V6,2024914,최근 각 지방자치단체에서 지역경제 활성화를 위해 지역 상권을 기반으로 하는 지역사랑상품권을 조례에 근거해 발행․유통하여 지역 내 영세․중소상공인의 소득이 증가하는 등 긍정적인 효과가 발생하고 있음. 그러나 지방자치단체의 상품권 사업은 법률의 근거 없이 지방자치단체의 조례에 따라 운영되고 있어 상품권 발행․유통에 대한 관리․감독이 제대로 이루어지고 있지 못한바 상품권을 불법으로 환전(일명 “상품권깡”)하거나 무리한 상품권 유통 활성화 정책으로 인해 상품권을 지방공무원 보수로 지급하는 불법행위가 나타나는 등 명확한 법적 근거 및 체계적․제도적 지원의 부족으로 인해 지역사랑상품권 이용을 활성화하는 데 한계가 존재함. 이에 지방자치단체의 장이 발행하는 상품권의 발행․유통 등에 관한 사항을 법률에 규정하되 그 운영에 관한 세부적인 사항은 지방자치단체의 조례 등에 위임함으로써 지방자치단체의 자율성을 확보하는 동시에 지역사랑상품권의 유통질서를 확립하고 지역경제 활성화를 도모하고자 하는 것임. 가. “지역사랑상품권”을 지방자치단체의 장이 지역상품권 지역화폐 등 그 명칭 또는 형태와 관계없이 일정한 금액이나 물품 또는 용역의 수량을 기재(전자적 또는 자기적 방법에 의한 기록을 포함한다. 이하 같다)하여 발행한 증표로서 이를 제시하는 등의 방법으로 사용하여 물품 또는 용역을 제공받을 수 있는 유가증권 「전자금융거래법」 제2조제14호에 따른 선불전자지급수단(이하 “선불전자지급수단”이라 한다) 및 「여신전문금융업법」 제2조제8호에 따른 선불카드(이하 “선불카드”라 한다)로 정의함(안 제2조). 나. 지방자치단체의 장은 지역경제 활성화 및 지역공동체 강화를 위하여 지역사랑상품권을 발행할 수 있도록 하고 지역사랑상품권의 유효기간은 발행일로부터 5년을 원칙으로 하되 소지자 등의 권리를 침해하지 않는 범위에서 조례로 정하는 바에 따라 유효기간을 단축하거나 연장할 수 있도록 하며 그 밖에 지역사랑상품권의 종류 권면금액 기재사항 등 지역사랑상품권 발행에 필요한 사항은 조례로 정하도록 함(안 제4조). 다. 지방자치단체의 장은 가맹점이 거짓이나 그 밖의 부정한 방법으로 가맹점 등록을 한 경우에는 그 등록을 취소하고 등록 제한업종이거나 가맹점의 준수사항을 위반한 경우에는 등록을 취소할 수 있도록 함(안 제8조). 라. 가맹점이 아니면 지역사랑상품권을 판매대행점에서 환전할 수 없고 환전대행가맹점은 개별가맹점을 위한 경우에만 환전을 대행할 수 있도록 함(안 제9조). 마. 개별가맹점은 물품의 판매 또는 용역의 제공 없이 수취한 지역사랑상품권을 환전하거나 환전대행가맹점에 환전을 요청하여서는 아니 되고 환전대행가맹점은 개별가맹점이 아닌 자를 위하여 지역사랑상품권의 환전을 대행하거나 물품의 판매 또는 용역의 제공 없이 수취한 지역사랑상품권의 환전을 대행하여서는 아니 되며 사용자는 지역사랑상품권을 재판매하거나 판매대행점 또는 가맹점에 환전을 요구하여서는 아니 됨(안 제10조 제11조). 바. 「근로기준법」제43조제1항 본문 및 「지방공무원법」제45조제1항에 따라 임금 또는 보수를 지급하는 경우와 「지방자치단체를 당사자로 하는 계약에 관한 법률」에 따른 공사·용역·물품 등 지방자치단체의 재정지출의 부담이 되는 계약에 대하여 그 대가를 지급하는 경우 지역사랑상품권으로 지급할 수 없다는 점을 명확히 하여 그 사용범위를 명확히 함(안 제13조). 사. 국가와 지방자치단체는 지역사랑상품권의 발행·판매·환전 등 운영에 필요한 지원을 할 수 있고 지방자치단체의 장은 지역사랑상품권 활성화를 위한 사업이나 활동을 지원하기 위하여 지역사랑상품권 기금을 설치할 수 있도록 함(안 제15조 제16조). 아. 지방자치단체의 장은 지역사랑상품권의 판매 등이나 제17조에 따른 위반행위의 조사 등의 사무를 수행하기 위하여 불가피한 경우 ｢개인정보 보호법｣ 제24조에 따른 고유식별정보를 처리할 수 있도록 함(안 제19조). 자. 지방자치단체의 장은 협약을 체결하지 아니하고 지역사랑상품권의 보관·판매·환전 업무를 대행한 자 등록하지 아니하고 가맹점 업무를 수행한 자 등에게는 2천만원 이하의 과태료를 부과할 수 있도록 하고 위반행위의 조사를 거부·방해 또는 기피한 자에게는 500만원 이하의 과태료를 부과할 수 있도록 함(안 제20조).
20,백두대간 보호에 관한 법률 일부개정법률안(대안),PRC_Q2J0Z0Y3X0X3H1N5S5W7Z3C1B2A8L3,2024901,백두대간을 지속가능하게 보전ㆍ관리하기 위하여 백두대간의 보호․관리의 기본원칙을 정하고 전사자의 고귀한 희생을 기리고 국민 애국정신 고취를 위하여 백두대간 보호지역 행위제한 제외사유로 ‘6.25. 전사자 유해의 조사·발굴’을 추가하며 백두대간 보호지역 내 산촌에 대한 관리계획을 수립토록 하고 등산로․탐방로를 위한 시설의 설치를 위해 필요한 때 토지 등을 수용 또는 사용할 수 있는 근거 등을 규정하여 백두대간이 우리 민족의 미래유산으로 온전히 보전될 수 있도록 하려는 것임. 가. 백두대간과 연속된 산줄기인 ‘정맥’에 대한 정의 및 백두대간을 보호․관리하기 위한 원칙에 대하여 규정함(안 제2조제1호의2 및 제3조의2 신설). 나. 백두대간보호지역 행위제한 제외사유로 ‘6.25 전사자 유해의 조사․발굴’을 추가함(안 제7조제1항제1호의2 신설 및 같은 조 제2항제1호). 다. 백두대간 보호지역 지정목적을 위하여 관련 토지등이 필요한 경우 매수 이외에 교환에 의해서도 이를 취득할 수 있도록 함(안 제10조). 라. 주민지원사업의 대상자 또는 지원혜택을 받은 자에게 백두대간 보호․관리활동 참여를 요청할 수 있도록 하고 보호지역 산촌 주민생활환경 개선 등을 위한 관리계획 수립․지원 근거를 마련함(안 제11조의제3항 및 제4항 신설). 마. 백두대간 관리 협력증진을 위한 정책협의체를 구성․운영하도록 함(안 제12조 신설). 바. 자연환경보존을 위한 시설 및 등산로․탐방로를 위한 시설의 설치를 위해 필요한 때 토지 등을 수용 또는 사용할 수 있는 근거를 규정함(안 제13조).
