BILL_NAME,RESULT_VOTE_MOD,members,parties,genders,districts
119구조·구급에 관한 법률 일부개정법률안(대안),불참,"{'윤종오': 1, '이학영': 1, '한창민': 1}","{'진보당': 1, '더불어민주당': 1, '사회민주당': 1}",{'남': 3},"{'울산 북구': 1, '경기 군포시': 1, '비례대표': 1}"
119구조·구급에 관한 법률 일부개정법률안(대안),찬성,"{'이언주': 1, '전용기': 1, '추미애': 1, '박정현': 1, '박민규': 1, '염태영': 1, '차지호': 1, '김선민': 1, '위성락': 1, '조지연': 1, '김대식': 1, '조계원': 1, '김선교': 1, '배현진': 1, '최형두': 1, '박수민': 1, '김소희': 1, '김미애': 1, '서명옥': 1, '이건태': 1, '강준현': 1, '김원이': 1, '이수진': 1, '이연희': 1, '김민전': 1, '이주영': 1, '이기헌': 1, '박은정': 1, '김교흥': 1, '최보윤': 1, '최기상': 1, '이종욱': 1, '주호영': 1, '김예지': 1, '진성준': 1, '윤후덕': 1, '곽상언': 1, '임광현': 1, '김영배': 1, '박정하': 1, '이헌승': 1, '박형수': 1, '천준호': 1, '신정훈': 1, '이인영': 1, '이재명': 1, '김종민': 1, '권칠승': 1, '윤한홍': 1, '송석준': 1, '김성원': 1, '윤준병': 1, '정일영': 1, '추경호': 1, '송기헌': 1, '박지혜': 1, '전진숙': 1, '안상훈': 1, '문대림': 1, '박수현': 1, '전현희': 1, '서미화': 1, '이재강': 1, '이춘석': 1, '안철수': 1, '이인선': 1, '김한규': 1, '김상욱': 1, '장동혁': 1, '김준혁': 1, '곽규택': 1, '조국': 1, '김현정': 1, '김장겸': 1, '차규근': 1, '정진욱': 1, '조인철': 1, '이병진': 1, '권향엽': 1, '김종양': 1, '황명선': 1, '송재봉': 1, '양문석': 1, '인요한': 1, '이정헌': 1, '이성권': 1, '박준태': 1, '백승아': 1, '김준형': 1, '이광희': 1, '유용원': 1, '이해민': 1, '안도걸': 1, '우재준': 1, '서왕진': 1, '김영환': 1, '채현일': 1}","{'더불어민주당': 54, '조국혁신당': 7, '국민의힘': 34, '개혁신당': 1, '무소속': 1}","{'여': 23, '남': 74}","{'경기 용인시정': 1, '경기 화성시정': 1, '경기 하남시갑': 1, '대전 대덕구': 1, '서울 관악구갑': 1, '경기 수원시무': 1, '경기 오산시': 1, '비례대표': 21, '경북 경산시': 1, '부산 사상구': 1, '전남 여수시을': 1, '경기 여주시양평군': 1, '서울 송파구을': 1, '경남 창원시마산합포구': 1, '서울 강남구을': 1, '부산 해운대구을': 1, '서울 강남구갑': 1, '경기 부천시병': 1, '세종특별자치시을': 1, '전남 목포시': 1, '경기 성남시중원구': 1, '충북 청주시흥덕구': 1, '경기 고양시병': 1, '인천 서구갑': 1, '서울 금천구': 1, '경남 창원시진해구': 1, '대구 수성구갑': 1, '서울 강서구을': 1, '경기 파주시갑': 1, '서울 종로구': 1, '서울 성북구갑': 1, '강원 원주시갑': 1, '부산 부산진구을': 1, '경북 의성군청송군영덕군울진군': 1, '서울 강북구갑': 1, '전남 나주시화순군': 1, '서울 구로구갑': 1, '인천 계양구을': 1, '세종특별자치시갑': 1, '경기 화성시병': 1, '경남 창원시마산회원구': 1, '경기 이천시': 1, '경기 동두천시양주시연천구을': 1, '전북 정읍시고창군': 1, '인천 연수구을': 1, '대구 달성군': 1, '강원 원주시을': 1, '경기 의정부시갑': 1, '광주 북구을': 1, '제주 제주시갑': 1, '충남 공주시부여군청양군': 1, '서울 중구성동구갑': 1, '경기 의정부시을': 1, '전북 익산시갑': 1, '경기 성남시분당구갑': 1, '대구 수성구을': 1, '제주 제주시을': 1, '울산 남구갑': 1, '충남 보령시서천군': 1, '경기 수원시정': 1, '부산 서구동구': 1, '경기 평택시병 ': 1, '광주 동구남구갑': 1, '광주 서구갑': 1, '경기 평택시을': 1, '전남 순천시광양시곡성군구례군을': 1, '경남 창원시의창구': 1, '충남 논산시계룡시금산군': 1, '충북 청주시청원구': 1, '경기 안산시갑': 1, '서울 광진구갑': 1, '부산 사하구갑': 1, '충북 청주시서원구': 1, '광주 동구남구을': 1, '대구 북구갑': 1, '경기 고양시정': 1, '서울 영등포구갑': 1}"
12.29 여객기 참사 진상규명과 피해자 및 유가족의 피해구제를 위한 특별위원회 구성의 건,불참,"{'송언석': 1, '강명구': 1, '김교흥': 1, '강득구': 1, '김종민': 1, '전진숙': 1, '김선민': 1}","{'국민의힘': 2, '더불어민주당': 3, '무소속': 1, '조국혁신당': 1}","{'남': 5, '여': 2}","{'경북 김천시': 1, '경북 구미시을': 1, '인천 서구갑': 1, '경기 안양시만안구': 1, '세종특별자치시갑': 1, '광주 북구을': 1, '비례대표': 1}"
12.29 여객기 참사 진상규명과 피해자 및 유가족의 피해구제를 위한 특별위원회 구성의 건,찬성,"{'김성환': 1, '김석기': 1, '서범수': 1, '이원택': 1, '복기왕': 1, '김희정': 1, '이언주': 1, '안상훈': 1, '추미애': 1, '박수현': 1, '김상욱': 1, '장동혁': 1, '염태영': 1, '윤종오': 1, '양문석': 1, '이정헌': 1, '김영환': 1, '김성회': 1, '조계원': 1, '임종득': 1, '정동만': 1, '윤건영': 1, '최형두': 1, '이강일': 1, '소병훈': 1, '박선원': 1, '서명옥': 1, '김영진': 1, '강준현': 1, '김태년': 1, '임오경': 1, '김윤': 1, '김위상': 1, '이성윤': 1, '김민전': 1, '안태준': 1, '김동아': 1, '이주영': 1, '임미애': 1, '박은정': 1, '정청래': 1, '정을호': 1, '최보윤': 1, '유영하': 1, '주진우': 1, '정성국': 1, '서지영': 1, '강대식': 1, '박수영': 1, '주호영': 1, '김예지': 1, '진성준': 1, '권성동': 1, '윤후덕': 1, '이상식': 1, '김태선': 1, '강민국': 1, '신영대': 1, '민홍철': 1, '이학영': 1, '홍기원': 1, '천준호': 1, '박대출': 1, '오세희': 1, '이재명': 1, '문대림': 1, '박정현': 1, '박민규': 1, '전현희': 1, '서미화': 1, '이재강': 1, '이춘석': 1, '안철수': 1, '이인선': 1, '김한규': 1, '김준혁': 1, '곽규택': 1, '김현정': 1, '김장겸': 1, '차지호': 1, '차규근': 1, '정진욱': 1, '조인철': 1, '이병진': 1, '권향엽': 1, '김종양': 1, '황명선': 1, '송재봉': 1, '인요한': 1, '위성락': 1, '이성권': 1, '박준태': 1}","{'더불어민주당': 56, '국민의힘': 32, '진보당': 1, '개혁신당': 1, '조국혁신당': 2}","{'남': 74, '여': 18}","{'서울 노원구을': 1, '경북 경주시': 1, '울산 울주군': 1, '전북 군산시김제시부안군을': 1, '충남 아산시갑': 1, '부산 연제구': 1, '경기 용인시정': 1, '비례대표': 17, '경기 하남시갑': 1, '충남 공주시부여군청양군': 1, '울산 남구갑': 1, '충남 보령시서천군': 1, '경기 수원시무': 1, '울산 북구': 1, '경기 안산시갑': 1, '서울 광진구갑': 1, '경기 고양시정': 1, '경기 고양시갑': 1, '전남 여수시을': 1, '경북 영주시영양군봉화군': 1, '부산 기장군': 1, '서울 구로구을': 1, '경남 창원시마산합포구': 1, '충북 청주시상당구': 1, '경기 광주시갑': 1, '인천 부평구을': 1, '서울 강남구갑': 1, '경기 수원시병': 1, '세종특별자치시을': 1, '경기 성남시수정구': 1, '경기 광명시갑': 1, '전북 전주시을': 1, '경기 광주시을': 1, '서울 서대문구갑': 1, '서울 마포구을': 1, '대구 달서구갑': 1, '부산 해운대구갑': 1, '부산 부산진구갑': 1, '부산 동래구': 1, '대구 동구군위군을': 1, '부산 남구': 1, '대구 수성구갑': 1, '서울 강서구을': 1, '강원 강릉시': 1, '경기 파주시갑': 1, '경기 용인시갑': 1, '울산 동구': 1, '경남 진주시을': 1, '전북 군산시김제시부안군갑': 1, '경남 김해시갑': 1, '경기 군포시': 1, '경기 평택시갑': 1, '서울 강북구갑': 1, '경남 진주시갑': 1, '인천 계양구을': 1, '제주 제주시갑': 1, '대전 대덕구': 1, '서울 관악구갑': 1, '서울 중구성동구갑': 1, '경기 의정부시을': 1, '전북 익산시갑': 1, '경기 성남시분당구갑': 1, '대구 수성구을': 1, '제주 제주시을': 1, '경기 수원시정': 1, '부산 서구동구': 1, '경기 평택시병 ': 1, '경기 오산시': 1, '광주 동구남구갑': 1, '광주 서구갑': 1, '경기 평택시을': 1, '전남 순천시광양시곡성군구례군을': 1, '경남 창원시의창구': 1, '충남 논산시계룡시금산군': 1, '충북 청주시청원구': 1, '부산 사하구갑': 1}"
12·29 여객기 참사 피해자와 유가족에 대한 2차 가해 방지 및 엄정 대처 촉구 결의안,불참,"{'박수현': 1, '유영하': 1, '주호영': 1, '이상식': 1, '강민국': 1, '김종민': 1, '김석기': 1, '송언석': 1, '양문석': 1, '이성권': 1}","{'더불어민주당': 3, '국민의힘': 6, '무소속': 1}",{'남': 10},"{'충남 공주시부여군청양군': 1, '대구 달서구갑': 1, '대구 수성구갑': 1, '경기 용인시갑': 1, '경남 진주시을': 1, '세종특별자치시갑': 1, '경북 경주시': 1, '경북 김천시': 1, '경기 안산시갑': 1, '부산 사하구갑': 1}"
12·29 여객기 참사 피해자와 유가족에 대한 2차 가해 방지 및 엄정 대처 촉구 결의안,찬성,"{'이언주': 1, '김희정': 1, '추미애': 1, '김상욱': 1, '장동혁': 1, '염태영': 1, '윤종오': 1, '이정헌': 1, '김영환': 1, '김성회': 1, '정동만': 1, '윤건영': 1, '최형두': 1, '이강일': 1, '강명구': 1, '박선원': 1, '서명옥': 1, '김영진': 1, '강준현': 1, '김태년': 1, '임오경': 1, '김윤': 1, '김위상': 1, '이성윤': 1, '김민전': 1, '안태준': 1, '김동아': 1, '이주영': 1, '임미애': 1, '박은정': 1, '정청래': 1, '김교흥': 1, '최보윤': 1, '주진우': 1, '서지영': 1, '강대식': 1, '박수영': 1, '강득구': 1, '김예지': 1, '진성준': 1, '권성동': 1, '윤후덕': 1, '김태선': 1, '신영대': 1, '민홍철': 1, '이학영': 1, '홍기원': 1, '오세희': 1, '이재명': 1, '김성환': 1, '서범수': 1, '이원택': 1, '복기왕': 1, '안상훈': 1, '전진숙': 1, '문대림': 1, '박정현': 1, '박민규': 1, '전현희': 1, '서미화': 1, '이재강': 1, '이춘석': 1, '안철수': 1, '이인선': 1, '김한규': 1, '김준혁': 1, '곽규택': 1, '김현정': 1, '김장겸': 1, '차지호': 1, '차규근': 1, '정진욱': 1, '조인철': 1, '이병진': 1, '권향엽': 1, '김종양': 1, '황명선': 1, '송재봉': 1, '인요한': 1, '김선민': 1, '위성락': 1, '박준태': 1, '백승아': 1, '김준형': 1, '이광희': 1, '유용원': 1, '이해민': 1, '안도걸': 1, '우재준': 1}","{'더불어민주당': 55, '국민의힘': 27, '진보당': 1, '개혁신당': 1, '조국혁신당': 5}","{'여': 22, '남': 67}","{'경기 용인시정': 1, '부산 연제구': 1, '경기 하남시갑': 1, '울산 남구갑': 1, '충남 보령시서천군': 1, '경기 수원시무': 1, '울산 북구': 1, '서울 광진구갑': 1, '경기 고양시정': 1, '경기 고양시갑': 1, '부산 기장군': 1, '서울 구로구을': 1, '경남 창원시마산합포구': 1, '충북 청주시상당구': 1, '경북 구미시을': 1, '인천 부평구을': 1, '서울 강남구갑': 1, '경기 수원시병': 1, '세종특별자치시을': 1, '경기 성남시수정구': 1, '경기 광명시갑': 1, '비례대표': 21, '전북 전주시을': 1, '경기 광주시을': 1, '서울 서대문구갑': 1, '서울 마포구을': 1, '인천 서구갑': 1, '부산 해운대구갑': 1, '부산 동래구': 1, '대구 동구군위군을': 1, '부산 남구': 1, '경기 안양시만안구': 1, '서울 강서구을': 1, '강원 강릉시': 1, '경기 파주시갑': 1, '울산 동구': 1, '전북 군산시김제시부안군갑': 1, '경남 김해시갑': 1, '경기 군포시': 1, '경기 평택시갑': 1, '인천 계양구을': 1, '서울 노원구을': 1, '울산 울주군': 1, '전북 군산시김제시부안군을': 1, '충남 아산시갑': 1, '광주 북구을': 1, '제주 제주시갑': 1, '대전 대덕구': 1, '서울 관악구갑': 1, '서울 중구성동구갑': 1, '경기 의정부시을': 1, '전북 익산시갑': 1, '경기 성남시분당구갑': 1, '대구 수성구을': 1, '제주 제주시을': 1, '경기 수원시정': 1, '부산 서구동구': 1, '경기 평택시병 ': 1, '경기 오산시': 1, '광주 동구남구갑': 1, '광주 서구갑': 1, '경기 평택시을': 1, '전남 순천시광양시곡성군구례군을': 1, '경남 창원시의창구': 1, '충남 논산시계룡시금산군': 1, '충북 청주시청원구': 1, '충북 청주시서원구': 1, '광주 동구남구을': 1, '대구 북구갑': 1}"
12·29여객기참사 피해구제 및 지원 등을 위한 특별법안(대안),불참,"{'김종양': 1, '박성민': 1}",{'국민의힘': 2},{'남': 2},"{'경남 창원시의창구': 1, '울산 중구': 1}"
12·29여객기참사 피해구제 및 지원 등을 위한 특별법안(대안),찬성,"{'이언주': 1, '안상훈': 1, '추미애': 1, '문대림': 1, '박민규': 1, '박수현': 1, '전현희': 1, '이춘석': 1, '김한규': 1, '김상욱': 1, '장동혁': 1, '김준혁': 1, '염태영': 1, '김현정': 1, '윤종오': 1, '차지호': 1, '차규근': 1, '정진욱': 1, '권향엽': 1, '양문석': 1, '인요한': 1, '이정헌': 1, '안도걸': 1, '김영환': 1, '천하람': 1, '조지연': 1, '김성회': 1, '조계원': 1, '강승규': 1, '임종득': 1, '손명수': 1, '권영진': 1, '이해식': 1, '정동만': 1, '윤건영': 1, '최형두': 1, '구자근': 1, '김용민': 1, '이강일': 1, '박홍배': 1, '강명구': 1, '소병훈': 1, '박선원': 1, '서명옥': 1, '정연욱': 1, '김영진': 1, '강준현': 1, '김남희': 1, '김태년': 1, '어기구': 1, '임오경': 1, '서일준': 1, '한기호': 1, '장경태': 1, '김윤': 1, '김건': 1, '정준호': 1, '김위상': 1, '이수진': 1, '이성윤': 1, '김민전': 1, '신동욱': 1, '한민수': 1, '안태준': 1, '김동아': 1, '이주영': 1, '임미애': 1, '박은정': 1, '정청래': 1, '조정식': 1, '김교흥': 1, '정을호': 1, '최보윤': 1, '유영하': 1, '주진우': 1, '최기상': 1, '김은혜': 1, '권영세': 1, '정성국': 1, '김기표': 1, '이상휘': 1, '서지영': 1, '강대식': 1, '박수영': 1, '주호영': 1, '정희용': 1, '강득구': 1, '김예지': 1, '박덕흠': 1, '진성준': 1, '권성동': 1, '윤후덕': 1, '이상식': 1, '박성훈': 1, '김태선': 1, '한지아': 1, '허종식': 1}","{'더불어민주당': 55, '국민의힘': 37, '진보당': 1, '조국혁신당': 2, '개혁신당': 2}","{'여': 18, '남': 79}","{'경기 용인시정': 1, '비례대표': 16, '경기 하남시갑': 1, '제주 제주시갑': 1, '서울 관악구갑': 1, '충남 공주시부여군청양군': 1, '서울 중구성동구갑': 1, '전북 익산시갑': 1, '제주 제주시을': 1, '울산 남구갑': 1, '충남 보령시서천군': 1, '경기 수원시정': 1, '경기 수원시무': 1, '경기 평택시병 ': 1, '울산 북구': 1, '경기 오산시': 1, '광주 동구남구갑': 1, '전남 순천시광양시곡성군구례군을': 1, '경기 안산시갑': 1, '서울 광진구갑': 1, '광주 동구남구을': 1, '경기 고양시정': 1, '경북 경산시': 1, '경기 고양시갑': 1, '전남 여수시을': 1, '충남 홍성군예산군': 1, '경북 영주시영양군봉화군': 1, '경기 용인시을': 1, '대구 달서구병': 1, '서울 강동구을': 1, '부산 기장군': 1, '서울 구로구을': 1, '경남 창원시마산합포구': 1, '경북 구미시갑': 1, '경기 남양주시병': 1, '충북 청주시상당구': 1, '경북 구미시을': 1, '경기 광주시갑': 1, '인천 부평구을': 1, '서울 강남구갑': 1, '부산 수영구': 1, '경기 수원시병': 1, '세종특별자치시을': 1, '경기 광명시을': 1, '경기 성남시수정구': 1, '충남 당진시': 1, '경기 광명시갑': 1, '경남 거제시': 1, '강원 춘천시철원군화천군양구군을': 1, '서울 동대문구을': 1, '광주 북구갑': 1, '경기 성남시중원구': 1, '전북 전주시을': 1, '서울 서초구을': 1, '서울 강북구을': 1, '경기 광주시을': 1, '서울 서대문구갑': 1, '서울 마포구을': 1, '경기 시흥시을': 1, '인천 서구갑': 1, '대구 달서구갑': 1, '부산 해운대구갑': 1, '서울 금천구': 1, '경기 성남시분당구을': 1, '서울 용산구': 1, '부산 부산진구갑': 1, '경기 부천시을': 1, '경북 포항시남구울릉군': 1, '부산 동래구': 1, '대구 동구군위군을': 1, '부산 남구': 1, '대구 수성구갑': 1, '경북 고령군성주군칠곡군': 1, '경기 안양시만안구': 1, '충북 보은군옥천군영동군괴산군': 1, '서울 강서구을': 1, '강원 강릉시': 1, '경기 파주시갑': 1, '경기 용인시갑': 1, '부산 북구을': 1, '울산 동구': 1, '인천 동구미추홀구갑': 1}"
2012년 12월 11일 서울에서 서명된 대한민국 정부와 키르기즈공화국 정부 간의 소득과 자본에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협정을 개정하는 의정서 비준동의안,불참,"{'서영교': 1, '천준호': 1, '김종민': 1, '김기현': 1, '김성환': 1, '이언주': 1, '김상욱': 1, '강명구': 1, '주호영': 1, '강득구': 1, '전현희': 1, '안철수': 1, '김장겸': 1}","{'더불어민주당': 6, '무소속': 1, '국민의힘': 6}","{'여': 3, '남': 10}","{'서울 중랑구갑': 1, '서울 강북구갑': 1, '세종특별자치시갑': 1, '울산 남구을': 1, '서울 노원구을': 1, '경기 용인시정': 1, '울산 남구갑': 1, '경북 구미시을': 1, '대구 수성구갑': 1, '경기 안양시만안구': 1, '서울 중구성동구갑': 1, '경기 성남시분당구갑': 1, '비례대표': 1}"
2012년 12월 11일 서울에서 서명된 대한민국 정부와 키르기즈공화국 정부 간의 소득과 자본에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협정을 개정하는 의정서 비준동의안,찬성,"{'민홍철': 1, '이헌승': 1, '이학영': 1, '홍기원': 1, '박대출': 1, '오세희': 1, '이재명': 1, '김석기': 1, '송옥주': 1, '서범수': 1, '이원택': 1, '송언석': 1, '전용기': 1, '복기왕': 1, '김희정': 1, '안상훈': 1, '추미애': 1, '박민규': 1, '박수현': 1, '장동혁': 1, '염태영': 1, '김현정': 1, '윤종오': 1, '권향엽': 1, '양문석': 1, '이정헌': 1, '안도걸': 1, '김영환': 1, '김성회': 1, '조계원': 1, '임종득': 1, '권영진': 1, '정동만': 1, '윤건영': 1, '최형두': 1, '이강일': 1, '소병훈': 1, '박선원': 1, '서명옥': 1, '김영진': 1, '강준현': 1, '김태년': 1, '임오경': 1, '김윤': 1, '김위상': 1, '이수진': 1, '이성윤': 1, '김민전': 1, '안태준': 1, '김동아': 1, '이주영': 1, '임미애': 1, '박은정': 1, '정청래': 1, '김교흥': 1, '정을호': 1, '최보윤': 1, '유영하': 1, '주진우': 1, '정성국': 1, '서지영': 1, '강대식': 1, '박수영': 1, '정희용': 1, '김예지': 1, '진성준': 1, '권성동': 1, '윤후덕': 1, '이상식': 1, '김태선': 1, '정동영': 1, '강민국': 1, '신영대': 1, '전진숙': 1, '문대림': 1, '박정현': 1, '서미화': 1, '이재강': 1, '이춘석': 1, '이인선': 1, '김한규': 1, '김준혁': 1, '곽규택': 1, '차지호': 1, '차규근': 1, '정진욱': 1}","{'더불어민주당': 54, '국민의힘': 28, '진보당': 1, '개혁신당': 1, '조국혁신당': 2}","{'남': 67, '여': 19}","{'경남 김해시갑': 1, '부산 부산진구을': 1, '경기 군포시': 1, '경기 평택시갑': 1, '경남 진주시갑': 1, '비례대표': 13, '인천 계양구을': 1, '경북 경주시': 1, '경기 화성시갑': 1, '울산 울주군': 1, '전북 군산시김제시부안군을': 1, '경북 김천시': 1, '경기 화성시정': 1, '충남 아산시갑': 1, '부산 연제구': 1, '경기 하남시갑': 1, '서울 관악구갑': 1, '충남 공주시부여군청양군': 1, '충남 보령시서천군': 1, '경기 수원시무': 1, '경기 평택시병 ': 1, '울산 북구': 1, '전남 순천시광양시곡성군구례군을': 1, '경기 안산시갑': 1, '서울 광진구갑': 1, '광주 동구남구을': 1, '경기 고양시정': 1, '경기 고양시갑': 1, '전남 여수시을': 1, '경북 영주시영양군봉화군': 1, '대구 달서구병': 1, '부산 기장군': 1, '서울 구로구을': 1, '경남 창원시마산합포구': 1, '충북 청주시상당구': 1, '경기 광주시갑': 1, '인천 부평구을': 1, '서울 강남구갑': 1, '경기 수원시병': 1, '세종특별자치시을': 1, '경기 성남시수정구': 1, '경기 광명시갑': 1, '경기 성남시중원구': 1, '전북 전주시을': 1, '경기 광주시을': 1, '서울 서대문구갑': 1, '서울 마포구을': 1, '인천 서구갑': 1, '대구 달서구갑': 1, '부산 해운대구갑': 1, '부산 부산진구갑': 1, '부산 동래구': 1, '대구 동구군위군을': 1, '부산 남구': 1, '경북 고령군성주군칠곡군': 1, '서울 강서구을': 1, '강원 강릉시': 1, '경기 파주시갑': 1, '경기 용인시갑': 1, '울산 동구': 1, '전북 전주시병': 1, '경남 진주시을': 1, '전북 군산시김제시부안군갑': 1, '광주 북구을': 1, '제주 제주시갑': 1, '대전 대덕구': 1, '경기 의정부시을': 1, '전북 익산시갑': 1, '대구 수성구을': 1, '제주 제주시을': 1, '경기 수원시정': 1, '부산 서구동구': 1, '경기 오산시': 1, '광주 동구남구갑': 1}"
