age,title,bill_id,bill_number,content,card_news_content
20,출입국관리법 일부개정법률안,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,2003755,입국 불허자 관리 강화를 위한 법적 근거를 마련함,"국민 안전, 더욱 든든하게!"
20,중소기업협동조합법 일부개정법률안(대안),PRC_R1S8Q0Y9V1J8A1D1N2C2B2L6J7A2V3,2016535,조합 임원 결격사유 관련 경합범 벌금형 선고 시 분리 선고 규정을 신설함,"깨끗한 조합, 여러분과 함께!"
20,도시공원 및 녹지 등에 관한 법률 일부개정법률안,PRC_Y1A8Y0A2I0U9I1Y7Y0Y6G5Z6Q3H6V7,2011897,어린이공원 교통안전을 위한 안전시설 설치 및 관리 의무를 부과함,아이들이 더 안전하게 뛰놀아요!
20,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률안,PRC_S1N8S0D6U2L5E1P4M2Z8M0Y5B2B7L3,2013998,6.25전쟁 무공훈장 수여 지연 문제 해결을 위한 특별법을 제정함,"6.25 참전용사님, 훈장 드디어 받으세요!"
20,무역보험법 일부개정법률안,PRC_R1T7B0F1M0V2X1W3L5K2L1W7S3C0U8,2004916,벌금액을 징역 1년당 1천만원 비율로 개정하여 형사처벌의 공정성을 확보함,"형벌, 더욱 공정하게! 벌금도 1천만원 시대!"
20,가축 및 축산물 이력관리에 관한 법률 일부개정법률안(대안),PRC_U1V8Y1Q1X2L8H1C6R4A5S2E4M4M3F5,2017177,가금 및 가금산물 이력관리제도를 강화함,"내 밥상, 더 안전하게!  이력관리 강화!"
20,한국마사회법 일부개정법률안,PRC_V1Y6N1Y2A1U3U1J6M5I3W5J1C6K1F3,2004353,한국마사회 부지를 농축산물 판매 유통 및 농업인 지원 공간으로 활용할 수 있도록 법적 근거를 신설함,농촌 활력 UP! 농산물 직거래 장터 마련!
20,국회에서의 증언·감정 등에 관한 법률 일부개정법률안(대안),PRC_B1Q7Z0Z2H2J2Q0S9N5C6F2F3P3S8F3,2005917,국회 증인 출석 및 국회 모욕죄 관련 규정을 강화함,보안 강화로 더 안전하게!
20,대한민국재향경우회법 일부개정법률안(대안),PRC_X2G0N0K3Q0F5O0A9F0N7E5I3D7H3S8,2024735,경우회의 목적 및 운영에 관한 법률을 개선함,"더 나은 의사결정, 시민과 함께!"
20,정치자금법 일부개정법률안,PRC_A2E0Z0D3V0S6B2K1P1R8P1J0Y2L8S2,2024797,공직선거법 개정 및 한국방송광고진흥공사 출범을 반영하여 관련 법률을 개정함,"깨끗한 선거, 투명한 방송광고!"
20,다문화가족지원법 일부개정법률안(대안),PRC_N2R0U0Y2B2P4E0K9E5K2Q2C1A9I7B1,2024919,기본계획 국회 보고 및 홍보영상 송출 사업자 확대와 다문화가족지원센터 기능을 강화함,다문화 가족 더 행복하게!  지원 확대!
20,국민영양관리법 일부개정법률안(대안),PRC_F1K9M0L3L2J6L2J0E1Z4E4W3Z2F4B0,2019609,국민 영양 및 식생활 조사 관련 규정을 개선하고 영양사 국가시험 부정행위 제재 규정을 신설함,"건강한 식생활, 더욱 안전하게!"
20,중소기업진흥에 관한 법률 일부개정법률안,PRC_O1K8O1F2W3R1G1H6J1F3B3C5Y7M5E3,2017956,중소기업창업 및 진흥기금의 재무건전성 유지 의무를 법률에 신설함,"튼튼한 중소기업, 든든한 미래!"
20,공직선거법 일부개정법률안,PRC_B2T0Q0H3L0J6A2P1F1F7O1M1C0L4R2,2024796,제21대 국회의원선거를 위한 선거구 획정 및 관련 특례를 마련함,"국회의원 선거, 더 공정하고 가까워집니다!"
20,국가통합교통체계효율화법 일부개정법률안,PRC_B1C9L0O3A2X6C1I7E1Q4X2I2I2T4Y1,2019395,국가교통위원회 민간위원에 대한 형법상 수뢰죄 적용 시 공무원으로 의제하는 조항을 신설함,"국가교통 발전, 이젠 더 투명하게!"
20,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,PRC_D1L6Q1G1O2W4B1C4G0D4U3G3P5Z6W2,2003976,공정거래위원회의 조사 협조 의무를 신설함,제도 개선으로 더 나은 사회!
20,장애인복지법 일부개정법률안(대안),PRC_Q1N7L0K7W1R7X1C2I0M0B0X6U5F5M7,2008876,장애인 관광 활성화 지원 근거를 마련하고 관련 법률 조문을 정비함,제도 개선으로 더 나은 사회!
20,응급의료에 관한 법률 일부개정법률안(대안),PRC_Z1M8Z0O9U0Y6P1O3J1G8M0C0G8Q6O2,2016563,응급구조사 결격사유 규정과 과징금 상한액을 개선하고 응급의료 전용헬기 안내표지 설치 근거를 마련하며 자동심장충격기 의무설치 대상 선박 범위를 조정함,응급의료 더 안전하고 편리하게!
20,국가공무원법 일부개정법률안(대안),PRC_R1X9E0P6A2C6E1I7Q2O6U0Z2U0I5W8,2023990,공정하고 투명한 인사행정을 위해 신고제도를 신설하고 징계절차 개선 등 인사 관련 제도를 개선함,더 공정하고 투명해진 인사시스템!
20,세종특별자치시 설치 등에 관한 특별법 일부개정법률안,PRC_E1W8K0Z2Y2M8I1R4R5T6T1X1G9Q7W4,2012300,세종특별자치시의회 의원 정수를 조정함,"세종시의회, 더 효율적인 시민 대표!"
20,유류오염손해배상 보장법 일부개정법률안,ARC_D1Z8V0J7F3R1M1J6K2I1P0A3S8B7U9,2014694,신고 수리 여부를 3일 이내 통지하고 미통지시 수리한 것으로 간주하는 제도를 신설함,"민원 신고, 3일 안에 답변 드려요!"
20,자동차관리법 일부개정법률안(대안),PRC_Z1J7W0T2J2K2A1P9C1Z4A1T5B5I9T9,2009686,자동차 소비자 권익 보호 및 자율주행차 안전 관리 제도를 강화함,보안 강화로 더 안전하게!
20,여객자동차 운수사업법 일부개정법률안,PRC_R1Z6O1D0D2Y1S1U7M3O0U4H4W0B1P9,2002815,대중교통수단에 영상기록장치 설치를 의무화함,"안전한 대중교통, CCTV가 지켜드립니다!"
20,발명진흥법 일부개정법률안(대안),PRC_R1E7Y0J2S2A1N1G6U1A9U2W0T0V7X4,2005905,산업재산권 무역 적자 해소를 위한 정책 대안 마련 및 조정기간 연장을 가능하게 함,"국내 기술, 더 강해집니다!"
