age,title,bill_id,bill_number,content
20,출입국관리법 일부개정법률안,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,2003755,입국불허자 관리 미흡 문제는 법적 근거 부재 및 시설 열악 데서 비롯되었으며 송환대기실 운영 근거 마련으로 개선하고자 합니다
20,중소기업협동조합법 일부개정법률안(대안),PRC_R1S8Q0Y9V1J8A1D1N2C2B2L6J7A2V3,2016535,임원 결격사유 과도 적용 문제는 경합범 벌금형 포함 데서 비롯되었으며 벌금형 분리 선고 규정 신설으로 개선하고자 합니다
20,도시공원 및 녹지 등에 관한 법률 일부개정법률안,PRC_Y1A8Y0A2I0U9I1Y7Y0Y6G5Z6Q3H6V7,2011897,어린이공원 교통사고 증가 문제는 안전시설 부족 및 관리 미흡 데서 비롯되었으며 안전시설 설치·관리 의무화으로 개선하고자 합니다
20,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률안,PRC_S1N8S0D6U2L5E1P4M2Z8M0Y5B2B7L3,2013998,6·25 무공훈장 미수여 해결 문제는 특별법 제정 및 조사단 설치 데서 비롯되었으며 신속한 훈장 수여 및 예우으로 개선하고자 합니다
20,무역보험법 일부개정법률안,PRC_R1T7B0F1M0V2X1W3L5K2L1W7S3C0U8,2004916,벌금형 처벌 불균형 문제는 법정형 편차 과다 데서 비롯되었으며 징역 1년당 1천만원 기준 개정으로 개선하고자 합니다
20,가축 및 축산물 이력관리에 관한 법률 일부개정법률안(대안),PRC_U1V8Y1Q1X2L8H1C6R4A5S2E4M4M3F5,2017177,가금류 이력관리 미흡 문제는 전염병 확산 우려 데서 비롯되었으며 전 과정 이력 관리 강화으로 개선하고자 합니다
20,한국마사회법 일부개정법률안,PRC_V1Y6N1Y2A1U3U1J6M5I3W5J1C6K1F3,2004353,마사회 유휴 부지 방치 문제는 활용 규정 미비 데서 비롯되었으며 농축산물 판매 공간 지정으로 개선하고자 합니다
20,국회에서의 증언·감정 등에 관한 법률 일부개정법률안(대안),PRC_B1Q7Z0Z2H2J2Q0S9N5C6F2F3P3S8F3,2005917,국회 증인 출석 저조 문제는 처벌 미흡 그리고 정보 접근 어려움 데서 비롯되었으며 처벌 강화 그리고 정보 제공 의무화으로 개선하고자 합니다
20,대한민국재향경우회법 일부개정법률안(대안),PRC_X2G0N0K3Q0F5O0A9F0N7E5I3D7H3S8,2024735,경우회 운영 개선 및 발전 문제는 목적 명확화 그리고 정치활동 규정 구체화 그리고 운영 효율 증대 데서 비롯되었으며 합리적 운영 및 공익 증진으로 개선하고자 합니다
20,정치자금법 일부개정법률안,PRC_A2E0Z0D3V0S6B2K1P1R8P1J0Y2L8S2,2024797,공사명 변경 및 선거구 변경 경과조치 문제는 공사명 한국방송광고진흥공사로 변경 그리고 기존 등록 유효화 데서 비롯되었으며 행정 효율 증대 및 예비후보 편의 도모으로 개선하고자 합니다
20,다문화가족지원법 일부개정법률안(대안),PRC_N2R0U0Y2B2P4E0K9E5K2Q2C1A9I7B1,2024919,다문화 지원 강화 및 홍보 확대 문제는 국회 보고 그리고 사업자 확대 그리고 업무 범위 확장 데서 비롯되었으며 지원 체계 강화 및 홍보 효과 증대으로 개선하고자 합니다
20,국민영양관리법 일부개정법률안(대안),PRC_F1K9M0L3L2J6L2J0E1Z4E4W3Z2F4B0,2019609,실태조사 체계 개선 및 영양사 시험 관리 강화 문제는 조사 시기 법률 명시 그리고 정보 공개 의무화 그리고 부정행위 제재 강화 데서 비롯되었으며 정책 활용 증대 그리고 시험 공정성 확보으로 개선하고자 합니다
20,중소기업진흥에 관한 법률 일부개정법률안,PRC_O1K8O1F2W3R1G1H6J1F3B3C5Y7M5E3,2017956,기금 손실 정부 전액 보전 문제는 기금 재무건전성 악화 우려 데서 비롯되었으며 공단의 재무건전성 유지 의무 명시으로 개선하고자 합니다
20,공직선거법 일부개정법률안,PRC_B2T0Q0H3L0J6A2P1F1F7O1M1C0L4R2,2024796,21대 총선 차질 방지 문제는 선거구 획정 및 특례 마련 데서 비롯되었으며 원활한 총선 실시으로 개선하고자 합니다
20,국가통합교통체계효율화법 일부개정법률안,PRC_B1C9L0O3A2X6C1I7E1Q4X2I2I2T4Y1,2019395,민간 위원 뇌물죄 적용 미흡 문제는 공무원 의제 조항 부재 데서 비롯되었으며 공무원으로 의제 조항 신설으로 개선하고자 합니다
20,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,PRC_D1L6Q1G1O2W4B1C4G0D4U3G3P5Z6W2,2003976,부처간 협력 미흡 문제는 자료 요청 거부 가능성 데서 비롯되었으며 협조 의무화 조항 신설으로 개선하고자 합니다
20,장애인복지법 일부개정법률안(대안),PRC_Q1N7L0K7W1R7X1C2I0M0B0X6U5F5M7,2008876,장애인 관광 활동 제약 문제는 법적 근거 미흡 그리고 조문 미비 데서 비롯되었으며 지원 근거 마련 그리고 조문 정비으로 개선하고자 합니다
20,응급의료에 관한 법률 일부개정법률안(대안),PRC_Z1M8Z0O9U0Y6P1O3J1G8M0C0G8Q6O2,2016563,응급의료체계 개선 문제는 결격사유 완화 그리고 표지 설치 근거 마련 그리고 과징금 상향 데서 비롯되었으며 응급의료 질 향상으로 개선하고자 합니다
20,국가공무원법 일부개정법률안(대안),PRC_R1X9E0P6A2C6E1I7Q2O6U0Z2U0I5W8,2023990,불공정 인사행정 만연 문제는 신고체계 미흡 그리고 정보 부족 데서 비롯되었으며 신고제도 강화 그리고 정보 공유 확대으로 개선하고자 합니다
20,세종특별자치시 설치 등에 관한 특별법 일부개정법률안,PRC_E1W8K0Z2Y2M8I1R4R5T6T1X1G9Q7W4,2012300,세종시 의원 정수 조정 문제는 2018년 지방선거 대비 조정 데서 비롯되었으며 선거 원활한 실시으로 개선하고자 합니다
20,유류오염손해배상 보장법 일부개정법률안,ARC_D1Z8V0J7F3R1M1J6K2I1P0A3S8B7U9,2014694,민원 처리 절차 불명확 문제는 법령 미비로 지연 발생 데서 비롯되었으며 3일 이내 수리 여부 통지 의무화으로 개선하고자 합니다
20,자동차관리법 일부개정법률안(대안),PRC_Z1J7W0T2J2K2A1P9C1Z4A1T5B5I9T9,2009686,자동차 소비자 권익 강화 문제는 품질보증 강화 및 제도 개선 데서 비롯되었으며 소비자 보호 및 시장 투명화으로 개선하고자 합니다
20,여객자동차 운수사업법 일부개정법률안,PRC_R1Z6O1D0D2Y1S1U7M3O0U4H4W0B1P9,2002815,대중교통 사고 증거 부족 문제는 영상기록장치 미설치 데서 비롯되었으며 장착 의무화 및 관리 강화으로 개선하고자 합니다
20,발명진흥법 일부개정법률안(대안),PRC_R1E7Y0J2S2A1N1G6U1A9U2W0T0V7X4,2005905,산업재산권 무역 적자 심각 문제는 정책 자료 부족 그리고 분쟁 조정 지연 데서 비롯되었으며 통계 정보 제공 및 조정기간 연장으로 개선하고자 합니다
20,경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안(대안),PRC_C1I8K0S2Q2F0X1H0G0S0C2P4V4Z5A7,2012749,경제자유구역 지원혜택 남용 문제는 지원요건 미흡 및 국내기업 편법 이용 데서 비롯되었으며 지원요건 강화 및 국내복귀기업 지원 확대으로 개선하고자 합니다
20,산업현장 일학습병행 지원에 관한 법률안(대안),PRC_C1R9C0O3A2U2U1D2E4P3P3T8L8E9A9,2021751,청년 일자리 미스매치 해소 문제는 현장 기반 도제식 교육 도입 데서 비롯되었으며 핵심 인재 육성 기반 마련으로 개선하고자 합니다
20,생물다양성 보전 및 이용에 관한 법률 일부개정법률안,PRC_K1Q9X0W4C1D9I1A7K2D7F4K8D8K0W7,2019931,생태계서비스 가치 증진 문제는 가치 평가 및 보상 체계 마련 데서 비롯되었으며 지속가능한 자연혜택 제공으로 개선하고자 합니다
20,국민여가활성화기본법 일부개정법률안,PRC_Y1N6Z0R8Z1M8T0H9H4U0R5F0J8A5M4,2001635,직장인 휴가 미사용 심각 문제는 휴가 사용 실태 파악 미흡 데서 비롯되었으며 휴가 사용 실태 조사 및 촉진 대책 의무화으로 개선하고자 합니다
20,수산자원관리법 일부개정법률안,PRC_N1W8J1E2F2R7T1B8T0H2G3F9I5W8L1,2017826,수산자원 불법 포획 증가 문제는 예외조항 악용 및 처벌 미흡 데서 비롯되었으며 허가 취소 및 처벌 강화으로 개선하고자 합니다
20,비료관리법 일부개정법률안(대안),PRC_K1O9Q0D4E0N5Y1K4T1E3C5L4L9P5T9,2024008,비료 관리 강화 및 제도 개선 문제는 심의회 폐지 그리고 불량 비료 규제 강화 데서 비롯되었으며 농업 환경 보호 및 효율 증대으로 개선하고자 합니다
20,국회의원수당 등에 관한 법률 일부개정법률안(대안),PRC_G1E7J0D2O2K2M1S0U0E0G2O7C6G1Q4,2005889,국회의원 윤리 강화 문제는 친인척 보좌직원 채용 금지 및 겸직 시 수당 미지급 데서 비롯되었으며 국회 투명성 제고으로 개선하고자 합니다
20,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,PRC_I1Z8B0J2U2D0Y1W5P2D7D4I0R6D8S1,2012040,중소벤처기업 기술탈취 심각 문제는 미흡한 수사권한 데서 비롯되었으며 특허청 공무원 수사권 부여으로 개선하고자 합니다
20,정부보관금에 관한 법률 일부개정법률안(대안),PRC_G1W9S1G1T2K8G1G9Q4X6B5V0C8H6Y8,2024761,정부보관금 환급 어려움 문제는 소멸시효 단축 데서 비롯되었으며 소멸시효 10년 연장 및 사전통지으로 개선하고자 합니다
20,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안(대안),PRC_E1N7K1O1Y3O0Q2E0U0C5S0L8M0A1A0,2010947,4·19혁명공로자 생계 어려움 문제는 낮은 보상금 그리고 고령화 데서 비롯되었으며 보상금 인상 및 수당 전환으로 개선하고자 합니다
20,대통령직 인수에 관한 법률 일부개정법률안,PRC_W1E6X0V9V0P6I1G0T2Y2T5J1P8Y1G0,2002156,새 정부 인사 선정 어려움 문제는 자료 접근 및 검증 지원 부족 데서 비롯되었으며 인수위 검증 및 자료 활용 허용으로 개선하고자 합니다
20,실내공기질 관리법 일부개정법률안,PRC_H1S7C0K8A1D1Y1P7S4S5T5V8G8Z6V2,2008507,건축자재 오염물질 방출 관리 미흡 문제는 시험기관 지정 및 관리체계 부재 데서 비롯되었으며 시험기관 지정 및 관리 근거 마련으로 개선하고자 합니다
20,식품산업진흥법 일부개정법률안,ARC_Y1U6L0U6E2I7I1Y3U5J5B1L8M2S4P5,2000495,식품 수출 확대 지원 문제는 지원기관 지정 및 운영 데서 비롯되었으며 인증 획득 용이화으로 개선하고자 합니다
20,도선법 일부개정법률안(대안),PRC_F1S9T1C1A2D0Y1R7D0R7D2F1J9Q0L7,2024024,도선사 면허 불법 대여 문제는 관련 규정 미비 데서 비롯되었으며 면허 취소 및 용어 개선으로 개선하고자 합니다
20,저수지·댐의 안전관리 및 재해예방에 관한 법률 일부개정법률안,ARC_E1L8U1P2R2J8E1Q5S1U0N3E9W6H9X1,2017860,저수지·댐 재해 예방 강화 문제는 비상계획 수립 및 5년 주기 재검토 데서 비롯되었으며 국민 생명·재산 피해 감소으로 개선하고자 합니다
20,국민영양관리법 일부개정법률안(대안),PRC_U1F8J0R9Q0A6W1G3G0B8S1O3J3A7L9,2016552,영양소 섭취기준 활용 확대 문제는 활용 분야 예시 및 고시 마련 데서 비롯되었으며 영양 관리 개선으로 개선하고자 합니다
20,특허법 일부개정법률안,PRC_W1R8R1T2E2P8P1D7B5D9L1J9E5A4C1,2017894,특허침해 손해배상 제한 문제는 생산능력 한도 적용 데서 비롯되었으며 침해자 이익 전액 반환 청구 가능하게 함으로 개선하고자 합니다
20,행정규제기본법 일부개정법률안(대안),PRC_V1C8X1O2H2D7S1I0I3K8A5C8J1S6Z2,2019406,신산업 경쟁력 강화 문제는 우선허용·사후규제 도입 데서 비롯되었으며 신속한 시장 진출 촉진으로 개선하고자 합니다
20,비파괴검사기술의 진흥 및 관리에 관한 법률 일부개정법률안,PRC_Q1B8Z1O2F2V8F1B8P0F8N4E6Q9H4H3,2017901,벌금액 현실성 부족 문제는 화폐가치 변동 데서 비롯되었으며 징역 1년당 1천만원으로 개정으로 개선하고자 합니다
20,항만법 일부개정법률안(대안),PRC_H1A8S1D1U2C8E1A7Y5S5C2B6R9O0R7,2017129,항만 행정 효율화 문제는 시행계획 수립 및 보고 간소화 데서 비롯되었으며 행정력 낭비 감소으로 개선하고자 합니다
20,한국수출입은행법 일부개정법률안,PRC_A1D8I0H9R1D0M1V6V0G8Q4Q7K2Z7E4,2015410,수출입은행 해외법인 업무 범위 논란 문제는 법적 근거 미비 및 감사 지적 데서 비롯되었으며 출자 근거 포괄적 확대으로 개선하고자 합니다
20,경륜·경정법 일부개정법률안,PRC_S1H9M0K4Y0V3H1D8V1C2V1R4M3X2Y8,2019557,법률 명확화 및 처벌 강화 문제는 벌칙 구성요건 상향 그리고 용어 정비 데서 비롯되었으며 법률 이해도 증진 그리고 불법행위 감소으로 개선하고자 합니다
20,폐기물관리법 일부개정법률안(대안),PRC_A1K9T0C7C1U8X1V5S2M0Q4J6Y7D8Y4,2023128,폐기물 불법 투기 만연 문제는 처벌 미흡 그리고 책임 회피 데서 비롯되었으며 처벌 강화 그리고 책임 확대으로 개선하고자 합니다
20,항공안전기술원법 일부개정법률안,PRC_O1Z6B1I0Q2S4O1V7D5H6B3U8A4V1W7,2002873,행정벌 과도/과소 차별 문제는 법정형 편차 심각 데서 비롯되었으며 벌금액 표준화 개정으로 개선하고자 합니다
20,국제항해선박 및 항만시설의 보안에 관한 법률 일부개정법률안,PRC_V1K6E1W1F2I3E1H6H0H3I0Q3W0Z2E5,2003797,항만 CCTV 보안 취약 문제는 설치 근거 미흡 그리고 저화질 장비 데서 비롯되었으며 설치 근거 명시 그리고 고화질 장비 의무화으로 개선하고자 합니다
20,국가회계법 일부개정법률안,PRC_D1C6U0Q8I0X4D1D8X1U1D4H3R4E3D6,2001422,결산 심사 정보 부족 문제는 사업별 설명서 미비 데서 비롯되었으며 사업별 설명서 첨부으로 개선하고자 합니다
20,종자산업법 일부개정법률안(대안),PRC_Y1G6S1G1E2M8W1F6N4J6C5H9B5S5U3,2004202,종자 관리 체계 강화 문제는 묘 포함 관리 그리고 우수품종 시상 데서 비롯되었으며 품질 향상 그리고 소비자 보호으로 개선하고자 합니다
