age,title,bill_id,bill_number,summary,cluster,cluster_keyword
20,출입국관리법 일부개정법률안,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,2003755,입국불허자의 사후관리 미흡 및 송환대기실 운영의 법적 근거 부재로 인해 송환대기실 운영에 대한 법적 근거를 마련함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,중소기업협동조합법 일부개정법률안(대안),PRC_R1S8Q0Y9V1J8A1D1N2C2B2L6J7A2V3,2016535,조합 임원 결격사유 규정의 과도한 적용을 완화하기 위해 경합범에 대한 벌금형 선고 시 분리 선고 규정을 신설함,3,"[벌금형, 과태료, 징역형, 법정형]"
20,도시공원 및 녹지 등에 관한 법률 일부개정법률안,PRC_Y1A8Y0A2I0U9I1Y7Y0Y6G5Z6Q3H6V7,2011897,어린이공원 주변 어린이 교통사고 증가로 인해 어린이공원 안전시설 설치 및 관리 의무를 신설함,0,"[스마트도시, 국가시범도시, 국토교통과학기술, 공공임대주택]"
20,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률안,PRC_S1N8S0D6U2L5E1P4M2Z8M0Y5B2B7L3,2013998,625전쟁 무공훈장 수여 지연을 해결하기 위해 625무공훈장찾아주기 특별법을 제정하여 무공훈장 수여 절차를 신설함,12,"[국가정보원, 징계 시효, 재난, 소방]"
20,무역보험법 일부개정법률안,PRC_R1T7B0F1M0V2X1W3L5K2L1W7S3C0U8,2004916,유사 위반행위 간 벌금형의 불합리한 편차를 해소하기 위해 벌금액을 징역 1년당 1천만원 비율로 개정함,3,"[벌금형, 과태료, 징역형, 법정형]"
20,가축 및 축산물 이력관리에 관한 법률 일부개정법률안(대안),PRC_U1V8Y1Q1X2L8H1C6R4A5S2E4M4M3F5,2017177,가금 및 가금산물의 안전성 확보와 소비자 알 권리 보장을 위해 국내산 닭 오리 계란에 대한 이력관리 및 가축거래상인 관리를 강화함,8,"[식량자급률, 농어촌, 직접지불제, 먹거리]"
20,한국마사회법 일부개정법률안,PRC_V1Y6N1Y2A1U3U1J6M5I3W5J1C6K1F3,2004353,한국마사회 미활용 부지를 농축산업 발전에 기여하기 위해 농축산물 판매 유통 및 농업인 지원 공간으로 활용토록 법률을 신설함,8,"[식량자급률, 농어촌, 직접지불제, 먹거리]"
20,국회에서의 증언·감정 등에 관한 법률 일부개정법률안(대안),PRC_B1Q7Z0Z2H2J2Q0S9N5C6F2F3P3S8F3,2005917,국회 안건 심의 등의 원활한 운영과 증인 출석 제도 실효성 확보를 위해 증인 출석 관련 정보 요구 절차를 신설하고 불출석 및 국회 모욕죄 처벌을 강화함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,대한민국재향경우회법 일부개정법률안(대안),PRC_X2G0N0K3Q0F5O0A9F0N7E5I3D7H3S8,2024735,경우회의 목적 및 운영의 명확성 부족 정치활동 규정의 모호성 효율적 운영을 위한 제도 개선 필요성 지방자치단체 보조금 지원 근거 부재를 해소하기 위해 경우회 운영 관련 법률을 개선함,12,"[국가정보원, 징계 시효, 재난, 소방]"
20,정치자금법 일부개정법률안,PRC_A2E0Z0D3V0S6B2K1P1R8P1J0Y2L8S2,2024797,한국방송광고공사의 폐지 및 한국방송광고진흥공사 출범과 선거구역 변경에 따른 예비후보자 등의 행정 편의를 위해 관련 법률 조항을 개정함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,다문화가족지원법 일부개정법률안(대안),PRC_N2R0U0Y2B2P4E0K9E5K2Q2C1A9I7B1,2024919,국회의 기본계획 심의 기능 강화와 다문화가족 지원 및 홍보영상 송출 확대를 위해 관련 법안을 개선함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,국민영양관리법 일부개정법률안(대안),PRC_F1K9M0L3L2J6L2J0E1Z4E4W3Z2F4B0,2019609,실태조사 관련 법률 규정의 체계 불일치 및 조사 결과 활용 미흡을 개선하고 영양사 국가시험 부정행위에 대한 제재를 강화하기 위해 관련 법률을 개정함,19,"[제대혈, 재난적의료비, 마약류, 고위험병원체]"
20,중소기업진흥에 관한 법률 일부개정법률안,PRC_O1K8O1F2W3R1G1H6J1F3B3C5Y7M5E3,2017956,중소기업창업 및 진흥기금의 재무건전성 악화 및 도덕적 해이 방지를 위해 기금 관리주체의 재무건전성 유지 의무를 신설함,20,"[중소기업, 소상공인, 손실보상, 기술자료]"
20,공직선거법 일부개정법률안,PRC_B2T0Q0H3L0J6A2P1F1F7O1M1C0L4R2,2024796,제21대 국회의원선거의 차질 없는 실시를 위해 국회의원지역선거구구역표를 신설함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,국가통합교통체계효율화법 일부개정법률안,PRC_B1C9L0O3A2X6C1I7E1Q4X2I2I2T4Y1,2019395,국가교통위원회 민간위원에 대한 형법상 뇌물죄 적용시 공무원으로 의제하지 않는 현행법의 미비점을 해소하기 위해 국가교통위원회 민간위원도 공무원으로 간주하여 형법 제129조부터 제132조까지를 적용하도록 관련 조항을 신설함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,PRC_D1L6Q1G1O2W4B1C4G0D4U3G3P5Z6W2,2003976,부처간 협력을 촉진하여 공정한 대규모유통업 거래질서를 확립하기 위해 공정거래위원회의 자료요청 및 조사의뢰에 대한 관계 행정기관의 협조 의무를 신설함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,장애인복지법 일부개정법률안(대안),PRC_Q1N7L0K7W1R7X1C2I0M0B0X6U5F5M7,2008876,장애인 관광 활동 지원 근거 부재 및 법률 체계 불일치를 해소하기 위해 장애인 관광 활동 지원 근거를 신설하고 관련 법 조문을 정비함,1,"[지능정보기술 전문인력 양성기관 지정 취소, 휴면예금 서민금융 지원, 광역교통축 지정 교통혼잡 해소, 대도시권 광역교통기능]"
20,응급의료에 관한 법률 일부개정법률안(대안),PRC_Z1M8Z0O9U0Y6P1O3J1G8M0C0G8Q6O2,2016563,응급구조사 결격사유 규정 개정 및 응급의료체계 개선을 위해 응급구조사 결격사유 완화 응급의료 전용헬기 안내표지 설치 근거 마련 자동심장충격기 의무설치 대상 선박 조정 과징금 상한액 상향 조정을 추진함,19,"[제대혈, 재난적의료비, 마약류, 고위험병원체]"
20,국가공무원법 일부개정법률안(대안),PRC_R1X9E0P6A2C6E1I7Q2O6U0Z2U0I5W8,2023990,불합리한 인사행정 및 차별 해소와 공정성 강화를 위해 인사신고 제도를 신설하고 공무원 징계 절차 개선 등 인사행정 전반을 개선함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,세종특별자치시 설치 등에 관한 특별법 일부개정법률안,PRC_E1W8K0Z2Y2M8I1R4R5T6T1X1G9Q7W4,2012300,세종특별자치시 인구 증가를 고려하여 2018년 지방선거의 원활한 실시를 위해 지역구 시의회의원 정수를 조정함,6,"[자치분권, 지방자치단체, 출자·출연 기관, 코로나19]"
20,유류오염손해배상 보장법 일부개정법률안,ARC_D1Z8V0J7F3R1M1J6K2I1P0A3S8B7U9,2014694,신고 민원 처리의 투명성과 신속성 확보를 위해 신고 수리 여부를 3일 이내 통지하고 통지하지 않으면 수리된 것으로 간주하는 제도를 신설함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,자동차관리법 일부개정법률안(대안),PRC_Z1J7W0T2J2K2A1P9C1Z4A1T5B5I9T9,2009686,자동차 소비자 권익 보호 및 자율주행차 안전 관리 강화를 위해 자동차 품질보증 책임 강화 중고차 성능점검 보험 의무화 대체부품 인증기관 행정처분 근거 마련 온라인 자동차 매매정보 제공 서비스 제도화 자동차 번호판 관련 위반 행위에 대한 과태료 부과 등을 신설함,11,"[교통사고, 운전면허, 자동차, 분담금]"
20,여객자동차 운수사업법 일부개정법률안,PRC_R1Z6O1D0D2Y1S1U7M3O0U4H4W0B1P9,2002815,대중교통 사고 원인 규명의 어려움을 해소하기 위해 대중교통수단에 영상기록장치 장착을 의무화함,11,"[교통사고, 운전면허, 자동차, 분담금]"
20,발명진흥법 일부개정법률안(대안),PRC_R1E7Y0J2S2A1N1G6U1A9U2W0T0V7X4,2005905,산업재산권 무역 적자 및 분쟁 조정 지연을 해결하기 위해 산업재산권 관련 외국환거래 정보 제공 근거 및 조정기간 연장 조항을 신설함,20,"[중소기업, 소상공인, 손실보상, 기술자료]"
20,경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안(대안),PRC_C1I8K0S2Q2F0X1H0G0S0C2P4V4Z5A7,2012749,외국인투자기업 지원의 편법적 이용 및 경제자유구역 활성화 필요성으로 인해 외국인투자기업 지원 요건을 강화하고 국내 복귀 기업 지원을 확대하며 외국인 전용 임대주택 제도 관련 규정을 개선함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,산업현장 일학습병행 지원에 관한 법률안(대안),PRC_C1R9C0O3A2U2U1D2E4P3P3T8L8E9A9,2021751,청년 구직난 및 기업의 숙련 인력 부족 해소를 위해 현장 기반 도제식 교육훈련 제도를 도입하여 일학습병행 제도의 기반을 마련함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,생물다양성 보전 및 이용에 관한 법률 일부개정법률안,PRC_K1Q9X0W4C1D9I1A7K2D7F4K8D8K0W7,2019931,생태계서비스 가치 저하 및 국제적 추세에 따라 생태계서비스 개념 정의 및 가치 평가 체계 마련을 추진함,9,"[하수처리수 재이용, 국가환경시료은행 설치, 새만금사업 추진 지원, 원자력 전 정보 공개]"
20,국민여가활성화기본법 일부개정법률안,PRC_Y1N6Z0R8Z1M8T0H9H4U0R5F0J8A5M4,2001635,직장인 휴가 미사용 실태 심각성과 관련 통계 부재를 해결하기 위해 국가와 지방자치단체에 휴가 사용 실태 조사 및 사용 촉진 대책 수립 의무를 부과함,1,"[지능정보기술 전문인력 양성기관 지정 취소, 휴면예금 서민금융 지원, 광역교통축 지정 교통혼잡 해소, 대도시권 광역교통기능]"
20,수산자원관리법 일부개정법률안,PRC_N1W8J1E2F2R7T1B8T0H2G3F9I5W8L1,2017826,수산자원 불법 포획 채취 및 거래 증가로 인해 포획채취 허가 취소 규정을 신설함,13,"[해양수산부, 원양어업허가, 해양수산생명자원, 공유수면]"
20,비료관리법 일부개정법률안(대안),PRC_K1O9Q0D4E0N5Y1K4T1E3C5L4L9P5T9,2024008,비료관리체계의 효율성 및 안전성 강화를 위해 비료공정규격심의회를 폐지하고 부정불량비료 유통방지 및 위해성 비료 수입규제 강화 휴업신고제 신설 거짓광고 금지 행정제재처분 효과 승계 등의 제도를 마련함,8,"[식량자급률, 농어촌, 직접지불제, 먹거리]"
20,국회의원수당 등에 관한 법률 일부개정법률안(대안),PRC_G1E7J0D2O2K2M1S0U0E0G2O7C6G1Q4,2005889,국회의원 친인척 보좌직 채용 논란 및 국민적 기대수준 증가를  해소하기 위해 국회의원 친인척 보좌직원 채용 제한 및 겸직 국회의원의 활동비 지급 중단을 위한 법안을 신설함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
