age,title,bill_id,bill_number,content,topic,topic_label
20,출입국관리법 일부개정법률안,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,2003755,감사원 입국불허자 사후관리 미흡 입국불허자 공항 이동 밀입국 시도 발생 입국불허자 일반인 분리 출국 송환대기실 통제 법적 근거 마련 지적 법률 입국 허가 외국인 선박 장 운수업자 송환 의무 부여 민간 항공사운영협의회 외국인 본국 송환 임시 송환대기실 법적 근거 없이 운영 공항 보안 전문제 송환대기실 열악 운영 외국인 처우 문제점 지속 제기 지방출입국·외국인관서 장 외국인 효과적 송환 외국인 송환 선박 장 운수업자 출입국항 장소 제공 송환대기실 운영 법적 근거 마련 선박 장 운수업자 관리 지방출입국·외국인관서 장 요청 협조,20,"입국불허자 사후관리, 송환대기실 운영, 외국인 송환, 선박 장 운수업자"
20,중소기업협동조합법 일부개정법률안(대안),PRC_R1S8Q0Y9V1J8A1D1N2C2B2L6J7A2V3,2016535,법안 조합 임원 결격사유 조합 업무 100만원 벌금형 선고 2년 조합 임원 현행법 위반 죄 다른 죄 결합 경합범 100만원 벌금형 선고 현행법 임원 결격사유 규정 적용 현행법 규정 죄 다른 죄 임원 자격 박탈 과도 현행법 규정 죄 다른 죄 경합범 벌금형 선고 분리 선고 규정 경합범 선고 임원자격 제한 불이익,2,"임원 결격사유, 벌금형, 경합범, 자격 박탈"
20,도시공원 및 녹지 등에 관한 법률 일부개정법률안,PRC_Y1A8Y0A2I0U9I1Y7Y0Y6G5Z6Q3H6V7,2011897,어린이공원 어린이 보건 정서생활 향상 이바지 공원 도시공원 녹지 법률 도시공원 포함 2011 2015 경기도 어린이공원 주변 발생 어린이교통사고 전체 어린이 교통사고 59 차지 어린이공원 주변 교통 미흡 지적 제기 공원관리청 어린이공원 주요 지점 방호울타리 대통령령 정하는 전시설 설치 어린이공원 교통 증진 어린이 전 확보 법안,17,"어린이공원, 방호울타리, 교통사고, 도시공원"
20,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률안,PRC_S1N8S0D6U2L5E1P4M2Z8M0Y5B2B7L3,2013998,6·25전쟁 전장 무공 무공훈장 수상자 명령 발령 훈장 수여 육군본부 6·25 무공훈장 찾아주기 사업 진행 당사자 고령화 행정 인력 부족 사업 진행 차질 무공훈장 수여 완료 30여년 시간 소요 예상 6·25전쟁 무공훈장 특별법 제정 전시 국가 공훈 사람 예우 국방부장관 등록 신청 국방부장관 심사 결정 국방부장관 소속 6·25무공훈장찾아주기조사단 공로자 신원확인 업무 수행 상훈법 무공훈장 수여 국방부장관 공로자 조사 신원확인 관계 행정기관 장 지방자치단체 장 협조 요청 법안 제정,16,"6·25전쟁 무공훈장 특별법, 6·25 무공훈장 찾아주기 사업, 상훈법, 6·25무공훈장찾아주기조사단"
20,무역보험법 일부개정법률안,PRC_R1T7B0F1M0V2X1W3L5K2L1W7S3C0U8,2004916,벌금형 형사처벌 대표적인 수단 공정성 합리성 위반행위 법률 법정형 다른 법률 비교 처벌 정도 과소 과도 비합리적인 편차 존재 특히 위반행위 불법성 벌금형 과소 범죄억지력 달성 어려운 발생 벌금액 국민권익위원회 권고 국회사무처 법제예규 징역 1천만원 비율 개정 법정형 편차 형사처벌 공정성,46,"벌금형, 법정형, 국민권익위원회 권고, 국회사무처 법제예규"
20,가축 및 축산물 이력관리에 관한 법률 일부개정법률안(대안),PRC_U1V8Y1Q1X2L8H1C6R4A5S2E4M4M3F5,2017177,가금 가금산물 전성 소비자 알 권리 제고 가금 가금산물 사육 판매 체계적 이력관리제도 구축 가축거래상인 관리 가축전염병 발생 신속 전파경로 파악 도모 이력관리대상 가축 축산물 범위 국내산 닭 닭고기 오리 오리고기 계란 확대 닭 오리 농장 농장식별번호 부여 가금이동신고서 농장식별번호 닭 오리 씨알 이동 금지 식용란선별포장업자 계란 이력번호 발급 신청 포장지 이력번호 표시 농림축산식품부 장관 가축거래상인 시정명령 보고 출입검사 가축거래상인 관리,29,"가금 가금산물 이력관리제도, 가축거래상인 관리, 소비자 알 권리 제고, 가축전염병 전파경로 파악"
20,한국마사회법 일부개정법률안,PRC_V1Y6N1Y2A1U3U1J6M5I3W5J1C6K1F3,2004353,마사회 장외발매소 내외 공간 장외발매소 이용 위하여 매입하였으나 용도 활용 못하는 시설 부지 상당수 있음에도 활용 못하고 있음 공간 농축산물 직거래 농축산물 판매 유통 농업인 위하여 활용하는 경우 농축산업 발전 기여할 수 있을 것으로 사료되는바 한국마사회법 공간 농축산물 판매 유통 농업인 공간 활용할 수 있도록 명시적인 규정 둘 필요 있음,38,"한국마사회법, 장외발매소, 농축산물 직거래, 농업인"
20,국회에서의 증언·감정 등에 관한 법률 일부개정법률안(대안),PRC_B1Q7Z0Z2H2J2Q0S9N5C6F2F3P3S8F3,2005917,국회 건심의 국정감사 국정조사 원활한 의장 위원장 출석요구서 송달 증인 감정인 참고인 주소 거소 영업소 사무소 전화번호 휴대전화번호 출입국관리기록 정보 경찰관서 전기통신사업자 요구 증인 출석요구 제도 실효성 확보 증인 출석요구서 회피 불출석등의 죄 처벌 불출석등의 죄 법정형 형량 상향 국회모욕의 죄 징역형 규정 죄 경중 처벌 증인 본회의 위원회 출석 증언 폭행 협박 모욕적인 언행 국회 권위 훼손 징역형 벌금형 증인 동행명령장 수령 회피 국회모욕의 죄 처벌 주요내용 요구서 송달 의장 위원장 경찰관서 관계 행정기관 전기통신사업자 증인 감정인 참고인 주소 거소 영업소 사무소 전화번호 휴대전화번호 출입국관리기록 정보 요구 기관 국회 요구 불출석등의 죄 사유 출석요구서 수령 회피 증인 불출석등의 죄 벌금형 상향 폭행 협박 모욕적인 언행 국회 권위 훼손 벌금형 부과 증인 동행명령장 수령 회피 국회모욕의 죄 처벌,1,"국정감사, 국정조사, 불출석등의 죄, 국회모욕의 죄"
20,대한민국재향경우회법 일부개정법률안(대안),PRC_X2G0N0K3Q0F5O0A9F0N7E5I3D7H3S8,2024735,대한민국재향경우회 경우회 목적 조항 정치활동 금지 조항 정치활동 행위 문제점 경우회 총회 의결 특례 개선 사무총장 임명 확대 대한민국재향군인회 대한민국재향소방동우회 유사 단체 지방자치단체 운영 보조금 교부 법적 근거 보완 사항 보완 개선 경우회 합리적 운영 발전 기여 법안 주요내용 경우회 자유민주주의 수호 국민 봉사 국가 치 공익증진 목적 경우회 특정 정당 지지 반대 특정 공직후보자 지지 반대 정치활동 경우회 해산 청산 중요 자산 처분 변경 재적 대의원 과반수 출석 출석 대의원 3분 2 찬성 의결 중앙회 사무총장 회원 총회 의결 회장 임명 국가 경우회 운영 보조금 교부 지방자치단체 경우회 사업 보조금 교부,31,"대한민국재향경우회법 개정안, 경우회 정치활동 금지, 경우회 운영 보조금 교부, 경우회 총회 의결 특례"
20,정치자금법 일부개정법률안,PRC_A2E0Z0D3V0S6B2K1P1R8P1J0Y2L8S2,2024797,한국방송광고공사법 폐지 방송광고판매대행 법률 시행 한국방송광고공사 폐지 한국방송광고진흥공사 출범 반영 제21대 국회의원선거 지역구국회의원예비후보자후원회 등록 예비후보자 후원회 회계책임자 신고 공직선거법 개정 국회의원지역선거구 선거구역 변경 기존 등록 신고 경과조치 후원회 변경 등록 신고 예비후보자 편의 행정 효율성 제고 한국방송광고공사 방송광고판매대행 법률 한국방송광고진흥공사 국회의원선거 국회의원지역선거구구역표 개정 선거구역 변경 국회의원지역구 관할 선거관리위원회 등록 신고 지역구국회의원예비후보자후원회 예비후보자 후원회 회계책임자 법 시행 관할 선거관리위원회 등록 신고 부칙 법률 공직선거법 일부개정법률 의결 전제 법률 의결 수정의결,43,"한국방송광고공사법 폐지, 방송광고판매대행 법률, 공직선거법, 국회의원선거"
