age,title,bill_id,bill_number,content,topic,topic_label
20,출입국관리법 일부개정법률안,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,2003755,감사원 국민 전위협요소 대응관리실태 공항보안 감사결과 입국불허 사후관리 미흡 입국불허자 공항 이동 밀입국 시도 발생 입국불허자 일반인 분리 출국전 송환대기실 통제관리 법적근거 마련 지적 현행법 입국불허 외국인 선박 장 운수업자 송환의무 부여 민간항공사 운영협의회 외국인 본국 송환 임시 송환대기실 법적근거 미비 운영관리 공항보안 문제 송환대기실 열악 운영 외국인 처우 문제점 제기 지방출입국외국인관서 장 외국인 효과적 송환 필요 외국인 송환 선박 장 운수업자 출입국항 장소 제공 송환대기실 운영 법적근거 마련 선박 장 운수업자 관리 지방출입국외국인관서 장 요청 협조,0,"외국인, 송환, 입국불허, 송환대기실"
20,중소기업협동조합법 일부개정법률안(대안),PRC_R1S8Q0Y9V1J8A1D1N2C2B2L6J7A2V3,2016535,조합 임원 결격사유 벌금형 100만원 이상 선고 2년 경과 임원 제한 현행법 위반 타 죄 경합범 100만원 이상 벌금형 선고 임원 결격사유 적용 현행법 규정 죄 관련 없음 죄 임원 자격 박탈 과도 현행법 규정 죄 타 죄 경합범 벌금형 선고 분리 선고 경합범 선고 임원 자격 제한 불이익 방지,1,"임원, 창업, 결격사유, 중소기업"
20,도시공원 및 녹지 등에 관한 법률 일부개정법률안,PRC_Y1A8Y0A2I0U9I1Y7Y0Y6G5Z6Q3H6V7,2011897,어린이공원 어린이 보건 정서생활 향상 설치 공원 도시공원 및 녹지 등 관한 법률 도시공원 포함 2011년 2015년 경기도 어린이공원 주변 어린이교통사고 전체 어린이 교통사고 59% 차지 어린이공원 주변 교통안전 미흡 지적 제기 공원관리청 어린이공원 주요 지점 방호울타리 대통령령 전시설 설치 관리 의무 부과 어린이공원 교통안전 증진 어린이 안전 확보,2,"어린이공원, 안전, 교통안전, 방호울타리"
20,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률안,PRC_S1N8S0D6U2L5E1P4M2Z8M0Y5B2B7L3,2013998,6.25 전쟁 무공훈장 수상자 미수여 육군본부 6.25 무공훈장 찾아주기 사업 당사자 고령화 행정인력 부족 사업 차질 30년 소요 예상 6.25 전쟁 무공훈장 특별법 제정 전시 국가 공훈 예우 지원 근거 마련 공로자 유가족 대통령령 국방부장관 등록 신청 국방부장관 심사 결정 6.25 무공훈장찾아주기조사단 국방부장관 소속 공로자 조사 신원확인 업무 수행 공로자 확인 상훈법 무공훈장 수여 국방부장관 공로자 조사 신원확인 관계 행정기관 장 지방자치단체 장 협조 요청,5,"6·25전쟁, 무공훈장, 국방부장관, 공로자"
20,무역보험법 일부개정법률안,PRC_R1T7B0F1M0V2X1W3L5K2L1W7S3C0U8,2004916,벌금형 징역형 형사처벌 수단 공정성 합리성 법정형 처벌 정도 과소 과도 비합리 편차 위반행위 불법성 벌금형 과소 범죄억지력 달성 어려움 벌금액 국민권익위원회 권고 국회사무처 법제예규 기준 징역 1년 1천만원 비율 개정 법정형 편차 형사처벌 공정성,4,"벌금형, 처벌, 유사행위, 승자투표권"
20,가축 및 축산물 이력관리에 관한 법률 일부개정법률안(대안),PRC_U1V8Y1Q1X2L8H1C6R4A5S2E4M4M3F5,2017177,가금 가금산물 전성 담보 소비자 알 권리 제고 이력관리제도 구축 가축거래상인 관리 강화 가축전염병 전파경로 파악 이력관리대상 가축 축산물 범위 국내산 닭 닭고기 오리 오리고기 계란 확대 농장 농장식별번호 부여 가금이동신고서 농장식별번호 닭 오리 씨알 이동 금지 식용란선별포장업자 계란 이력번호 발급 신청 포장지 이력번호 표시 농림축산식품부 장관 가축거래상인 시정명령 보고 출입검사 관리 강화,3,"가축, 이력관리, 가금, 축산물"
20,한국마사회법 일부개정법률안,PRC_V1Y6N1Y2A1U3U1J6M5I3W5J1C6K1F3,2004353,마사회 장외발매소 시설 부지 활용 미흡 농축산물 직거래 판매 유통 농업인 활용 농축산업 발전 기여 한국마사회법 농축산물 판매 유통 농업인 공간 활용 명시 규정 필요,6,"한국마사회, 장외발매소, 농축산물, 농업인"
20,국회에서의 증언·감정 등에 관한 법률 일부개정법률안(대안),PRC_B1Q7Z0Z2H2J2Q0S9N5C6F2F3P3S8F3,2005917,국회 건심의 국정감사 국정조사 원활 운영 의장 위원장 출석요구서 송달 증인 감정인 참고인 주소 거소 영업소 사무소 전화번호 휴대전화번호 출입국관리기록 정보 경찰관서장 관계 행정기관장 전기통신사업자 요구 증인 출석요구 제도 실효성 확보 증인 고의 출석요구서 회피 불출석등의죄 처벌 불출석등의죄 법정형 형량 상향 국회모욕의죄 징역형 규정 죄 경중 처벌 본회의 위원회 출석 증언 폭행 협박 모욕 언행 국회권위 훼손 징역형 벌금형 증인 고의 동행명령장 수령 회피 국회모욕의죄 처벌 의장 위원장 관할 경찰관서장 관계 행정기관장 전기통신사업자 증인 감정인 참고인 주소 거소 영업소 사무소 전화번호 휴대전화번호 출입국관리기록 정보 요구 기관 국회 요구 불출석등의죄 사유 고의 출석요구서 수령 회피 증인 포함 불출석등의죄 벌금형 1천만원 이상 3천만원 이하 상향 폭행 협박 모욕 언행 국회 권위 훼손 5년 이하 징역 5천만원 이하 벌금 부과 벌금형 증인 고의 동행명령장 수령 회피 국회모욕의죄 처벌,7,"증인, 출석, 국회, 처벌"
20,대한민국재향경우회법 일부개정법률안(대안),PRC_X2G0N0K3Q0F5O0A9F0N7E5I3D7H3S8,2024735,경우회 목적 추상성 정치활동 금지 불명확성 총회 의결 특례 개선 사무총장 임명 대상 확대 지자체 운영 보조금 법적 근거 부재 보완 경우회 합리적 운영 발전 기여 자유민주주의 수호 국민 봉사 국가 치안 활동 공익증진 목적 경우회 특정 정당 지지 반대 특정 공직후보자 지지 반대 정치활동 금지 경우회 해산 청산 중요 자산 처분 변경 재적 대의원 과반수 출석 출석 대의원 3분의 2 이상 찬성 의결 중앙회 사무총장 회원 총회 의결 회장 임명 국가 경우회 운영 보조금 교부 지자체 경우회 사업 보조금 교부,10,"대한민국재향경우회, 보조금, 정치활동, 운영"
20,정치자금법 일부개정법률안,PRC_A2E0Z0D3V0S6B2K1P1R8P1J0Y2L8S2,2024797,한국방송광고공사법 폐지 방송광고판매대행 관한 법률 시행 한국방송광고공사 폐지 한국방송광고진흥공사 출범 반영 제21대 국회의원선거 지역구국회의원예비후보자후원회 등록 예비후보자 후원회 회계책임자 신고 공직선거법 개정 국회의원지역선거구 선거구역 변경 기존 등록 신고 경과조치 후원회 변경등록 신고 불필요 예비후보자 편의 행정 효율성 제고 한국방송광고공사법 한국방송광고공사 방송광고판매대행 관한 법률 한국방송광고진흥공사 국회의원선거 국회의원지역선거구구역표 개정 선거구역 변경 국회의원지역구 관할 선거관리위원회 등록 신고 지역구국회의원예비후보자후원회 예비후보자 후원회 회계책임자 법 시행 당시 관할 선거관리위원회 등록 신고 공직선거법 일부개정법률 의결 전제 의결 수정의결,13,"국회의원예비후보자후원회, 선거구역, 선거관리위원회, 공직선거법"
20,다문화가족지원법 일부개정법률안(대안),PRC_N2R0U0Y2B2P4E0K9E5K2Q2C1A9I7B1,2024919,기본계획 국회 기능 강화 다문화가족지원센터 기능 명확화 홍보영상 송출 사업자 확대 기본계획 국회 소관상임위원회 보고 비상업적 공익광고 편성비율 범위 홍보영상 송출 요청 사업자 지상파방송사업자 방송사업자 확대 다문화가족지원센터 업무 다문화가족 가정폭력 방지 피해자 연계지원 포함,9,"다문화가족, 다문화가족지원센터, 기본계획, 홍보영상"
20,국민영양관리법 일부개정법률안(대안),PRC_F1K9M0L3L2J6L2J0E1Z4E4W3Z2F4B0,2019609,보건복지부장관 국민 식품섭취 식생활 국민영양 식생활조사 정기 실시 보건복지부 소관 법률 실태조사 규정 일부 법률 실태조사 시기 하위법령 위임 개별 법률 실태조사 규정 체계 상이 조사 결과 공표 관계기관 정보제공의무 근거규정 미비 실태조사 시기 법률 상향 규정 조사 결과 공표 관계기관 정보제공의무 규정 추가 실태조사 수행 조사 결과 관련 정책 연구 시행 활용 영양사 영양사 국가시험 합격 보건복지부장관 면허 영양사 국가시험 부정행위 제재 시행규칙 영양사 국가시험 공정 운영 영양사 자격 관리 영양사 국가시험 부정행위 제재 조치 법률 상향 규정 부정행위 수험 정지 합격 무효 시험 응시자격 제한,8,"실태조사, 국민영양, 영양사, 법률"
20,중소기업진흥에 관한 법률 일부개정법률안,PRC_O1K8O1F2W3R1G1H6J1F3B3C5Y7M5E3,2017956,현행법 중소기업창업 진흥기금 결산 손실금 적립금 보전 적립금 부족 정부 보전 중소기업창업 진흥기금 정부 손실보전 규정 공익사업 수행 손실 정부 보전 사업 원활 추진 기금 정적 운용 기금 재무건전성 악화 기금관리주체 도덕적 해이 방만 경영 중소기업창업 진흥기금 관리주체 중소기업진흥공단 기금 재무건전성 유지 노력 법률 명시,1,"임원, 창업, 결격사유, 중소기업"
20,공직선거법 일부개정법률안,PRC_B2T0Q0H3L0J6A2P1F1F7O1M1C0L4R2,2024796,공직선거법 국회의원선거구획정위원회 선거구획정 반영 제21대 국회의원선거 적용 국회의원지역선거구구역표 마련 선거구 획정 특례 선거구 변경 선거구 획정 지연 현행법 원활 적용 어려움 부분 특례 경과조치 마련 제21대 국회의원선거 차질 없이 실시 목적 제21대 국회의원선거 적용 국회의원지역선거구구역표 마련 별표 1 국회 제시 국회의원선거구 획정 기준 반영 국회의원지역구획정 특례 마련 부칙 예비후보자 기탁금 반환 특례 자동 동보통신 문자메시지 전송 경과조치 선거구 변경 선거구 획정 지연 필요 부칙 마련 부칙,11,"국회의원선거구, 선거구획정, 제21대 국회의원선거, 부칙"
20,국가통합교통체계효율화법 일부개정법률안,PRC_B1C9L0O3A2X6C1I7E1Q4X2I2I2T4Y1,2019395,공공업무 위탁 민간인 형법 수뢰 제3자 뇌물제공죄 적용 공무원 의제 처벌 국가교통위원회 국가교통체계 중요 정책 심의 공적 업무 수행 민간위원 벌칙 적용 공무원 의제 조항 미비 국가교통위원회 위원 공무원 아닌 위원 형법 적용 공무원 명시,12,"국가교통위원회, 민간위원, 공무원, 형법"
20,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,PRC_D1L6Q1G1O2W4B1C4G0D4U3G3P5Z6W2,2003976,공정거래위원회 관계 행정기관 장 조사 의뢰 자료 요청 협조 공정 대규모유통업 거래질서 확립 부처간 협력 촉진,16,"대규모유통업, 공정거래위원회, 관계행정기관, 거래질서"
20,장애인복지법 일부개정법률안(대안),PRC_Q1N7L0K7W1R7X1C2I0M0B0X6U5F5M7,2008876,장애인 이동성 제약 편의시설 부족 경제 사정 비장애인 관광활동 제약 현행법 장애인 관광활동 활성화 근거규정 미비 장애인 관광활동 지원 근거규정 마련 폐지 법률 삭제 법제명 개정사항 반영 조문 국민 법률정보 제공 국가 지방자치단체 장애인 관광활동 시설 설비 환경 관광활동 지원 노력 규정 마약법 대마관리법 향정신성의약품 관리법 마약류 관리 법률 개정,14,"장애인, 관광활동, 법률, 지원"
20,응급의료에 관한 법률 일부개정법률안(대안),PRC_Z1M8Z0O9U0Y6P1O3J1G8M0C0G8Q6O2,2016563,응급구조사 결격사유 정신질환자 범위 축소 응급의료 전용헬기 환자인계점 내표지 설치 법적 근거 마련 자동심장충격기 의무설치 대상 선박 범위 합리화 의료기관 응급환자 이송업자 업무정지명령 과징금 상한액 상향 정신질환자 정의 정신건강증진 정신질환자 복지서비스 지원 법률 변경 응급의료 전용헬기 환자인계점 내표지 설치 법적 근거 마련 자동심장충격기 의무설치 대상 선박 부선 제외 의료기관 응급환자 이송업자 업무정지명령 과징금 상한액 5천만원 3억원 상향,15,"응급의료, 응급구조사, 과징금, 업무정지"
20,국가공무원법 일부개정법률안(대안),PRC_R1X9E0P6A2C6E1I7Q2O6U0Z2U0I5W8,2023990,불합리 인사행정 운영 발생 우려 인사혁신처장 신고 공무원 징계 심사절차 개선 공정 투명 인사행정 실현 위법 부당 인사행정 발생 우려 인사혁신처장 신고 불이익조치 금지 인사혁신처장 공직후보자 직무수행 관련 전문분야 지식 기술 경험 정보 발굴 수집 관리 국가기관 장 공직후보자 정보 인사혁신처장 요청 제공 열람 공무원 임용 합리적 이유 성별 종교 사회적 신분 차별 금지 임기제공무원 잔여임기 관계없이 육아휴직 허용 임용권자 임용제청권자 의원면직 신청 공무원 비위 관련 형사사건 기소 의원면직 불허,17,"인사행정, 공무원, 임용, 신고"
20,세종특별자치시 설치 등에 관한 특별법 일부개정법률안,PRC_E1W8K0Z2Y2M8I1R4R5T6T1X1G9Q7W4,2012300,전국동시지방선거 세종특별자치시 인구증가 지역구 시의회의원 정수 합리화 시의회의원 선거 원활 실시 차기 지방선거 개정 논의 지역구 시의회의원 정수 19명 증원,18,"세종특별자치시, 시의회의원, 지방선거, 정수"
