"age","title","bill_id","bill_number","content","cluster","keywords"
20,"출입국관리법 일부개정법률안","PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2",2003755,"최근 감사원은 ‘국민안전 위협요소 대응？관리 실태(공항 보안 및 안전 분야)’ 감사결과(2016년 9월)에서 입국불허자의 사후관리 미흡으로 입국이 불허된 자가 공항 내를 자유롭게 이동하면서 일부 밀입국 시도가 발생하고 있으므로 입국불허자의 경우 일반인과 분리？구별되도록 하고 출국 전까지 송환대기실에서 통제？관리할 수 있도록 법적 근거를 마련할 것을 지적한 바 있음. 현행법은 입국이 허가되지 않은 외국인에 대하여 선박등의 장이나 운수업자에게 송환의 의무를 부여함에 따라 민간 항공사운영협의회가 외국인을 본국 등으로 송환하기에 앞서 임시적으로 머무를 수 있는 송환대기실을 법적 근거 없이 운영？관리하도록 하고 있어 공항 보안 및 안전문제 뿐만 아니라 송환대기실의 열악한 운영 상황 및 외국인의 처우에 대한 문제점도 지속적으로 제기되고 있는 상황임. 이에 지방출입국·외국인관서의 장은 외국인의 효과적인 송환을 위하여 필요한 경우에는 그 외국인을 송환할 때까지 선박등의 장이나 운수업자에게 출입국항에 있는 일정한 장소를 제공할 수 있게 함으로써 송환대기실 운영에 대한 법적 근거를 마련하고 선박등의 장이나 운수업자는 그 관리에 관하여 지방출입국·외국인관서의 장의 요청이 있는 경우에는 특별한 사유가 없으면 이에 협조하도록 하고자 함(안 제76조제2항 신설).",0,"공항, 법적, 운영, 법적 근거를"
20,"중소기업협동조합법 일부개정법률안(대안)","PRC_R1S8Q0Y9V1J8A1D1N2C2B2L6J7A2V3",2016535,"현행법은 조합 임원의 결격사유로서 조합의 업무와 관련하여 100만원 이상의 벌금형의 선고를 받고 2년이 지나지 아니한 자는 조합의 임원이 될 수 없도록 제한을 두고 있음. 그런데 현행법을 위반한 죄와 그 외의 다른 죄가 결합되어 경합범으로 100만원 이상의 벌금형을 선고받는 경우에도 현행법에 따른 임원 결격사유 규정을 적용받게 되면 현행법에 규정된 죄와 관련이 없는 다른 죄로 인하여 임원이 될 수 있는 자격을 박탈당하는 것이므로 과도하다는 지적이 있음. 이에 현행법에 규정된 죄와 다른 죄의 경합범에 대하여 벌금형을 선고하는 경우에는 분리 선고해야 한다는 규정을 신설하여 경합범 선고로 인한 임원자격 제한의 불이익이 없도록 하려는 것임(안 제51조의2 신설).",4,"현행법에, 임원이, 다른, 규정된"
20,"도시공원 및 녹지 등에 관한 법률 일부개정법률안","PRC_Y1A8Y0A2I0U9I1Y7Y0Y6G5Z6Q3H6V7",2011897,"어린이공원이란 어린이의 보건 및 정서생활의 향상에 이바지하기 위해 설치하는 공원으로 「도시공원 및 녹지 등에 관한 법률」상 도시공원에 포함됨. 그러나 2011년부터 2015년까지 경기도 내 어린이공원 주변에서 발생한 어린이교통사고가 전체 어린이 교통사고의 59.2%를 차지하는 등 어린이공원 주변의 교통안전이 미흡하다는 지적이 제기되었음. 이에 공원관리청에게 어린이공원 내 주요 지점에 방호울타리 등 대통령령으로 정하는 안전시설을 설치·관리하도록 의무를 부과함으로써 어린이공원 내의 교통안전을 증진시키고 어린이들의 안전을 확보하고자 하는 것임(안 제19조의3 신설).",8,"이바지하기, 전체, 의무를 부과함으로써, 설치하는"
20,"6ㆍ25전쟁 무공훈장 수여 등에 관한 법률안","PRC_S1N8S0D6U2L5E1P4M2Z8M0Y5B2B7L3",2013998,"6·25전쟁 당시 전장에서 무공을 세워 무공훈장 수상자로 명령이 발령된 16만 2 950명 중 약 34%에 달하는 5만 5 748명에 대한 훈장이 아직까지 수여되지 못하고 있는 실정임. 현재 육군본부에서 “6·25 무공훈장 찾아주기”라는 명칭으로 사업을 진행해 오고는 있으나 당사자들의 고령화 및 행정 인력의 부족 등으로 사업 진행에 상당한 차질을 겪고 있음. 현재 수준으로 사업을 진행할 경우 무공훈장 수여를 완전히 완료하기까지 약 30여년의 시간이 소요될 것으로 예상되고 있음. 이에 6·25전쟁 무공훈장을 되찾아 주기 위한 특별법을 제정하여 더 늦기 전에 전시에 국가를 위하여 공훈을 세운 사람들을 제대로 예우하고 이들을 지원하기 위한 근거를 마련하려는 것임. 주요내용 가. 공로자 또는 그 유가족이 되려는 사람은 대통령령으로 정하는 바에 따라 국방부장관에게 등록을 신청하게 하고 국방부장관이 이를 심사하여 결정하게 함(안 제5조). 나. 공로자의 조사 및 신원확인 등에 관한 업무를 수행하기 위하여 국방부장관 소속으로 6·25무공훈장찾아주기조사단을 두도록 함(안 제6조). 다. 공로자로 확인된 사람에게는 「상훈법」 제29조부터 제33조까지에 따라 무공훈장을 수여하도록 함(안 제8조). 라. 국방부장관은 공로자의 조사 및 신원확인 등을 위하여 필요한 경우에는 관계 행정기관의 장과 지방자치단체의 장에게 협조를 요청할 수 있도록 함(안 제9조).",4,"사업을, 조사, 현재, 위하여"
20,"무역보험법 일부개정법률안","PRC_R1T7B0F1M0V2X1W3L5K2L1W7S3C0U8",2004916,"벌금형은 징역형과 함께 형사처벌의 대표적인 수단으로서 누구나 인정할 수 있는 공정성과 합리성을 지니고 있어야 함. 그러나 유사한 위반행위에 대하여 각 법률이 규정하는 법정형 중에는 다른 법률들과 비교할 때에 그 처벌 정도가 과소하거나 과도하여 비합리적인 편차가 존재하고 있는 실정임. 특히 위반행위의 불법성에 비하여 벌금형이 과소한 경우에는 범죄억지력을 달성하기가 어려운 경우가 발생하고 있음. 이에 벌금액을 국민권익위원회의 권고안 및 국회사무처 법제예규의 기준인 징역 1년당 1천만원의 비율로 개정함으로써 법정형의 편차를 조정하고 형사처벌의 공정성을 기하고자 함(안 제61조).",7,"형사처벌의, 실정임 특히, 범죄억지력을, 합리성을 지니고"
20,"가축 및 축산물 이력관리에 관한 법률 일부개정법률안(대안)","PRC_U1V8Y1Q1X2L8H1C6R4A5S2E4M4M3F5",2017177,"국내에서 생산되는 모든 가금 및 가금산물의 안전성을 담보하고 소비자의 알 권리를 제고하기 위하여 가금 및 가금산물에 대하여 사육부터 판매까지 체계적인 이력관리제도를 구축하면서 가축거래상인에 대한 관리를 강화하여 가축전염병 발생 시 신속한 전파경로 파악을 도모하려는 것임. 대안의 주요내용 가. 이력관리대상 가축 및 축산물의 범위를 국내산 닭(닭고기) 오리(오리고기) 계란까지 확대함(안 제2조 제5조 제10조 제11조) 나. 닭 오리를 기르는 농장에 농장식별번호를 부여하고 가금이동신고서등에 농장식별번호가 없는 닭 오리 씨알의 이동을 금지하도록 함(안 제8조의2 및 제9조의2 신설). 다. 식용란선별포장업자 등이 계란의 이력번호 발급을 신청하고 포장지 등에 이력번호를 표시하도록 함(안 제11조의2 신설). 라. 농림축산식품부 장관이 가축거래상인에 대하여 시정명령·보고 및 출입검사를 할 수 있도록 하는 등 가축거래상인에 대한 관리를 강화함(안 제5조 제23조 제24조).",1,"대한 관리를, 관리를, 파악을, 가축전염병 발생"
20,"한국마사회법 일부개정법률안","PRC_V1Y6N1Y2A1U3U1J6M5I3W5J1C6K1F3",2004353,"마사회의 장외발매소 내외 공간을 비롯해 장외발매소로 이용하기 위하여 매입하였으나 아직 어떠한 용도로도 활용하지 못하는 시설 및 부지가 상당수 있음에도 이를 활용하지 못하고 있음. 위의 공간은 농축산물의 직거래 등 농축산물의 판매？유통 등 농업인을 위하여 활용하는 경우 농축산업의 발전에 크게 기여할 수 있을 것으로 사료되는바 「한국마사회법」에 이러한 공간을 농축산물의 판매？유통 및 농업인을 위한 공간으로 활용할 수 있도록 명시적인 규정을 둘 필요가 있음(안 제49조의3 신설).",1,"유통, 판매, 있음 신설, 있을"
20,"국회에서의 증언·감정 등에 관한 법률 일부개정법률안(대안)","PRC_B1Q7Z0Z2H2J2Q0S9N5C6F2F3P3S8F3",2005917,"국회에서의 안건심의 또는 국정감사나 국정조사의 원활한 운영을 위하여 의장 또는 위원장이 출석요구서 송달에 필요한 증인·감정인·참고인의 주소·거소·영업소·사무소 전화번호(휴대전화번호를 포함) 또는 출입국관리기록의 정보를 경찰관서의 장 등 관계 행정기관의 장 또는 전기통신사업자에게 요구할 수 있도록 하고 증인 출석요구 제도의 실효성을 확보하기 위하여 증인이 고의로 출석요구서를 회피한 경우는 ‘불출석등의 죄’로 처벌하면서 ‘불출석등의 죄’의 법정형의 형량을 현행보다 상향하여 조정하며 ‘국회모욕의 죄’는 징역형만 규정되어 있어 죄의 경중에 따른 처벌이 쉽지 아니하므로 증인이 본회의 또는 위원회에 출석하여 증언함에 있어 폭행·협박 등 모욕적인 언행으로 국회권위를 훼손하는 경우에는 징역형뿐만 아니라 벌금형도 신설하고 증인이 고의로 동행명령장의 수령을 회피하는 경우는 ‘국회모욕의 죄’로 처벌하려는 것임. ■ 주요내용 가. 요구서의 송달을 위하여 의장 또는 위원장은 관할 경찰관서의 장 등 관계 행정기관의 장 또는 전기통신사업자에게 증인·감정인·참고인의 주소·거소·영업소·사무소 전화번호(휴대전화번호를 포함) 또는 출입국관리기록의 정보를 요구할 수 있도록 하고 해당 기관은 지체 없이 국회의 요구에 따르도록 함(안 제5조제7항 신설). 나. ‘불출석등의 죄’ 사유의 하나로 고의로 출석요구서의 수령을 회피하는 증인을 포함하고 ‘불출석등의 죄’의 벌금형을 현행 “1천만원 이하”에서 “1천만원 이상 3천만원 이하”로 상향하여 조정함(안 제12조제1항). 다. 폭행·협박 그 밖의 모욕적인 언행으로 국회의 권위를 훼손한 때에는 현행 “5년 이하의 징역”에서 “5년 이하의 징역 또는 5천만원 이하의 벌금”을 부과하는 것으로 벌금형을 신설하고 증인이 고의로 동행명령장의 수령을 회피하는 경우에는 ‘국회모욕의 죄’로 처벌함(안 제13조).",3,"고의로, 또는, 수령을, 사무소"
20,"대한민국재향경우회법 일부개정법률안(대안)","PRC_X2G0N0K3Q0F5O0A9F0N7E5I3D7H3S8",2024735,"현행법상 대한민국재향경우회(이하 “경우회”라 한다)의 목적 조항이 추상적인 측면이 있고 정치활동 금지 조항도 구체적으로 제한되는 정치활동의 행위가 무엇인지 예측하기 어려운 문제점이 있음. 또한 경우회의 효율적 운영을 위해 총회 의결에서의 특례에 대한 개선이 필요하고 사무총장 임명 대상의 확대가 필요한 측면이 있음. 아울러 대한민국재향군인회 대한민국재향소방동우회 등 유사 단체와 달리 지방자치단체의 운영 보조금 교부를 위한 법적 근거가 부재하여 이에 대한 보완이 필요한 상황이므로 이와 같은 사항을 보완·개선하여 경우회의 합리적 운영과 발전에 기여하려는 것임. ■ 주요내용 가. 경우회는 자유민주주의 수호에 앞장서며 국민에 대한 봉사와 국가 치안활동 및 공익증진에 기여함을 목적으로 함(안 제1조). 나. 경우회는 특정 정당을 지지·반대하거나 특정 공직후보자를 지지·반대하는 등의 정치활동을 할 수 없음(안 제5조제4항). 다. 경우회의 해산과 청산 중요 자산의 처분 및 변경 등은 재적 대의원 과반수의 출석과 출석 대의원 3분의 2 이상의 찬성으로 의결하도록 함(안 제9조). 라. 중앙회 사무총장은 회원 중에서 총회의 의결을 거쳐 회장이 임명하도록 함(안 제12조제2항). 마. 국가는 경우회의 운영을 위하여 필요하다고 인정할 때에 보조금을 교부할 수 있고 지방자치단체는 필요하다고 인정하는 경우회의 사업에 대하여 보조금을 교부할 수 있도록 함(안 제15조제2항).",3,"지지, 필요하다고, 특정, 측면이"
20,"정치자금법 일부개정법률안","PRC_A2E0Z0D3V0S6B2K1P1R8P1J0Y2L8S2",2024797,"1. 2012. 5. 23.「한국방송광고공사법」이 폐지되고 「방송광고판매대행 등에 관한 법률」이 시행됨에 따라 한국방송광고공사가 폐지되고 한국방송광고진흥공사가 출범되었으므로 이를 반영함. 또한 제21대 국회의원선거를 앞두고 지역구국회의원예비후보자후원회의 등록과 예비후보자 및 그 후원회의 회계책임자의 신고가 이루어졌으나 「공직선거법」이 개정되어 국회의원지역선거구의 선거구역이 변경된 경우 기존의 등록 및 신고에 대한 경과조치를 두어 해당 후원회 등의 변경 등록 및 신고를 하지 않도록 함으로써 예비후보자 등의 편의를 도모하고 행정의 효율성을 제고하려는 것임. 2. 주요내용 가. 「한국방송광고공사법」에 의한 한국방송광고공사를 「방송광고판매대행 등에 관한 법률」에 따른 한국방송광고진흥공사로 함(안 제61조제2항). 나. 2020년 4월 15일 실시하는 국회의원선거에서 국회의원지역선거구구역표 개정에 따라 선거구역이 변경된 국회의원지역구의 관할 선거관리위원회에 등록 또는 신고된 지역구국회의원예비후보자후원회 또는 예비후보자 및 그 후원회의 회계책임자는 이 법 시행 당시 관할 선거관리위원회에 등록 또는 신고된 것으로 봄(안 부칙 제2조 및 제3조). 참고사항 이 법률안은 행정안전위원장이 제안한 「공직선거법 일부개정법률안」(의안번호 제24796호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정하여야 할 것임.",0,"등록, 공직선거법, 등록 또는, 변경된"
