name,partyName,electoralDistrict,gender,committees
강훈식,더불어민주당,충남 아산시을,남,정무위원회
권성동,국민의힘,강원 강릉시,남,정무위원회
권칠승,더불어민주당,경기 화성시병,남,외교통일위원회
김도읍,국민의힘,부산 강서구,남,국토교통위원회
김병기,더불어민주당,서울 동작구갑,남,"정무위원회,정보위원회"
김상훈,국민의힘,대구 서구,남,정무위원회
김석기,국민의힘,경북 경주시,남,외교통일위원회
김성원,국민의힘,경기 동두천시양주시연천구을,남,"예산결산특별위원회,산업통상자원중소벤처기업위원회"
김성환,더불어민주당,서울 노원구을,남,산업통상자원중소벤처기업위원회
김영진,더불어민주당,경기 수원시병,남,"예산결산특별위원회,기획재정위원회"
김영호,더불어민주당,서울 서대문구을,남,교육위원회
김정재,국민의힘,경북 포항시북구,여,"국토교통위원회,국회운영위원회"
김정호,더불어민주당,경남 김해시을,남,산업통상자원중소벤처기업위원회
김종민,무소속,세종특별자치시갑,남,산업통상자원중소벤처기업위원회
김태년,더불어민주당,경기 성남시수정구,남,기획재정위원회
나경원,국민의힘,서울 동작구을,여,산업통상자원중소벤처기업위원회
남인순,더불어민주당,서울 송파구병,여,보건복지위원회
맹성규,더불어민주당,인천 남동구갑,남,국토교통위원회
민홍철,더불어민주당,경남 김해시갑,남,국토교통위원회
박대출,국민의힘,경남 진주시갑,남,기획재정위원회
박덕흠,국민의힘,충북 보은군옥천군영동군괴산군,남,농림축산식품해양수산위원회
박범계,더불어민주당,대전 서구을,남,"국방위원회,순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회"
박정,더불어민주당,경기 파주시을,남,"예산결산특별위원회,환경노동위원회"
박주민,더불어민주당,서울 은평구갑,남,"보건복지위원회,순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회"
박지원,더불어민주당,전남 해남군완도군진도군,남,"법제사법위원회,정보위원회"
박찬대,더불어민주당,인천 연수구갑,남,"국방위원회,국회운영위원회,정보위원회"
박홍근,더불어민주당,서울 중랑구을,남,기획재정위원회
백혜련,더불어민주당,경기 수원시을,여,보건복지위원회
