monaCode,이름,정당,선거구,성별
14M56632,강기윤,국민의힘,경남 창원시성산구,남
L2I9861C,강대식,미래통합당,대구 동구을,남
8P37634C,강득구,더불어민주당,경기 안양시만안구,남
GX22581L,강민국,미래통합당,경남 진주시을,남
P2N50879,강민정,더불어민주당,비례대표,여
60490713,강병원,더불어민주당,서울 은평구을,남
MNZ4401T,강선우,더불어민주당,서울 강서구갑,여
6FS10566,강성희,진보당,전북 전주시을,남
WMG57662,강은미,정의당,비례대표,여
5KV96424,강준현,더불어민주당,세종특별자치시을,남
TRE2429O,강훈식,더불어민주당,충남 아산시을,남
WCD5518S,고민정,더불어민주당,서울 광진구을,여
4XG1439M,고영인,더불어민주당,경기 안산시단원구갑,남
6V37131U,고용진,더불어민주당,서울 노원구갑,남
7469929V,구자근,미래통합당,경북 구미시갑,남
E9R4507P,권명호,국민의힘,울산 동구,남
GDG1847Z,권성동,무소속,강원 강릉시,남
LG63087O,권영세,미래통합당,서울 용산구,남
YKW37422,권은희,국민의힘,비례대표,여
3TO11703,권인숙,더불어민주당,비례대표,여
C7E79345,권칠승,더불어민주당,경기 화성시병,남
B7R2742J,기동민,더불어민주당,서울 성북구을,남
1BX7234U,김경만,더불어민주당,비례대표,남
ZKU88693,김경협,더불어민주당,경기 부천시갑,남
X1K3667J,김교흥,더불어민주당,인천 서구갑,남
X7I4680R,김기현,미래통합당,울산 남구을,남
QHL3248U,김남국,더불어민주당,경기 안산시단원구을,남
LH97552Q,김도읍,미래통합당,부산 북구강서구을,남
CI15627C,김두관,더불어민주당,경남 양산시을,남
3BC6890E,김미애,미래통합당,부산 해운대구을,여
NTT8182Q,김민기,더불어민주당,경기 용인시을,남
MLH1404S,김민석,더불어민주당,서울 영등포구을,남
6399076T,김민철,더불어민주당,경기 의정부시을,남
8Q88373R,김병기,더불어민주당,서울 동작구갑,남
GFF1986K,김병욱,더불어민주당,경기 성남시분당구을,남
KB04377U,김병욱,국민의힘,경북 포항시남구울릉군,남
GF286398,김병주,더불어시민당,비례대표,남
1Y73132H,김상훈,미래통합당,대구 서구,남
UGH6481E,김상희,더불어민주당,경기 부천시병,여
ZYP7962W,김석기,미래통합당,경북 경주시,남
9D939735,김성원,미래통합당,경기 동두천시연천군,남
2UD1340H,김성주,더불어민주당,전북 전주시병,남
XSP20229,김성환,더불어민주당,서울 노원구병,남
L7T64271,김수흥,더불어민주당,전북 익산시갑,남
P2N4585G,김승남,더불어민주당,전남 고흥군보성군장흥군강진군,남
5K93695T,김승수,미래통합당,대구 북구을,남
ATB59635,김승원,더불어민주당,경기 수원시갑,남
B7D7534L,김영배,더불어민주당,서울 성북구갑,남
LBC8144B,김영선,국민의힘,경남 창원시의창구,여
IOW1101J,김영식,국민의힘,경북 구미시을,남
0W194007,김영주,국민의힘,서울 영등포구갑,여
5765663F,김영진,더불어민주당,경기 수원시병,남
7BM2933Y,김영호,더불어민주당,서울 서대문구을,남
CNZ51556,김예지,미래한국당,비례대표,여
OFE45081,김용민,더불어민주당,경기 남양주시병,남
SVH3899R,김용판,국민의힘,대구 달서구병,남
LQW3652K,김웅,국민의힘,서울 송파구갑,남
4L695580,김원이,더불어민주당,전남 목포시,남
JZY9937U,김윤덕,더불어민주당,전북 전주시갑,남
FIC9046Z,김의겸,더불어민주당,비례대표,남
E1J8836Y,김정재,미래통합당,경북 포항시북구,여
9LD2641Q,김정호,더불어민주당,경남 김해시을,남
M2Q9024I,김종민,더불어민주당,충남 논산시계룡시금산군,남
D6U6678O,김주영,더불어민주당,경기 김포시갑,남
Q9H5708M,김진표,무소속,경기 수원시무,남
1MU99298,김철민,더불어민주당,경기 안산시상록구을,남
1WE5693J,김태년,더불어민주당,경기 성남시수정구,남
P0F1530P,김태호,무소속,경남 산청군함양군거창군합천군,남
F5U2979W,김학용,국민의힘,경기 안성시,남
NUB4941Z,김한규,더불어민주당,제주 제주시을,남
09I2323E,김한정,더불어민주당,경기 남양주시을,남
JEZ3130Q,김형동,미래통합당,경북 안동시예천군,남
PO64874I,김홍걸,더불어민주당,비례대표,남
M6H1705E,김회재,더불어민주당,전남 여수시을,남
52P3934K,김희곤,국민의힘,부산 동래구,남
6AR6743G,김희국,국민의힘,경북 군위군의성군청송군영덕군,남
04T3751T,남인순,더불어민주당,서울 송파구병,여
JVB6983V,노용호,국민의힘,비례대표,남
0827740Q,노웅래,더불어민주당,서울 마포구갑,남
J2O8643H,도종환,더불어민주당,충북 청주시흥덕구,남
8VY63414,류성걸,국민의힘,대구 동구갑,남
NCP9875N,류호정,정의당,비례대표,여
FJK3396E,맹성규,더불어민주당,인천 남동구갑,남
GOC54665,문정복,더불어민주당,경기 시흥시갑,여
4U29186R,문진석,더불어민주당,충남 천안시갑,남
TZ228122,민병덕,더불어민주당,경기 안양시동안구갑,남
VRY5522V,민형배,더불어민주당,광주 광산구을,남
O6D8329R,민홍철,더불어민주당,경남 김해시갑,남
K3W33496,박광온,더불어민주당,경기 수원시정,남
B7H6207C,박대수,국민의힘,비례대표,남
W4X85128,박대출,미래통합당,경남 진주시갑,남
N4R2421C,박덕흠,미래통합당,충북 보은군옥천군영동군괴산군,남
7R156073,박범계,더불어민주당,대전 서구을,남
BLC8630L,박병석,더불어민주당,대전 서구갑,남
HXT76735,박상혁,더불어민주당,경기 김포시을,남
X3170462,박성민,미래통합당,울산 중구,남
IL74008M,박성준,더불어민주당,서울 중구성동구을,남
DAN6731C,박성중,국민의힘,서울 서초구을,남
FU87526G,박수영,미래통합당,부산 남구갑,남
40S1959J,박영순,새로운미래,대전 대덕구,남
A3H7195R,박완주,무소속,충남 천안시을,남
PEP6922S,박용진,더불어민주당,서울 강북구을,남
QUO78839,박재호,더불어민주당,부산 남구을,남
4019850M,박정,더불어민주당,경기 파주시을,남
6RD62559,박정하,국민의힘,강원 원주시갑,남
6AU2417B,박주민,더불어민주당,서울 은평구갑,남
QKO6165V,박진,국민의힘,서울 강남구을,남
BT62420K,박찬대,더불어민주당,인천 연수구갑,남
6U243644,박형수,미래통합당,경북 영주시영양군봉화군울진군,남
S824682L,박홍근,더불어민주당,서울 중랑구을,남
QQP4727N,배준영,미래통합당,인천 중구강화군옹진군,남
A2V51235,배진교,정의당,비례대표,남
4X525582,배현진,미래통합당,서울 송파구을,여
CAA7713A,백종헌,미래통합당,부산 금정구,남
HSS7466Y,백혜련,더불어민주당,경기 수원시을,여
MO52543L,변재일,더불어민주당,충북 청주시청원구,남
0PK7354M,서동용,더불어민주당,전남 순천시광양시곡성군구례군을,남
L7J93733,서범수,미래통합당,울산 울주군,남
CT85313K,서병수,국민의힘,부산 진구갑,남
FOK3459D,서삼석,더불어민주당,전남 영암군무안군신안군,남
TKJ4800F,서영교,더불어민주당,서울 중랑구갑,여
XR24352K,서영석,더불어민주당,경기 부천시정,남
MR210505,서일준,미래통합당,경남 거제시,남
WFU14784,서정숙,국민의힘,비례대표,여
OW53107J,설훈,새로운미래,경기 부천시을,남
7XY7109I,성일종,미래통합당,충남 서산시태안군,남
17M85910,소병철,더불어민주당,전남 순천시광양시곡성군구례군갑,남
ZDR63255,소병훈,더불어민주당,경기 광주시갑,남
RD42006Y,송갑석,더불어민주당,광주 서구갑,남
SQ36001H,송기헌,더불어민주당,강원 원주시을,남
CNW5754J,송석준,미래통합당,경기 이천시,남
6EN68926,송언석,미래통합당,경북 김천시,남
3249208I,송옥주,더불어민주당,경기 화성시갑,여
LM13674V,송재호,더불어민주당,제주 제주시갑,남
G1570880,신동근,더불어민주당,인천 서구을,남
AFH96856,신영대,더불어민주당,전북 군산시,남
SRP7336N,신원식,국민의힘,비례대표,남
M7O7878U,신정훈,더불어민주당,전남 나주시화순군,남
F5Y4026Q,신현영,더불어민주당,비례대표,여
SU53086M,심상정,정의당,경기 고양시갑,여
TST4507I,안규백,더불어민주당,서울 동대문구갑,남
ZA54991S,안민석,더불어민주당,경기 오산시,남
6MO8786S,안병길,국민의힘,부산 서구동구,남
YOG1280B,안철수,국민의힘,경기 성남시분당구갑,남
XEF29171,안호영,더불어민주당,전북 완주군진안군무주군장수군,남
9V18755A,양경숙,더불어민주당,비례대표,여
VG24001G,양금희,국민의힘,대구 북구갑,여
KUO3574J,양기대,더불어민주당,경기 광명시을,남
7O71647Z,양이원영,더불어민주당,비례대표,여
PZA4062H,양정숙,개혁신당,비례대표,여
WHV3448W,양향자,개혁신당,광주 서구을,여
8FB1535Y,어기구,더불어민주당,충남 당진시,남
8348421R,엄태영,미래통합당,충북 제천시단양군,남
OIA3741M,오기형,더불어민주당,서울 도봉구을,남
MY318392,오영환,새로운미래,경기 의정부시갑,남
GE71932C,용혜인,기본소득당,비례대표,여
V0O5343U,우상호,더불어민주당,서울 서대문구갑,남
XBT9550Q,우원식,더불어민주당,서울 노원구을,남
RQQ3807K,위성곤,더불어민주당,제주 서귀포시,남
9L57027L,유경준,국민의힘,서울 강남구병,남
8FC9697X,유기홍,더불어민주당,서울 관악구갑,남
GX38539O,유동수,더불어민주당,인천 계양구갑,남
MU69217P,유상범,미래통합당,강원 홍천군횡성군영월군평창군,남
MRK4871S,유의동,국민의힘,경기 평택시을,남
0WL9321T,유정주,더불어민주당,비례대표,여
GP07421U,윤건영,더불어민주당,서울 구로구을,남
JMY9959W,윤관석,무소속,인천 남동구을,남
7JC3239L,윤두현,국민의힘,경북 경산시,남
KNM3215T,윤미향,무소속,비례대표,여
MSY7784L,윤상현,국민의힘,인천 동구미추홀구을,남
KFS1358P,윤영덕,더불어민주당,광주 동구남구갑,남
9VR65006,윤영석,미래통합당,경남 양산시갑,남
XWX1513T,윤영찬,더불어민주당,경기 성남시중원구,남
SE233396,윤재갑,더불어민주당,전남 해남군완도군진도군,남
ZRF3039U,윤재옥,미래통합당,대구 달서구을,남
ZDP5704Q,윤주경,국민의힘,비례대표,여
JC14718Q,윤준병,더불어민주당,전북 정읍시고창군,남
40E3739H,윤창현,국민의힘,비례대표,남
8X15119P,윤한홍,미래통합당,경남 창원시마산회원구,남
M0A1658U,윤호중,더불어민주당,경기 구리시,남
O7R5461J,윤후덕,더불어민주당,경기 파주시갑,남
I7R13867,이개호,더불어민주당,전남 담양군함평군영광군장성군,남
QUM8288K,이달곤,국민의힘,경남 창원시진해구,남
RO593601,이동주,더불어민주당,비례대표,남
OSV9142K,이만희,미래통합당,경북 영천시청도군,남
6YT83269,이명수,국민의힘,충남 아산시갑,남
HKJ99607,이병훈,더불어민주당,광주 동구남구을,남
ZYH1940A,이상민,국민의힘,대전 유성구을,남
WVU2479T,이상헌,무소속,울산 북구,남
8KF7223D,이성만,무소속,인천 부평구갑,남
WTR5885Y,이소영,더불어민주당,경기 의왕시과천시,여
0R68099X,이수진,더불어시민당,비례대표,여
D4L60530,이수진,무소속,서울 동작구을,여
S9U45255,이양수,미래통합당,강원 속초시인제군고성군양양군,남
5UN9725L,이용,국민의힘,비례대표,남
GKD32201,이용빈,더불어민주당,광주 광산구갑,남
9JF4562W,이용선,더불어민주당,서울 양천구을,남
G7512472,이용우,더불어민주당,경기 고양시정,남
DBA1057Z,이용호,국민의힘,전북 남원시임실군순창군,남
16D7652C,이원욱,개혁신당,경기 화성시을,남
DAV7257X,이원택,더불어민주당,전북 김제시부안군,남
W1Q6753M,이은주,정의당,비례대표,여
DWK26447,이인선,국민의힘,대구 수성구을,여
3ZR4438W,이인영,더불어민주당,서울 구로구갑,남
7I09543O,이장섭,더불어민주당,충북 청주시서원구,남
IUD9392R,이재명,더불어민주당,인천 계양구을,남
UQ282145,이재정,더불어민주당,경기 안양시동안구을,여
O0I2045I,이정문,더불어민주당,충남 천안시병,남
HSW1214Q,이종배,미래통합당,충북 충주시,남
FDC3144T,이종성,국민의힘,비례대표,남
3RW63706,이주환,국민의힘,부산 연제구,남
WDS6044S,이채익,국민의힘,울산 남구갑,남
TZP9391O,이철규,미래통합당,강원 동해시태백시삼척시정선군,남
9S151177,이탄희,더불어민주당,경기 용인시정,남
QTW6852F,이태규,국민의힘,비례대표,남
K5F2023J,이학영,더불어민주당,경기 군포시,남
CCU1009B,이해식,더불어민주당,서울 강동구을,남
EVH1507C,이헌승,미래통합당,부산 부산진구을,남
IOW8224X,이형석,더불어민주당,광주 북구을,남
UM51067K,인재근,더불어민주당,서울 도봉구갑,여
NLR6572J,임병헌,국민의힘,대구 중구남구,남
4T026790,임오경,더불어민주당,경기 광명시갑,여
EH27538E,임이자,미래통합당,경북 상주시문경시,여
E6U4345C,임종성,더불어민주당,경기 광주시을,남
FH777496,임호선,더불어민주당,충북 증평군진천군음성군,남
RPN2293B,장경태,더불어민주당,서울 동대문구을,남
KFM1081G,장동혁,국민의힘,충남 보령시서천군,남
CZB4125D,장제원,국민의힘,부산 사상구,남
2NV6751W,장철민,더불어민주당,대전 동구,남
GAV6441G,장혜영,정의당,비례대표,여
DPZ7685X,전봉민,국민의힘,부산 수영구,남
TJW93720,전용기,더불어시민당,비례대표,남
9YO73104,전재수,더불어민주당,부산 북구강서구갑,남
71J2365L,전주혜,국민의힘,비례대표,여
BM63269Y,전해철,더불어민주당,경기 안산시상록구갑,남
N9X9673B,전혜숙,무소속,서울 광진구갑,여
USR7059P,정경희,국민의힘,비례대표,여
DAY6557K,정동만,미래통합당,부산 기장군,남
V429892C,정성호,더불어민주당,경기 양주시,남
VHK3402G,정우택,국민의힘,충북 청주시상당구,남
NZF1659U,정운천,국민의힘,비례대표,남
LT72093S,정일영,더불어민주당,인천 연수구을,남
LJK4960Z,정점식,미래통합당,경남 통영시고성군,남
NQR1206Q,정진석,국민의힘,충남 공주시부여군청양군,남
SBK1544B,정찬민,국민의힘,경기 용인시갑,남
2385336L,정청래,더불어민주당,서울 마포구을,남
MD083627,정춘숙,더불어민주당,경기 용인시병,여
UHB5553T,정태호,더불어민주당,서울 관악구을,남
3425169D,정필모,더불어민주당,비례대표,남
PFG2137X,정희용,미래통합당,경북 고령군성주군칠곡군,남
5KV82250,조경태,미래통합당,부산 사하구을,남
S741317G,조명희,국민의힘,비례대표,여
YLS4431M,조수진,국민의힘,비례대표,여
FYI20317,조승래,더불어민주당,대전 유성구갑,남
25I8709Q,조오섭,더불어민주당,광주 북구갑,남
MQU41854,조은희,국민의힘,서울 서초구갑,여
CDL93608,조응천,개혁신당,경기 남양주시갑,남
IN328264,조정식,더불어민주당,경기 시흥시을,남
WJL30106,조정훈,시대전환,비례대표,남
