BILL_NAME,BILL_NO,summary

개인정보 보호법 일부개정법률안(대안),2208859,현행 「개인정보 보호법」은 국내에 주소 또는 영업소가 없는 개인정보처리자는 개인정보 보호책임자의 업무 개인정보 유출 등의 통지ㆍ신고 등을 대리하는 국내대리인을 지정하도록 하고 있고 국내대리인을 지정하는 경우 국내대리인의 성명 주소 전화번호 등을 개인정보 처리방침에 포함하도록 하고 있음. 그러나 개인정보처리자의 국내대리인 관리ㆍ감독 의무에 대한 규정과 국내대리인의 지정 요건에 국내 소재 외에 그 형태나 운영방식에 대한 별도 규정이 없어 여러 국내대리인이 하나의 주소지를 두는 등 형식적으로 국내대리인을 지정하고 운영하는 문제가 발생하고 국내대리인이 대리하는 업무가 개인정보 보호책임자의 업무 등으로 포괄적으로 규정되어 현실성이 없으며 국내대리인 관리ㆍ감독 의무를 소홀히 한 경우와 개인정보 처리방침에 국내대리인의 전화번호 등을 누락한 경우 별다른 제재 수단이 없어 실효성이 낮다는 지적이 제기됨. 이에 개인정보처리자에게 국내대리인 관리ㆍ감독 의무를 부과하고 개인정보처리자가 국내 법인을 설립ㆍ운영 중인 경우 해당 법인을 국내대리인으로 지정하도록 하면서 국내대리인 관리ㆍ감독을 소홀히 하거나 지정 요건에 따라 국내대리인을 지정하지 않는 경우 및 개인정보 처리방침에 국내대리인의 전화번호 등을 미공개하는 경우에 과태료를 부과하여 국내대리인 제도를 보다 내실있게 운영하고자 함(안 제31조의2제1항ㆍ제2항 및 제75조제3항ㆍ제4항).
특허법 일부개정법률안,2206751,현행법은 특허권 또는 전용실시권 침해소송에서 특허권자 또는 전용실시권자가 주장하는 침해행위의 구체적 행위태양을 부인하는 당사자가 자기의 구체적 행위태양을 제시하도록 규정하고 있음. 그런데 ‘행위태양’이라는 용어는 일상생활에서 잘 사용하지 않아 일반 국민이 법률을 이해하기에 어려운 한자어로 법제처는 ‘알기 쉬운 법령 정비기준’에서 ‘태양’을 ‘모습이나 형태’ 등으로 정비할 것을 권고하고 있음. 이에 ‘행위태양’을 ‘행위의 내용ㆍ방식ㆍ형태 등’으로 변경함으로써 국민이 법률을 쉽게 이해할 수 있도록 하려는 것임(안 제126조의2).
수상에서의 수색·구조 등에 관한 법률 일부개정법률안,2203079,현행법은 수상에서 조난된 사람을 구조하기 위하여 전문적인 능력을 갖춘 사람이 수상구조사 시험에 합격한 경우 수상구조사 자격을 부여하도록 하고 있음. 그런데 최근 수상레저를 즐기는 사람이 증가함에 따라 수상 안전사고 또한 증가하고 있어 수상구조사 역할이 더욱 중요해지고 있음에도 수상구조사는 업무역량에 따른 등급 구분이 없어 다양한 수상환경에 적합한 맞춤형 전문인력 공급에 한계가 있으므로 수상구조사 등급을 세분화할 필요가 있다는 의견이 있음. 한편 현재 수상 안전 분야는 국가자격인 현행법에 따른 수상구조사와 민간자격인 인명구조요원으로 이원화되어 운영되고 있음. 그런데 「자격기본법」에 따르면 국민의？생명ㆍ안전에？직결되는？분야는 민간자격 신설 분야에서 제외하도록 하고 있어 수상 안전 분야 자격을 국가자격으로 통합ㆍ관리하는 것이 바람직하다는 지적이 있음. 또한 현행법은 수상구조사 자격을 취득한 사람은 그 자격 유지를 위하여 자격증을 발급 받은 날부터 또는 직전 교육을 받은 날로부터 기산하여 2년이 되는 날부터 6개월 이내에 교육을 받도록 하고 있는데 자격증을 발급 받은 날 또는 직전 교육을 받은 날이 개인별로 상이하여 그에 따른 보수교육 기간도 개인별 편차가 크므로 보수교육의 통합적ㆍ체계적 운영을 위하여 제도 개선이 필요하다는 의견이 있음. 이에 수상구조사 자격등급을 지도사ㆍ1급ㆍ2급으로 구분하고 수상구조사의 보수교육을 자격증 발급일 등 기산일로부터 3년이 되는 날이 속하는 해에 1년 내 이수하도록 하는 등 수상구조사 자격제도를 정비함으로써 우수한 수상구조 인력을 양성하여 국민의 생명ㆍ신체 보호에 기여하려는 것임(안 제30조의2제1항ㆍ제3항 및 제30조의7제1항제1호ㆍ제2호).
이동통신단말장치 유통구조 개선에 관한 법률 폐지법률안,2200097,「이동통신단말장치 유통구조 개선에 관한 법률」(이하 ‘단통법’)은 이동통신사업자들이 이동통신단말을 직접 판매하는 과정에서 일부 이용자에게만 과도한 지원금을 지급하는 등의 행위로 이용자 간 차별을 유발하면서 이를 규제하기 위해 「전기통신사업법」의 특별법 형식으로 도입되었음. 하지만 4차 산업혁명의 핵심요소인 사물인터넷 클라우드서비스 빅데이터 모바일화 등 이른바 ICBM의 보편화로 초연결 시대가 도래함에 따라 ICT 생태계의 건전한 발전과 이용자 후생 증진을 위해 전기통신서비스와 단말기기에 대한 통합적인 규제체계를 수립할 필요성이 증대되고 ‘단통법’으로 인해 이용자 차별이 방지되기보다 이용자에게 지급되는 지원금이 축소되는 등 이용자 후생이 저하되는 문제가 발생하고 있어 본래 규제의 대상인 전기통신사업과 이용자 후생 증진과 직접적으로 관련되는 ‘단통법’의 조항만 남겨 「전기통신사업법」과 통합하는 것이 바람직함. 이에 이 법을 폐지하고 전기통신사업자에 대한 일반규제법규인 「전기통신사업법」에 따라 단말기유통질서를 교란하는 문제점을 해소하고 이용자 후생을 제고하며 ‘단통법’의 운용 과정에서 드러난 제도적 문제점을 시정하려는 것임. 참고사항 이 법률안은 박충권의원이 대표발의한 「전기통신사업법 일부개정법률안」(의안번호 제96호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결 되는 경우에는 이에 맞추어 조정되어야 할 것임.
생명공학육성법 일부개정법률안,2200538,최근 생명공학 분야는 합성생물학 마이크로바이옴 등 새로운 생명공학기술이 등장하면서 이 같은 기술에 대한 전략적 지원의 중요성이 대두되고 있음. 그런데 현행법은 새로운 생명공학기술에 대한 지원 근거가 미비하다는 점에서 국내외 생명공학 기술발전의 환경변화에 맞게 제도나 규정을 정비할 필요가 있다는 지적이 있음. 이에 과학기술정보통신부장관이 유망 생명공학기술을 지정하여 지원할 수 있도록 하고 생명공학 관련 공동ㆍ융복합연구 국제협력 전문인력 양성 및 표준화에 관한 규정을 정비함으로써 생명공학을 효율적으로 육성ㆍ발전시키려는 것임(안 제11조의2 제12조제2항 제13조제2항ㆍ제3항 제15조제2항 제18조제2항ㆍ제3항 및 제20조의2 신설 등).
대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안,2200770,「부정경쟁방지 및 영업비밀보호에 관한 법률」에서는 부정경쟁행위 및 영업비밀 침해행위로 인하여 영업상 이익이 침해되거나 침해될 우려가 있는 경우 법원에 그 행위의 금지 또는 예방 및 관련 물건ㆍ설비의 제거 등을 청구할 수 있도록 규정하고 있음. 그러나 현행법에서는 이러한 금지청구권을 규정하지 아니하여 수탁ㆍ위탁거래에서의 기술자료 유용행위가 발생할 경우 피해 수탁기업은 공정거래위원회의 조치 또는 법원의 손해배상 판결 등이 있은 후에야 구제를 받을 수 있으며 그 전까지는 금지청구 등 구제를 요청할 수 없는 상황임. 이에 기술자료 유용행위의 금지 또는 예방 등을 청구할 수 있도록 하는 금지청구권 등에 관한 법적 근거를 마련함으로써 수탁기업 기술에 대한 보호 및 구제를 강화하려는 것임(안 제28조의11 신설).
도로교통법 일부개정법률안(대안),2208882,현행법은 자동차등 또는 노면전차의 운전자가 마약 대마 및 향정신성의약품 등의 약물의 영향으로 정상적으로 운전하지 못할 우려가 있는 상태에서 자동차등 또는 노면전차의 운전을 금지하고 이를 위반하는 경우 3년 이하의 징역이나 1천만원 이하의 벌금에 처하도록 하고 있음. 최근 운전자가 약물을 복용한 후 운전한 사례가 증가하고 있으며 약물 운전이 음주운전보다 더 위험한 상황을 초래할 수 있음에도 약물 운전에 대한 처벌 기준이 음주운전보다 낮고 경찰관이 운전자의 약물 복용 여부에 대해 측정할 수 있는 근거를 마련하고 있지 않으며 약물 운전 이후 교통사고가 발생한 경우 등을 운전면허 결격 사유에 포함하고 있지 않은 등 규정에 미비한 부분이 있으므로 약물 운전에 대한 대책을 강화할 필요가 있다는 지적이 제기되고 있음. 이에 약물 운전에 대한 처벌 수준을 강화하고 경찰공무원이 약물의 복용 여부를 측정할 수 있도록 하며 약물 측정에 불응하는 경우에 대한 처벌 규정을 신설하고 약물 운전 및 약물 측정 불응을 운전면허의 취소사유 및 결격사유에 추가하려는 것임. 대안의 주요내용 가. 약물 운전 위반에 대한 처벌 수준을 5년 이하의 징역이나 2천만원 이하의 벌금으로 상향함(안 제148조의2제5항). 나. 경찰공무원은 운전자가 약물 운전을 한 것으로 인정할 만한 상당한 이유가 있는 경우에는 타액 간이시약검사 등 행정안전부령으로 정하는 방법으로 측정할 수 있도록 하고 운전자는 경찰공무원의 측정에 응하도록 함(안 제45조제2항·제3항·제4항 신설). 다. 약물 운전을 한 것으로 인정할 만한 상당한 이유가 있는 사람이 약물 측정에 불응하는 경우에는 5년 이하의 징역이나 2천만원 이하의 벌금에 처함(안 제148조의2제6항). 라. 약물 운전 또는 약물 운전 측정 불응으로 벌금 이상의 형을 선고받고 그 형이 확정된 날부터 10년 내에 다시 약물 운전을 한 경우에는 2년 이상 6년 이하의 징역이나 1천만원 이상 3천만원 이하의 벌금에 처하는 등 가중 처벌함(안 제148조의2제4항). 마. 약물 운전 측정에 불응한 것을 운전면허의 필요적 취소사유에 추가함(안 제93조). 바. 약물 운전으로 교통사고를 일으킨 경우 등을 운전면허의 결격사유에 추가함(안 제82조).
게임산업진흥에 관한 법률 일부개정법률안(대안),2206953,현행법에 따라 게임물을 유통시키거나 이용에 제공할 목적으로 게임물을 제작 배급 또는 제공하는 자는 해당 게임물과 그 인터넷 홈페이지 및 광고ㆍ선전물마다 해당 게임물 내에서 사용되는 확률형 아이템의 종류와 종류별 공급 확률정보 등을 표시하여야 함. 이를 위반할 경우 문화체육관광부장관이 시정을 권고 또는 명령할 수 있도록 하고 시정명령을 이행하지 않은 자는 징역 또는 벌금에 처하도록 하고 있으나 허위ㆍ조작 확률 등으로 인한 게임물 이용자들의 피해 예방 및 손해 전보 등 측면에서 보완이 필요하다는 여론이 높음. 이에 소송특례를 마련하여 게임물 이용자의 권리구제 방안을 마련하고 문화체육관광부장관이 게임물 이용자의 피해구제를 전담할 수 있는 피해구제 센터를 운영할 수 있도록 하여 게임물 이용자 보호를 강화하려는 것임(안 제33조의2 신설).
자유무역협정의 이행을 위한 관세법의 특례에 관한 법률 일부개정법률안,2203524,납세자의 권익보호를 강화하기 위하여 수입자가 품목분류가 변경되어 부족한 세액을 수정신고하는 경우에도 협정관세의 사후적용을 신청할 수 있도록 하고 사전심사 제도를 활성화하고 수입자의 편의를 도모하기 위하여 자유무역협정에서 정하지 않은 경우에도 원산지결정기준의 충족 여부 등에 대하여 관세청장에게 사전심사를 신청할 수 있도록 하며 수입자의 부정한 행위로 부족세액이 발생한 경우에 대하여 부과하는 가산세율을 ‘100분의 40’에서 ‘100분의 60’으로 상향 조정하는 등 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임. 주요내용 가. 협정관세의 사후적용 신청 범위 확대(안 제9조제2항) 수입자가 수입신고한 품목분류가 변경되어 부족한 세액을 수정신고하는 경우에도 일반적인 협정관세 사후적용 신청기한(수입신고 수리일부터 1년 이내)과 관계없이 수정신고를 한 날부터 3개월 이내로서 대통령령으로 정하는 기간 이내에 협정관세의 사후적용을 신청할 수 있도록 함. 나. 원산지 등에 대한 사전심사의 적용 대상 확대(현행 제31조제1항 단서 삭제 안 제31조제2항 및 제32조제1항) 1) 자유무역협정에서 사전심사에 관한 사항을 정하지 않은 경우에도 원산지결정기준의 충족 여부 등에 대하여 의문이 있는 자는 해당 물품의 수입신고를 하기 전에 관세청장에게 그 의문사항을 미리 심사하여 줄 것을 신청할 수 있도록 함. 2) 자유무역협정에서 원산지결정기준의 충족 여부 등에 대한 사전심사 결과를 기재한 사전심사서의 내용 변경에 관한 사항을 정하지 않은 경우에도 사전심사서의 근거가 되는 사실관계 또는 상황의 변경 등의 사유가 있는 경우에는 관세청장이 그 사전심사서의 내용을 변경할 수 있도록 함. 다. 수입자의 부정한 행위에 대한 가산세의 상향 조정(안 제36조제1항제1호 단서) 수입자가 원산지증명서를 위조 또는 변조하는 등 부정한 행위로 협정관세의 적용을 신청하여 부족세액이 발생한 경우에 대하여 부과하는 가산세율을 ‘100분의 40’에서 ‘100분의 60’으로 상향 조정함. 참고사항 이 법률안은 「국회법」 제85조의3제4항에 따라 2025년도 세입예산안 부수 법률안으로 지정될 필요가 있음
