파일명,의안번호,제안이유,주요내용or주 문
0129D4C4-9DEF-07D3-981F-A0DCA98928D4.pdf,24604,"국정운영의 효율을 제고하고 국가의 균형발전을 도모하기 위해 세종특별자치시에 국회세종의사당을 두도록 하는 「국회법」 개정(법률 제18474호, 2021. 10. 14. 시행)에 따라 국회세종의사당의 설치와 운영, 그 밖에 필요한 사항을 국회규칙으로 정하려는 것임.","가. 국회세종의사당의 설치와 운영, 그 밖에 필요한 사항을 규정함을 목적으로 함(안 제1조). 나. 국회세종의사당에 정무위원회·기획재정위원회·교육위원회·과학기술정보방송통신위원회·행정안전위원회 등의 위원회 회의실, 해당 상임위원회 소속 국회의원의 의원사무실, 위원회에 대한 지원부서 등 국회사무총장이 정하는 국회사무처 소속 부서, 국회도서관 분관, 국회예산정책처, 국회입법조사처 등을 두도록 함(안 제4조). 다. 국회세종의사당의 건립과 관련된 자문을 위하여 국회의장 소속으로 국회세종의사당건립위원회를 두도록 함(안 제5조). 라. 국회세종의사당의 설치 및 운영에 관한 업무를 효율적으로 추진하기 위하여 국회세종의사당 관련 업무를 전담하는 부서로 국회세종의사당추진단을 두도록 함(안 제6조). 마. 국회세종의사당 설치에 따른 정주여건 및 근무여건 조성 등을 위하여 지원계획을 수립·시행하도록 함(안 제7조). 바. 국회세종의사당으로 이전하는 위원회 등의 종전 부지 및 건축물에 대한 활용계획을 수립하도록 함(안 제8조). 사. 국회세종의사당건립지를 편찬하기 위하여 국회세종의사당건립지편찬위원회를 두도록 함(안 제9조)."
022739DD-327D-BBBB-6724-40FAD15F1F01.pdf,19185,"현행은 월의 중간에 입･퇴사하는 근로자 등에 대해서 월별보험료를 일할계산하여 부과하고 있고, 징수금 등의 금액이 2천원 미만의 소액에 대한 별도의 처리 근거가 없어 행정의 비효율 문제가 있으며, 무한책임사원･과점주주･사업양수인에 대한 보험료의 제2차 납부의무 근거가 없어 보험료의 납부･징수 확보가 미흡한 실정인 바, 이에 대한 개선을 통해 업무의 효율성 및 국민의 편의성을 제고할 필요가 있음. 또한, 고액･상습 체납자의 인적사항 공개기준(체납기간 2년 이상, 체납액 10억원 이상)이 다른 사회보험과 비교하여 다소 높으므로 그 기준을 하향조정하여 인적사항 공개대상을 확대함으로써 보험료의 적극적인 납부를 유도할 필요성이 있으며, 보험료 납부의무자가 국가･지방자치단체 등으로부터 계약대금 수령 시에 보험료 완납사실을 증명하게 하여, 체납보험료의 자진납부를 유도함으로써 간접징수 효과를 높이고 보험재정의 안정화를 도모할 필요성이 있음. 아울러 예술인･노무제공자의 기준보수가 보수액의 하한액으로 적용된다는 점을 법률에 명확히 규정할 필요가 있음. 이에 월별보험료의 월 단위 부과, 무한책임사원･과점주주･사업양수인에 대한 제2차 납부의무, 보험료의 고액･상습체납자의 인적사항 공개기준 변경(체납기간 1년 이상, 체납액 5천만원 이상), 보험료 납부의무자의 보험료 완납사실 증명, 1건당 2천원 미만의 소액 처리 근거, 예술인･노무제공자의 기준보수 적용 관련 사항 등을 규정하여 보험행정업무를 효율화하고 국민 편의성을 제고하려는 것임.","가. 예술인･노무제공자의 보수액이 기준보수보다 적은 경우 등에는 기준보수를 그 보수액으로 할 수 있도록 함(안 제3조). 나. 월별보험료의 일할계산 규정을 삭제하고, 근로자가 월의 중간에 새로이 고용된 경우 등에는 월별보험료를 해당 월의 다음 달부터 산정하도록 하여 월 단위로 부과할 수 있도록 함(안 제16조의4). 다. 법인의 재산으로 그 법인이 납부하여야 하는 보험료 등을 충당하여도 부족한 경우에는 무한책임사원 또는 과점주주가 그 부족한 금액에 대하여 제2차 납부의무를 지도록 하며, 사업이 양도･양수된 경우에 양도인에게 부과 결정된 보험료 등을 양도인의 재산으로 충당하여도 부족한 경우에는 사업의 양수인이 그 부족한 금액에 대하여 제2차 납부의무를 지도록 함(안 제22조의5 신설). 라. 보험료의 고액･상습체납자의 인적사항 공개기준을 현행 체납기간 2년 이상에서 1년 이상으로, 체납액 10억원 이상에서 5천만원 이상으로 변경함(안 제28조의6제1항). 마. 보험료등의 납부의무자가 국가･지방자치단체 등의 기관으로부터 공사･제조･구매･용역 등 계약의 대가를 지급받으려면 보험료등의 완납 사실을 증명하도록 함(안 제29조의4 신설). 바. 근로복지공단 또는 건강보험공단은 이 법에 따라 징수하여야 할 금액 또는 사업주에게 지급하여야 할 금액이 1건당 2천원 미만인 경우에는 징수 또는 지급하지 아니하도록 함(안 제45조의2 신설).  법률 제 호 고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안 고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부를 다음과 같이 개정한다. 제3조제1항을 다음과 같이 하고, 같은 조 제2항 중 “근로형태 및 보수 수준”을 “근로·노무 형태, 보수·보수액 수준”으로 한다. ① 다음 각 호의 어느 하나에 해당하는 경우에는 고용노동부장관이 정하여 고시하는 금액(이하 “기준보수”라 한다)을 근로자, 「고용보험법」 제77조의2제1항에 따른 예술인(이하 “예술인”이라 한다)이나 같은 법 제77조의6제1항에 따른 노무제공자(이하 “노무제공자”라 한다)의 보수 또는 보수액으로 할 수 있다. 1. 사업의 폐업·도산 등으로 근로자, 예술인 또는 노무제공자의 보수 또는 보수액을 산정·확인하기 곤란한 경우 등 대통령령으로 정하는 사유가 있는 경우 2. 예술인(「고용보험법」 제77조의2제2항제2호 본문에 따른 소득 기준을 충족하는 예술인으로서 대통령령으로 정하는 사람과 같은 호 단서에 따른 단기예술인은 제외한다) 및 노무제공자(같은 법 제77조의6제2항제2호 본문에 따른 소득 기준을 충족하는 노무제공자로서 대통령령으로 정하는 사람과 같은 호 단서에 따른 단기 노무제공자는 제외한다)의 보수액이基準보수보다 적은 경우  법률 제18919호 고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률 제16조의3제1항 본문 중 “「고용보험법」 제77조의2제1항에 해당하는 예술인(이하 “예술인”이라 한다)의”를 “예술인의”로 하고, 같은 조 제2항 전단 중 “보수”를 “보수·보수액”으로 하며, 같은 항 후단 중 “적용기간, 하한액 기준”을 “적용기간”으로 한다. 제16조의4를 다음과 같이 한다. 제16조의4(월 중간 고용관계 변동 등에 따른 월별보험료 산정) 다음 각 호의 어느 하나에 해당하는 경우 월별보험료는 해당 월의 다음 달부터 산정한다. 다만, 매월 1일에 다음 각 호의 어느 하나에 해당하는 경우에는 그 달부터 산정한다. 1. 근로자가 월의 중간에 새로이 고용된 경우 2. 근로자가 월의 중간에 동일한 사업주의 하나의 사업장에서 다른 사업장으로 전근되는 경우 3. 근로자의 휴직 등 대통령령으로 정하는 사유가 월의 중간에 종료된 경우 제16조의8제5항을 제6항으로 하고, 같은 조에 제5항을 다음과 같이 신설한다. ⑤ 건강보험공단은 제22조의5에 따른 제2차 납부의무자에게 납부의무가 발생한 경우 납입의 고지를 하여야 하며, 원납부의무자인 법인인 사업주 및 사업양도인에게 그 사실을 통지하여야 한다. 이 경우 납입의 고지 방법, 고지의 도달 등에 관한 사항은 제1항부터 제3항까지를 준용한다. 법률 제18919호 고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부를 다음과 같이 개정한다. 제16조의9제1항 후단 중 “「고용보험법」 제77조의6제1항에 해당하는 노무제공자(이하 “노무제공자”라 한다)”를 “노무제공자”로 한다. 제22조의5를 다음과 같이 신설한다. 제22조의5(제2차 납부의무) ① 법인의 재산으로 그 법인이 납부하여야 하는 보험료, 이 법에 따른 그 밖의 징수금과 체납처분비를 충당하여도 부족한 경우에는 해당 법인이 납부하여야 하는 보험료의 납부기간 만료일(제17조 및 제19조에 따른 신고가 있는 경우에는 해당 규정에 따른 납부기간 만료일을 말한다) 현재의 무한책임사원 또는 과점주주(「국세기본법」 제39조 각 호의 어느 하나에 해당하는 자를 말한다. 이하 이 항에서 같다)가 그 부족한 금액에 대하여 제2차 납부의무를 진다. 다만, 과점주주의 경우에는 그 부족한 금액을 그 법인의 발행주식 총수(의결권이 없는 주식은 제외한다) 또는 출자총액으로 나눈 금액에 해당 과점주주가 실질적으로 권리를 행사하는 주식 수(의결권이 없는 주식은 제외한다) 또는 출자액을 곱하여 산출한 금액을 한도로 한다. ② 사업이 양도·양수된 경우에 양도일 이전에 양도인에게 부과 결정된 보험료(제17조 및 제19조에 따라 신고된 보험료를 포함한다), 이 법에 따른 그 밖의 징수금 및 체납처분비를 양도인의 재산으로 충당하여도 부족한 경우에는 사업의 양수인이 그 부족한 금액에 대하여 양수한 재산의 가액을 한도로 제2차 납부의무를 진다. 이 경우 양수인의 범위 및 양수한 재산의 가액은 대통령령으로 정한다. 제23조제1항 각 호 외의 부분 본문 중 “사업주가”를 “보험료등의 납부의무자가”로, “사업주에게”를 “납부의무자에게”로 한다. 제27조제2항 중 “보험가입자가 보험료 또는 이 법에 따른 그 밖의 징수금을”을 “납부의무자가 보험료등을”로, “그 납부의무자에게 징수금을”을 “해당 보험료등을”로 한다. 제28조의6제1항 본문 중 “2년이”를 “1년이”로, “10억원”을 “5천만원”으로, “체납자에 대하여는”을 “체납자가 납부능력이 있음에도 불구하고 체납한 경우에는”으로 한다. 제29조의4를 다음과 같이 신설한다. 제29조의4(보험료등의 완납증명) ① 보험료등의 납부의무자가 국가, 지방자치단체 또는 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관 등 대통령령으로 정하는 기관으로부터 공사·제조·구매·용역 등 대통령령으로 정하는 계약의 대가를 지급받으려면 보험료등의 완납(完納) 사실을 증명하여야 한다. 다만, 납부의무자가 계약대금의 전부 또는 일부로 보험료등을 납부하려는 경우 등 대통령령으로 정하는 경우에는 그러하지 아니하다. ② 납부의무자가 제1항에 따라 보험료등의 완납 사실을 증명하여야 하는 경우 같은 항의 계약을 담당하는 주무관서 또는 공공기관 등은 납부의무자의 동의를 받아 공단 또는 건강보험공단에 조회하여 보험료등의 납부 여부를 확인하는 것으로 제1항에 따른 완납 사실 증명을 갈음할 수 있다. 제45조의2를 다음과 같이 신설한다. 제45조의2(소액 처리) 공단 또는 건강보험공단은 이 법에 따라 징수하여야 할 금액이나 제23조제1항 본문에 따라 지급하여야 할 금액이 1건당 2천원 미만인 경우에는 징수 또는 지급하지 아니한다."
02EDB65C-E15A-DDF0-A15B-7A20E19DD4D2.pdf,17639,"국제연합 회원국으로서 국제연합의 국제평화유지 노력에 적극 동참하고, 남수단 공화국의 평화 정착 및 재건 지원에 기여하기 위하여 ｢국제연합 남수단 임무단(UNMISS)｣에 파견되어 활동 중인 국군부대의 파견기간을 연장하려는 것임.",가. 2013. 4. 3.부터 파견되어 2022. 12. 31.까지 연장된 국군부대의 파견기간을 2023. 1. 1.부터 2023. 12. 31.까지 1년간 연장함. 나. 국군부대의 임무는 남수단 공화국 평화 정착 및 재건 지원 활동 등임. 다. 국군부대에 대한 지휘권 및 법적 지위에 관하여는 국제연합 평화유지 활동에 적용되는 원칙에 따르도록 함. 라. 국군부대 파견에 따른 소요경비(所要經費)는 우리 정부 예산에서 먼저 지출하고 추후 국제연합으로부터 일부 보전 받음.
03A2CB7F-6431-4E91-783E-F4AE292E06E4.pdf,2115582,,
05C988A5-1F59-8BF0-2EAD-6C190E60B610.pdf,,,"청소년 활동 지원 및 복지증진, 청소년 보호‧교육 등 청소년 건전 육성 도모. 청소년 활동 지원과 청소년 시설‧단체의 설치 및 운영, 청소년지도자 양성 지원을 통해 청소년 보호 및 복지증진 향상. 청소년 참여지원과 청소년 체험활동 기회 확대를 통해 청소년 정책 및 역량 강화. 청소년 유해매체 대응 및 역기능 해소를 추진하고, 국립청소년치료재활센터 및 가출 청소년 지원, 공적 보호체계로 위기청소년 유입 확대 등 청소년 사회안전망 강화."
0678F1B1-148D-8E35-3D12-B8133F8D90FA.pdf,12509,"대한민국 국회는 탈레반의 폭력과 인권탄압에 우려를 표하며, 아프가니스탄 국민의 존엄과 인권이 보장받을 수 있는 기반이 신속히 마련되어야 할 것이라고 판단함. 이에 대한민국 정부가 아프가니스탄의 평화 정착, 인권 보장, 난민 보호를 위해 국제사회와 긴밀히 협력하는 등 책임있는 외교적 노력을 다할 것을 촉구하고자 동 결의안을 제안함.","지난 8월 16일, 탈레반이 아프가니스탄 수도 카불을 장악하면서 아프가니스탄 정부는 결국 탈레반에 정권을 이양하였다. 탈레반 대변인은 총사면을 선포하는 등 공포정치는 없을 것이라고 하고, “아프간 국민에게 보복은 없을 것”이라고 밝혔지만, 여전히 아프가니스탄 곳곳에서 비극적인 소식이 계속 전해지고 있다. 탈레반의 위협을 피해 수많은 난민이 다시 피난길에 오르고 있고, 카불 공항에는 수천 명의 탈출 인파가 몰려 마비되기도 하였다. 아프가니스탄의 현 상황은 우리와 무관하지 않음을 자각해야 한다. 대한민국은 미국의 대테러 전쟁과 아프가니스탄 재건을 지원하기 위해 군대를 파견한 국가이다. 지난 2002년 동의·다산 부대, 2010년 지방 재건팀(PRT)과 오쉬노 부대 등을 파견한 바 있으며, 현지 안정화와 재건을 위해 공적개발원조(ODA) 약 10억 달러(한화 1조 1,700억 원) 이상을 지원한 바 있다. 이에 대한민국 국회는 아프가니스탄 국민의 존엄과 인권을 탄압하는 탈레반을 규탄하며, 아프가니스탄 국민들의 평화와 안정, 인권을 지지한다. 특히 지속되는 위협 속에서도 국제사회를 향해 용기있는 발언을 이어가는 여성들에게 연대를 보내고자 한다. 대한민국 국회는 대한민국 정부가 아프가니스탄의 참담한 상황에 깊은 책임감을 느끼고 국제사회와 긴밀히 협력하여 아프가니스탄의 평화 정착과 인권 보장, 난민 보호를 위한 책임있는 외교적 노력에 나설 것을 촉구하며, 다음과 같이 결의한다."
0745F75D-61DF-8456-772E-459E870CB25B.pdf,4482,"한-UAE간 군사협력의 일환으로 2011년 1월부터 아랍에미리트(UAE)에 파견된 국군부대(아크부대)의 파견기간이 2020년 12월 31일 종료될 예정으로, 다음과 같은 이유로 파견기간을 연장하고자 함. 첫째, 아크부대의 주둔은 한-UAE간 특별 전략적 동반자 관계 발전 및 경제협력을 비롯한 다양한 분야에서 양국간 교류협력 확대에 기여함. 둘째, UAE 특수전부대의 첨단장비·훈련시설을 활용한 훈련을 통해 우리 특수전부대의 작전수행능력이 향상됨. 셋째, UAE정부는 양국간 협력의 상징이자 UAE군의 역량 제고에 기여하고 있는 아크부대의 파견연장을 희망함. 넷째, 유사시, UAE지역 우리국민(약 1만 여명) 보호 임무 수행이 가능함.","가. UAE에 파견된 국군부대 파견기간을 2021년 1월 1일부터 2021년 12월 31일까지 1년간 연장함. 나. 국군부대의 임무는 UAE군 특수전부대에 대한 교육훈련 지원, UAE군 특수전부대와 연합훈련 및 연습, 유사시 우리 국민보호임. 다. 파견규모는 150명 이내이며, 파견지역은 UAE 아부다비주 지역임. 라. 부대 지휘권은 한국군이 보유하며, 우리 합동참모의장이 작전지휘함. 마. 국군부대의 파견경비(약 102억원)는 우리 정부의 부담으로 함."
07977BE8-E1CF-0A1F-5C80-E7C622227BB3.pdf,3477,｢예금자보호법｣에 따라 설립된 예금보험공사가 예금보험기금채권상환기금의 부담으로 2021년도에 발행하는 예금보험기금채권상환기금채권의 원리금 상환에 대해 국가가 보증하기 위하여 ｢국가재정법｣ 제92조에 따라 국회의 동의를 요청하고자 제안하는 것임,가. 채 무 자 : ｢예금자보호법｣에 의해 설립된 예금보험공사 나. 채 권 자 : 예금보험기금채권상환기금채권의 소유자 다. 발 행 액 : 2천억원 이내 라. 보 증 액 : 예금보험기금채권상환기금채권의 원리금 마. 발행방법 : 공모 또는 사모발행 바. 발행금리 : 시장금리를 참작하여 별도 결정 사. 상환기간 : 채권발행일로부터 1년 이내 아. 상환재원 : ｢예금자보호법｣제26조의3 제2항에 따른 예금보험기금채권상환기금의 수입 자. 자금사용계획 : 만기도래하는 예금보험기금채권상환기금채권의 원리금 상환 차. 기타 필요한 사항은 기획재정부장관의 승인을 얻어 정함
09923353-83B3-2E3E-CAF5-8833C7FC0DDC.pdf,4073,"2009년 5월 회사의 대규모 정리해고로 시작된 이른바 ‘쌍용차 사태’ 이후 11년이 지났음. 문재인 정부 들어 구성된 경찰청 인권침해 사건 진상조사위는 2018년 8월 쌍용차 사건에 대해 “이명박 전 대통령의 승인에 따라 정부가 노사 자율로 해결할 노동쟁의 사안을 경찰의 물리력을 통해 해결하려고 한 사건”이라고 발표함. 진상조사위는 경찰청에는 공권력의 과잉행사에 대해 사과하고, 관련 손해배상청구소송 취하와 유사 사건 재발 방지를 위한 제도정책 개선을 권고했음. 정부에게도 피해자들에 대한 사과 및 명예회복과 치유방안을 마련하라고 촉구했음. 진상조사위 권고에 따라 민갑룡 경찰청장은 2019년 7월 쌍용차 노동자들에게 공권력 남용에 대해 사과했지만 쌍용차 노동자들을 상대로 제기한 손해배상청구소송은 취하하지 않았음. 그 결과 2020년 8월31일 기준 쌍용차 노동자들이 갚아야 할 돈은 25억원을 넘어섰음. 하지만 1ㆍ2심 판결은 경찰청 인권침해 진상조사로 국가폭력의 진상이 드러나기 전에 나왔던 판결이라는 점을 감안하면 현 시점에서 경찰청은 이 사건에 대해 이전과 다른 입장을 갖고 새로운 판단을 내려야 할 것임. 아울러 당시 국가의 위법ㆍ부당한 지시에 따라 무리한 진압 작전에 투입됐다가 몸과 마음을 다친 경찰들 또한 잘못된 공권력의 피해자이자 희생자임. 공장 안에서 저항하던 노동자도, 이들을 물리력으로 진압해야 했던 경찰도 적이 아닌, 이제는 서로 화해하고 상처를 치유해야 할 대상이라는 점을 인식해야 함. 이에 경찰청에는 쌍용차 사태를 둘러싼 갈등을 매듭짓기 위한 첫걸음을 손해배상 청구 소송 취하에서부터 시작할 것을 촉구하고, 정부에는 국가폭력의 피해자인 노동자와 그 가족, 그리고 또 다른 공권력의 피해자인 강제진압 투입 경찰에 대해 적절한 치유 노력을 다할 것을 촉구하기 위해 이 결의안을 제출함.","2009년 5월 회사의 대규모 정리해고로 시작된 이른바 ‘쌍용차 사태’는 우리나라 노동사(史)에 깊은 상흔을 낸 비극적인 사건이 었다. 전국금속노동조합 쌍용자동차지부의 77일 파업은 2009년 8월4일부터 8월5일 이틀간 대테러장비를 이용한 경찰특공대의 진압으로 끝났지만, 노동자들과 그 가족들의 고통은 십년이 넘은 지금까지 멈추지 않고 있다. 오랜 해고 기간, 국가와 회사가 제기한 수십억 원 대의 손해배상 소송과 가압류로 지난 2018년까지 서른 명의 노동자와 그 가족들이 생을 마감하는 등 비극이 이어졌다. 문재인 정부 들어 대한민국 경찰은 경찰청 인권침해 진상조사위원회를 통해 2009년 쌍용차 농성 진압에 대해 “이명박 전 대통령의 승인에 따라 정부가 노사 자율로 해결할 노동쟁의 사안을 경찰의 물리력을 통해 해결하려고 한 사건”이라고 발표했다. 쌍용차 국가폭력의 책임이 당시 이명박 정부에 있었다는 점을 공식 확인한 것이다. 이러한 경찰청 인권침해 진상조사위원회 권고에 따라 2019년 7월26일 민갑룡 당시 경찰청장은 쌍용자동차 노동자ㆍ가족을 포함해 국가폭력 피해자들에게 공식적으로 사과했다. 하지만 쌍용차 노동자들을 상대로 제기한 손해배상청구소송은 취하하지 않았다. 그 결과 쌍용자동차 노동자들이 갚아야 할 돈은 2020년 8월31일 기준 지연이자 포함 25억2천167만2천694원에 이른다. 지금도 매일 지연이자 61만8천298원이 발생하고 있다. 경찰청은 아직까지 “2심까지 사실심리를 마치고 대법원에 계류 중인 만큼 대법원의 최종 판단을 받아볼 필요가 있다”는 입장을 유지하고 있다. 하지만 1ㆍ2심 판결은 경찰청 인권침해 진상조사로 국가폭력의 진상이 드러나기 전에 나왔던 판결이라는 점을 감안하면 현 시점에서 경찰청은 이 사건에 대해 이전과 다른 입장을 갖고 새로운 판단을 내려야 할 것이다. 이와 관련해 국가인권위원회 또한 2019년 12월17일 대법원에 ‘쌍용차 노조 등에 대한 국가의 손해배상청구소송사건’에 대한 의견서를 제출하면서 “진압과정 당시 위법 부당한 강제진압을 자행해 사태를 악화시킨 책임이 있음에도 불구하고 해고를 당한 노동자들을 대상으로 가압류가 수반된 거액의 손해배상청구소송을 제기하는 행위는 그 정당성이 상당히 결여됐다”고 판단했다. 쌍용차 사태로 인한 피해는 비단 노동자와 그 가족에 그치지 않는다. 국가의 위법ㆍ부당한 지시에 따라 무리한 진압 작전에 투입됐다가 몸과 마음을 다친 경찰들 또한 잘못된 공권력의 피해자이자 희생자임이 분명하다. 공장 안에서 저항하던 노동자도, 이들을 물리력으로 진압해야 했던 경찰도 이제는 서로 화해하고 상처를 치유해야 한다. 이에 대한민국 국회는 쌍용차 사태를 둘러싼 해묵은 갈등을 매듭짓는 첫걸음은 쌍용자동차 노동자들에 대한 경찰의 손해배상 청구 소송 취하에서부터 시작돼야 한다는 점을 확인하면서 다음과 같이 정부와 경찰에 촉구한다. 1. 대한민국 국회는 경찰청 인권침해 진상조사위원회 진상조사에 따라 2009년 8월 쌍용자동차 파업 진압은 이명박 전 대통령의 승인에 따라 정부가 노사 자율로 해결할 노동쟁의 사안을 경찰의 물리력을 통해 해결하려고 한 사건이라는 점이 확인된 만큼, 경찰에 이 사건으로 파손된 경찰장비와 개별 경찰 위자료ㆍ치료비를 위한 손해배상 소송 취하 의견을 대법원에 제출할 것을 촉구한다. 2. 쌍용자동차 노동자들은 동료와 가족 서른 명을 곁에서 떠나보내고서야 국가폭력 피해자로 인정받았지만, 지난 10여 년의 고통은 무엇으로도 되돌리기 어렵다. 이에 정부는 국가폭력 피해자들인 쌍용자동차 노동자들과 그 가족들의 실추된 명예회복과 피해 보상을 위한 실질적 대책을 마련할 것을 촉구한다. 3. 위법ㆍ부당한 지시로 강제진압 현장에 투입됐다가 부상을 입고 정신적 고통을 겪은 경찰들도 부당한 공권력 지시의 피해자다. 정부는 과거 잘못된 공권력 사용 지시를 반성하고, 해당 경찰들에 대한 적절한 치유 노력을 다할 것을 촉구한다."
0B7AE48E-71C6-8299-570D-E85937A87196.pdf,23596,"2023년은 대덕특구가 조성된 지 50주년 되는 해임. 대덕특구가 그동안 대한민국 발전에 기여한 역사를 고려할 때, 대덕특구 50주년에 정부와 언론 등의 관심과 지원이 필요한 상황임. 또한 조성 50주년을 계기로 대덕특구가 지난 50년간 대한민국의 성장동력으로 기능한 것처럼 향후에도 대한민국 발전에 기여할 수 있도록 적극적인 법적, 제도적 지원이 필요한 상황임. 또한, 대덕특구를 시작으로 현재 전국에 조성된 다른 연구개발특구들이 대한민국 미래 발전에 중추적인 역할을 할 수 있도록 적극적인 법적, 제도적 지원이 필요한 상황임. 이에 정부 및 지방자치단체에 적극적인 연구개발특구 지원 정책 추진을 촉구하고, 초당적 협력을 다짐하고자 함.","대덕연구개발특구(이하 대덕특구)는 1973년부터 조성되어 과학기술 연구, 개발을 통해 대한민국 경제 성장을 견인해 왔다. 대한민국 국회는 대덕특구 조성 50주년을 환영하며, 대덕특구 조성 50주년을 계기로 대덕특구의 성과와 향후 미래비전이 제시되길 촉구한다. 아울러, 대덕특구를 비롯한 전국의 연구개발특구들이 대한민국의 향후 성장을 견인하는 데 기여할 수 있도록 적극적인 지원 정책이 추진되길 촉구한다. 이를 위해 대한민국 국회는 다음과 같이 결의한다. 1. 대한민국 국회는 대한민국 성장에 핵심적인 역할을 수행하며 첨단 산업의 성장동력으로 기능해 온 대덕특구의 가치를 높이 평가하며, 조성 50주년을 맞은 대덕특구에 정부와 언론, 시민사회 등이 더욱 많은 관심과 성원을 보내줄 것을 촉구한다. 2. 대한민국 국회는 대덕특구 조성 50주년이 대덕특구의 발자취를 되돌아보고 그간의 성과를 되새기는 계기가 됨과 동시에 향후 대덕특구의 미래비전과 발전 방향을 함께 모색하고 새로운 청사진을 제시하는 뜻깊은 기회가 되길 바란다. 이를 위해 대한민국 국회는 정부 및 지방자치단체가 적극적으로 대덕특구 지원 정책을 추진할 것을 촉구하며 대한민국 국회도 초당적으로 협력할 것을 다짐한다. 3. 대한민국 국회는 대덕특구에서 발생한 성과가 대덕특구를 시작으로 전국에 조성된 광주특구, 대구특구, 부산특구, 전북특구 및 14개의 강소특구에 공유되고 확산되기를 바라며, 대한민국 연구개발특구들이 국가 경쟁력 제고 및 과학기술 중심의 지역균형발전 달성을 위해 중추적인 역할을 할 수 있도록 정부와 지방자치단체가 적극적인 지원 정책을 추진할 것을 촉구한다. 4. 대한민국 국회는 대덕특구를 비롯한 전국의 연구개발특구가 대한민국의 미래를 이끌어 가는 데 중추적인 역할을 해야 한다는 것에 뜻을 같이 하며, 그러한 역할을 원활히 수행할 수 있도록 적극적인 법적, 제도적 지원을 하기 위해 초당적인 협력을 다할 것을 다짐한다. 5. 대한민국 국회는 현재 대덕특구가 공식적인 출범일이 없는바 대덕특구 조성 50주년을 기념하여 대덕특구를 지정 고시한 11월 20일을 대덕특구 공식 출범일로 지정하는 데 뜻을 같이 한다."
