cluster,cluster_keyword
6,"외국인, 송환, 입국불허, 송환대기실"
0,"임원, 공제금, 중소기업, 규정"
5,"어린이안전, 어린이공원, 안전교육, 안전시설"
24,"6·25전쟁, 무공훈장, 국방부장관, 공로자"
12,"벌금형, 법정형, 형사처벌, 범죄억지력"
7,"가축, 축산물, 이력관리, 가금"
16,"한국마사회, 장외발매소, 농축산물, 농업인"
17,"증인, 국회, 출석, 국정감사"
22,"대한민국재향경우회, 보조금, 정치활동, 운영"
18,"후원회, 예비후보자, 선거구, 국회의원"
23,"다문화가족, 다문화가족지원센터, 기본계획, 홍보영상"
25,"실태조사, 영양사, 법률, 규정"
3,"중소기업, 기금, 손해금, 동반성장"
19,"선거구, 선거, 국회의원, 부칙"
26,"국가교통위원회, 민간위원, 공무원, 형법"
27,"대규모유통업자, 납품업자, 공정거래위원회, 분쟁조정"
35,"장애인, 장애인복지, 법률, 규정"
38,"응급의료, 응급환자, 구급차, 자동심장충격기"
40,"인사행정, 공무원, 임용, 징계"
41,"지방선거, 의원, 정수, 시의회"
46,"신고, 보장계약, 처리절차, 신고수리"
47,"자동차, 자동차제작자, 임시운행, 대체부품"
48,"운송사업자, 운수종사자, 여객자동차, 영상기록장치"
53,"산업재산권, 조정, 특허청, 조정기간"
55,"외국인투자기업, 경제자유구역, 국내복귀기업, 국·공유재산"
54,"교육훈련, 학습근로자, 기업, 고용노동부장관"
64,"생물다양성, 유전자원, 생태계서비스, 멸종위기 야생생물"
56,"여가, 휴가, 국민, 직장인"
57,"수산자원, 자율관리어업, 어업인, 포획·채취"
63,"비료, 비료생산업자, 비료수입업자, 행정제재처분"
65,"국회의원, 보좌직원, 임용, 4촌 이내 혈족·인척"
66,"부정경쟁행위, 사법경찰관리, 특허청, 침해"
67,"예산안, 세입, 국회, 지방자치단체"
68,"국가유공자, 보상금, 적용대상, 법"
74,"대통령당선인, 국무총리, 국무위원, 인사"
77,"실내공기질, 건축자재, 오염물질, 측정"
75,"식품수출, 식품인증, 지원기관, 지원"
76,"형식승인, 컨테이너, 선박, 안전점검"
78,"급경사지, 안전관리, 재해예방, 자연재해대책법"
83,"영양소 섭취기준, 영양사, 보건복지부장관, 고시"
85,"특허권, 침해, 손해배상, 생산능력"
84,"신기술, 규제, 신산업, 우선허용·사후규제"
91,"벌금형, 징역형, 법정형, 범죄억지력"
95,"항만, 해양수산부장관, 사업, 등록"
96,"한국수출입은행, 해외 현지법인, 출자, 업무"
14,"승자투표권, 벌칙, 경주사업, 유사행위"
97,"폐기물, 부적정처리, 처리업자, 과징금"
94,"벌금형, 법정형, 징역, 국민권익위원회"
103,"항만시설, 보안장비, 보안, 폐쇄회로 텔레비전"
104,"결산, 예산, 국회, 사업별설명서"
111,"묘, 종자, 육묘업, 품질표시"
105,"산림, 목재, 교육, 관리"
134,"정관, 기타공공기관, 공기업, 준정부기관"
112,"저작권, 저작권법, 일부개정법률안, 문화체육관광위원회"
113,"고용안정, 산업전환, 지원, 근로자"
114,"양육비, 가정법원, 심판, 허가"
90,"법정형, 행정형벌, 위헌성, 처벌"
115,"곤충산업, 곤충생산업, 곤충가공업, 신고"
116,"법인세, 중소기업, 세율, 법률안"
125,"지방세외수입금, 지방자치단체, 징수, 납부"
132,"학교용지, 학교용지부담금, 개발사업, 교육감"
117,"공공임대주택, 입주자, 삶의 질, 지원"
123,"교육통계조사, 초·중등교육, 법적 근거, 자료"
129,"창업, 지원, 창업기업, 중소벤처기업부장관"
131,"회계법인, 공인회계사, 감사, 분할"
130,"국제개발협력, 한국국제협력단, 주관기관, 시행기관"
133,"장기등기증자, 장기등기증, 생명나눔, 유족"
136,"개별소비세, 세율, 납세, 세입예산안"
143,"자동차, 보험, 폐차, 구상"
135,"개별소비세, 연료, LPG, 에너지"
140,"환자안전, 환자안전사고, 보건복지부장관, 의료기관"
142,"풍수해보험, 소상공인, 시설물, 피해복구"
141,"학교도서관, 사서교사, 배치, 대통령령"
0,"임원, 공제금, 중소기업, 규정"
144,"법률, 개정, 혼란, 제명"
145,"농약, 수출입식물방제업, 농촌진흥청장, 농약안전정보시스템"
146,"화물자동차, 운송사업, 운임, 위수탁계약"
147,"금융투자업자, 투자자, 사모집합투자기구, 증권"
152,"제2연평해전, 전사자, 보상금, 군인연금법"
107,"산지, 대체산림자원조성비, 국유림, 산림청장"
153,"학교안전사고, 학교안전공제, 보상, 피해자"
155,"전통시장, 안전시설물, 시설현대화사업, 안전점검"
154,"피후견인, 결격사유, 성년후견, 행위능력"
156,"의료기관, 의료인, 보건복지부령, 환자"
157,"제대군인, 적용 대상, 장기복무, 법"
158,"노인학대, 노인, 벌칙, 전용쉼터"
163,"수급사업자, 원사업자, 기술자료, 하도급대금"
165,"건물표시변경등기, 과태료, 건축법, 부동산등기법"
164,"동물, 학대, 등록, 처벌"
166,"피성년후견인, 피한정후견인, 금치산자, 한정치산자"
167,"광역교통, 대도시권, 국토교통부장관, 광역교통대책"
168,"지방채, 지방자치단체, 발행, 재정"
136,"개별소비세, 세율, 납세, 세입예산안"
170,"어린이, 고카페인, 판매 금지, 학교"
169,"응급처치교육, 유치원, 교직원, 유치원생"
171,"성희롱, 여성, 성인지 교육, 여성가족부장관"
172,"의사상자, 의사상자심사위원회, 구조행위, 의료급여"
173,"공증, 촉탁인, 인증, 공증담당영사"
174,"법률, 제명, 개정, 혼란"
185,"우리사주, 우리사주조합, 우리사주제도, 환매수"
175,"건축물, 소유자, 건축허가, 전산자료"
95,"항만, 해양수산부장관, 사업, 등록"
176,"국산밀, 수요기반, 생산, 자급률"
178,"소상공인, 지원, 피해, 상거래"
182,"정원, 수용, 한국수목원관리원, 토지"
183,"기상관측, 기상측기, 형식승인, 기상청장"
7,"가축, 축산물, 이력관리, 가금"
184,"사립학교, 교원, 육아휴직, 학교법인"
105,"산림, 목재, 교육, 관리"
136,"개별소비세, 세율, 납세, 세입예산안"
50,"교통안전, 교통수단, 교통안전관리자, 교통안전담당자"
186,"가축전염병, 방역, 검역, 지방자치단체"
38,"응급의료, 응급환자, 구급차, 자동심장충격기"
187,"가스용품, 표시, 제조일자, 안전"
194,"항만재개발사업, 항만구역, 해양수산부장관, 주변지역"
217,"소상공인, 중소기업, 대기업, 적합업종"
191,"신재생에너지, 한국수자원공사, 수자원개발시설, 사업"
195,"노동조합, 근로자, 단체협약, 부당노동행위"
200,"운전면허, 운전자, 교통사고, 도로"
205,"고등학교, 무상교육, 공민학교, 교육"
206,"이스포츠시설, 이스포츠, 생활 이스포츠시설, 인터넷컴퓨터게임시설제공업"
207,"법률, 한자어, 일본식 용어, 한글화"
213,"연구기관, 자체감사, 국가과학기술연구회, 연구회"
212,"사업재편, 기업, 지원, 특례"
214,"고압가스, 사용시설, 안전관리, 제조허가"
220,"사립학교 교직원, 분할연금, 재해보상, 공무원연금법"
219,"학교, 학생, 보건교사, 응급처치"
221,"장애인, 고용, 인식개선 교육, 사업주"
222,"항만시설, 국제항해선박, 보안, 경비·검색"
224,"누리과정, 유아교육, 특별회계, 지방교육재정교부금"
223,"재정비촉진지구, 재정비촉진사업, 지정, 해제"
226,"미세먼지, 저감, 대기오염물질배출시설, 비상저감조치"
235,"병해충, 신고, 식물, 연구자"
236,"영유아, 어린이집, 보육, 보호자"
230,"관광, 관광사업, 관광특구, 지정"
237,"암환자, 암관리, 의료비 지원, 지원대상자"
238,"선박소유자, 선원, 임금, 실습선원"
239,"군인, 임용, 성폭력범죄, 휴직"
166,"피성년후견인, 피한정후견인, 금치산자, 한정치산자"
240,"원자력안전법, 허가, 결격사유, 발전용원자로"
124,"지방자치단체, 지방재정, 예산, 지방의회"
