age,title,bill_id,bill_number,content,card_news_content
20,출입국관리법 일부개정법률안,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,2003755,입국 불허자 관리 강화를 위한 법적 근거를 마련함,"불법체류, 이제 걱정 끝! 쾌적한 사회 만들어요!"
20,중소기업협동조합법 일부개정법률안(대안),PRC_R1S8Q0Y9V1J8A1D1N2C2B2L6J7A2V3,2016535,조합 임원 결격사유 관련 경합범 벌금형 선고 시 분리 선고 규정을 신설함,"조합 임원, 공정한 판결로 신뢰 UP!"
20,도시공원 및 녹지 등에 관한 법률 일부개정법률안,PRC_Y1A8Y0A2I0U9I1Y7Y0Y6G5Z6Q3H6V7,2011897,어린이공원 교통안전을 위한 안전시설 설치 및 관리 의무를 부과함,아이들이 안전하게 뛰놀 수 있어요! 어린이공원 교통안전 강화!
20,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률안,PRC_S1N8S0D6U2L5E1P4M2Z8M0Y5B2B7L3,2013998,6.25전쟁 무공훈장 수여 지연 문제 해결을 위한 특별법을 제정함,"6.25 참전용사님, 훈장 드디어 받으세요!"
20,무역보험법 일부개정법률안,PRC_R1T7B0F1M0V2X1W3L5K2L1W7S3C0U8,2004916,벌금액을 징역 1년당 1천만원 비율로 개정하여 형사처벌의 공정성을 확보함,"형사처벌, 이젠 더 공정하게! 벌금액 개선!"
20,가축 및 축산물 이력관리에 관한 법률 일부개정법률안(대안),PRC_U1V8Y1Q1X2L8H1C6R4A5S2E4M4M3F5,2017177,가금 및 가금산물 이력관리제도를 강화함,"안전한 먹거리, 이력관리로 확실하게!"
20,한국마사회법 일부개정법률안,PRC_V1Y6N1Y2A1U3U1J6M5I3W5J1C6K1F3,2004353,한국마사회 부지를 농축산물 판매 유통 및 농업인 지원 공간으로 활용할 수 있도록 법적 근거를 신설함,"농촌 활력 UP! 마사회 부지, 농업인 지원 공간으로!"
20,국회에서의 증언·감정 등에 관한 법률 일부개정법률안(대안),PRC_B1Q7Z0Z2H2J2Q0S9N5C6F2F3P3S8F3,2005917,국회 증인 출석 및 국회 모욕죄 관련 규정을 강화함,"국회 모욕, 이제 더 엄격하게! 국민 대표 존중!"
20,대한민국재향경우회법 일부개정법률안(대안),PRC_X2G0N0K3Q0F5O0A9F0N7E5I3D7H3S8,2024735,경우회의 목적 및 운영에 관한 법률을 개선함,투명하고 효율적인 경우회 운영!  시민 여러분의 권익을 위해!
20,정치자금법 일부개정법률안,PRC_A2E0Z0D3V0S6B2K1P1R8P1J0Y2L8S2,2024797,공직선거법 개정 및 한국방송광고진흥공사 출범을 반영하여 관련 법률을 개정함,"투명한 선거, 공정한 방송광고!  국민과 함께하는 미래!"
