AGE,HG_NM,POLY_NM,RESULT_VOTE_MOD,BILL_ID,BILL_NAME,VOTE_DATE,BILL_NO,BILL_URL
20,이언주,더불어민주당,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,김성찬,미래한국당,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,이장우,미래통합당,불참,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,추미애,더불어민주당,불참,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,김학용,국민의힘,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,황영철,자유한국당,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,이은재,무소속,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,정양석,미래통합당,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,김세연,미래통합당,불참,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,주광덕,미래통합당,불참,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,전현희,더불어민주당,불참,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,최도자,민생당,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,김종회,무소속,불참,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,신상진,미래통합당,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
20,홍의락,더불어민주당,찬성,PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2,출입국관리법 일부개정법률안,20171124 112808,2003755,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S1B6U1R1N2T1U1L7T0X4I3T0Z9E7P2
