AGE,MONA_CD,BILL_NO,BILL_ID,RESULT_VOTE_MOD
22,JG77046J,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,PYA8594I,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,URV1689Q,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,D9I3309M,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,HVV5250J,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,M4O5221T,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,5TQ6306B,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,25G2571T,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,3LP22204,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,V2R7430Z,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,YOG1280B,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,불참
22,NUB4941Z,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,VDN5593C,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,불참
22,KFM1081G,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,YM42715P,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,URX8075K,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,6VC83722,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,3TP65086,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,RC885085,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,KNP22261,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,9HE7226N,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,EFU76868,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,N378078V,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,3OQ8273H,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,B7789327,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,5762459L,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,7GW5372Y,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,0698755I,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,EB16073M,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
22,80C5885Z,2208859,PRC_M2S5U0Z2U2F4Y1L4O3K8I1K3I0T3F5,찬성
