bill_id,content,summary,card_news_content
PRC_G2F4G0O7N2L5K1K6T2R0T2S8A0Z6X3,현행법 국민 학습권 학습자 보호자 교원 교육당사자 역할 책임 교육제도 운영 기본 사항 규정 교원 학생 생활지도 교육활동 학부모 민원 과도 간섭 피해 교원 학생 교육 지도 권한 보호 강화 필요 의견 학교 교원 교육활동 보호 학생 생활지도 권한 법령 학교 규칙 보장 규정 교원 사명감 교육활동 전념,교원의 교육활동 보호와 학생 생활지도 권한 보장을 위해 학부모 민원 과도 간섭 피해를 해소하고자 관련 법령 및 학교 규칙을 강화함,"선생님, 학생 모두 안전하게! 학교폭력 NO!"
PRC_N2W4T0R9A2Z5Y2X2F1E4B5X8W5V3U9,현행법 음란정보 명예훼손 정보 범죄 교사 방조 불법정보 규정 정보통신망 유통 금지 정보통신망 마약류관리법 금지 마약 향정신성의약품 대마 사용 제조 매매 알선 정보 유통 증가 유통방지 정보 불법정보 명시 정보통신서비스 제공자 유통방지 조치 의무 부여 불법정보 범주 마약류 불법정보 포함 명시 정보통신서비스 제공자 마약류 불법정보 유통방지 책임자 지정 정보통신망 마약류 불법정보 관리 강화 마약류 불법정보 유통 차단 게시자 징역 벌금 마약류 불법정보 수익 몰수 추징 근거 마련,정보통신망을 통한 마약류 불법정보 유통 증가를 방지하기 위해 정보통신서비스 제공자의 유통방지 조치 의무를 강화함,"마약류 불법정보, 이젠 안심하세요!  정보통신망 안전 강화!"
PRC_W2Z5X0S1Y2Z2E1M7M1C4Q0T5G1G2B5,모바일 장애인등록증 발급 법적근거 마련 필요 미성년 장애아동 생계급여 의료급여 수급시 장애아동수당 의무지급 요구 장애인 국내여행 불편요인 장애인 이동 편의시설 부족 개선 시급 언어재활사 국가시험 응시자격 원격대학 졸업생 제외 판결 확정 원격대학 출신 언어재활사 지위 불안정 원격대학 언어치료학과 재학생 졸업생 응시자격 부여 필요 장애인정책종합계획 법정사항 장애인 관광활동 포함 모바일 장애인등록증 발급 부정사용 처벌규정 마련 국민기초생활보장법 생계급여 의료급여 수급 장애아동 장애아동수당 지급 규정 원격대학 언어재활 관련 교과목 이수 석사학위 학사학위 전문학사학위 취득자 언어재활사 자격시험 응시자격 부여 장애인정책종합계획 장애인 문화체육관광 포함 모바일 장애인등록증 발급근거 장애인등록증 부정사용 모바일 장애인등록증 이미지파일 복사본 포함 처벌규정 국민기초생활보장법 생계급여 의료급여 수급 장애아동 장애아동수당 지급 언어재활사 국가시험 응시자격 원격대학 학위취득자 포함 보건복지부령 현장실습과목 이수 학위취득자 제한,모바일 장애인등록증 발급 및 부정사용 처벌규정 미비와 장애인 편의시설 부족 원격대학 언어재활사 자격시험 응시 제한 등을 해결하기 위해 관련 법적 근거를 마련하고 제도를 개선함,장애인 편의 증진! 모바일 등록증 발급 & 차별 해소!
PRC_Y2K4Y1U2E0G3S1F3U3O5A0J7H0V3U8,주권상장법인 분기배당 배당금액 사전 미확정 배당투자 저해 배당기준일 전 배당금액 확정 장기 배당투자 활성화 최초 사업보고서 제출법인 직전 사업보고서 제출의무 부과 반기보고서 분기보고서 제출의무 미규정 재무정보 공시 공백 투자결정 저해 사업보고서 제출대상법인 해당일 5일 이내 직전 반기보고서 분기보고서 금융위원회 거래소 제출 기업공시제도 운영 미비점 개선 보완 사업보고서 제출대상법인 해당일 5일 이내 직전 반기보고서 분기보고서 금융위원회 거래소 제출 전환사채권 발행 결정 발생 다음 날 납입기일 1주 전 주요사항보고서 금융위원회 제출 주권상장법인 사업연도 개시일 3월 6월 9월 말일 45일 이내 이사회 결의 분기배당 분기배당금 이사회 결의일 1개월 이내 지급 사업보고서 제출의무 위반 과징금 상한 일일평균거래금액 100분의 10 10억원 미만 10억원 상향 주식 대량보유 보고의무 위반 과징금 상한 시가총액 1만분의 1 상향,주권상장법인 분기배당 투자 저해 및 재무정보 공시 공백을 해소하기 위해 기업공시제도를 개선함,투자 활성화! 기업 정보 투명하게 공개!
PRC_N2L4M0K8J2J7R1R3Q3R2P2P6O4W6W8,경제자유구역 외국인투자기업 국내복귀기업 경영환경 외국인 생활여건 개선 외국인투자 기업 유치 촉진 경제특구 인천 부산진해 광양만권 대구경북 경기 강원 충북 광주 울산 9곳 지정 운영 20년 지속 성장 271.4㎢ 면적 8천개 기업 입주 23만명 근무 경제 거점 신산업 부상 보호무역주의 전환 리쇼어링 프렌드쇼어링 확산 대내외 환경 변화 경제자유구역 변화 시점 경제자유구역 개발 활성화 중복 지정 산업단지 연구개발특구 인허가 절차 간소화 경제자유구역청 실시계획 변경 규제자유특구 신청 입주기업 교류 활성화 기업지원시설 문화시설 인프라 구축 지원 제도 개선 경제자유구역 인허가 절차 간소화 지방자치단체 자율권 확대 입주기업 지원시설 문화시설 지원 근거 제도 글로벌 첨단 비즈니스 거점 경제성장 견인 토대 마련 경제자유구역 중복절차 간소화 지정 산업단지 경제자유구역 지정 사전절차 국토부 산업입지정책심의회 심의 생략 연구개발특구법 연구개발특구 개발계획 변경 경제자유구역 개발계획 변경 의제 항만재개발법 항만재개발사업실시계획 승인 변경승인 경제자유구역 실시계획 승인 의제 경제자유구역 관리 운영 지방자치단체 자율성 확대 준공 개발사업지구 개발사업시행자 부재 시도지사 실시계획 작성 개선 경제자유구역 규제 혁신 경제자유구역청 역할 확대 규제자유특구 신청권한 경제자유구역청장 부여 경제자유구역 개발이익 재투자 범위 확대 입주기업 지원 경제자유구역 개발이익 재투자 범위 기반시설 공공시설 유지 관리 비용 확대 경제자유구역 혁신 산업생태계 조성 입주기업 지원시설 문화시설 설치 지원근거 마련,보호무역주의 확산과 대내외 환경 변화에 따라 경제자유구역의 경쟁력 강화를 위해 인허가 절차 간소화 및 지방자치단체 자율권 확대 등 제도를 개선함,규제 팍! 풀고 경제자유구역 활짝!
PRC_R2Q4R1Q0Y1W7V0W9U5Q4P3O0O9N0V7,필수의료 전달체계 붕괴 응급실 뺑뺑이 사망사고 발생 응급환자 신속 이송 진료가능 병원 부재 구급대원 전화 중앙응급의료센터 법률상 권한 제한 컨트롤타워 기능 부족 현행법 중앙응급의료센터 권역응급의료센터 전원 업무 경증환자 분산 곤란 재난 상황 중앙응급의료센터 정보 수집 제공 응급환자 현황 파악 추적 관리 평시 정보수집 불가 중앙응급의료센터 응급의료기관 전원 정보 수집 제공 응급환자 현황파악 추적관리,중앙응급의료센터의 권한 부족과 정보 수집 제한으로 응급환자 신속 이송 및 진료체계를 개선함,"응급환자, 더 빠르게! 골든타임 확보!"
PRC_E2O4H0L9S2F4Y1Q7L3J6F2Q2H6F8K6,학교장 기관장 고용주 소속 학생 임직원 병역의무 이행 병역판정검사 신체검사 수검 불리 처우 금지 병역의무자 권익 보장 강화 학군사관 학군부사관 지원자 군병원 각군 참모총장 지정 민간병원 신체검사 검사 편의성 제고 병역 신고 출원 법률 규정 신고 출원 대리권 병역의무자 법정대리인 세대주 가족 성년자 제한 공직자 병적 별도관리 대상 전시근로역 편입 병역 면제 질병 치료 이력 확인 3년 범위 병적 관리 질병 치료 악용 병역면탈 범죄 예방 병역 신고 출원 법률 규정 질병 부득이 사유 법정대리인 세대주 가족 성년자 대리 신청 학군사관 학군부사관 후보생 군병원 각군 참모총장 지정 병원 신체검사 학교장 기관장 고용주 소속 학생 임직원 병역판정검사 입영판정검사 불리 처우 금지 공직자 병적 별도관리 대상 전시근로역 편입 병역 면제 3년 범위 병적 관리 병적 별도관리 대상자 질병 심신장애 확인 의료기관 장 국민건강보험공단 장 건강보험심사평가원 장 진료기록 제출 요청,병역의무자의 권익 보장 및 병역 면탈 방지를 위해 병역 신고 출원 대리권 제한과 병적 관리 강화를 추진함,"병역 신고, 더욱 공정하게!  내 권리 똑똑하게 지켜요!"
PRC_U2W5F0P4X2X1I1P7A3H4P1W8K9K6S1,,,내용 없음
ARC_J2Z4N0D7V2H6F1A3S4I9C5X1W1V3Z6,피고인 피해자 권리 회복 금전 공탁 피해자 공탁금 수령 공탁금 회수 제한 법적 근거 미흡 피해자 보호 피해자 권리 회복 금전 공탁 공탁자 공탁물 수령인 지정 공탁물 회수 동의 공탁 원인 형사사건 무죄판결 확정 제외 공탁물 회수 불가 피해자 보호,피해자 보호를 위해 피고인의 피해자 권리 회복을 위한 금전 공탁 시 공탁금 회수 제한 법적 근거를 미흡으로 인해 강화함,피해자 보호 더 강화!  공탁금 회수 제한으로 안전 확보!
PRC_L2L4E0E6D1L4K1H4P2O0E5D6L2I7I3,낚시어선업자 낚시어선 출항 출입항신고기관장 승선자명부 제출 의무 승선자명부 사본 3개월 보관 의무 위반 과태료 300만원 이하 스마트폰 애플리케이션 전자 승선자명부 작성 제출 확대 사본 보관 의무 규정 전자 승선자명부 사본 출력 보관 혼란 전자 승선자명부 사본 보관 의무 명확화 규정 혼선 방지 낚시어선업 운영 기여,낚시어선의 안전 관리 및 효율적인 운영을 위해 스마트폰 애플리케이션을 활용한 전자 승선자명부 제출을 확대하고 관련 규정을 명확화하여 사본 보관 의무 혼란을 방지함,스마트폰으로 낚시 안전 UP!  간편하게 출항하세요!
